,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,Tamim Iqbal,BM Wheeler,Imrul Kayes,0,0,0,0,138,0,1,0,1,-,1,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
1,Tamim Iqbal,BM Wheeler,Imrul Kayes,0,0,0,0,138,0,2,0,2,-,1,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
2,Tamim Iqbal,BM Wheeler,Imrul Kayes,0,0,0,0,138,0,3,0,3,-,1,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
3,Tamim Iqbal,BM Wheeler,Imrul Kayes,0,0,0,0,138,0,4,0,4,-,1,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
4,Tamim Iqbal,BM Wheeler,Imrul Kayes,0,1,1,1,137,0,5,0,5,wides,1,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
5,Tamim Iqbal,BM Wheeler,Imrul Kayes,2,0,2,3,135,2,6,0,6,-,1,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
6,Tamim Iqbal,BM Wheeler,Imrul Kayes,1,0,1,4,134,3,7,0,7,-,1,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
7,Tamim Iqbal,MJ Henry,Imrul Kayes,1,0,1,5,133,4,8,0,1,-,2,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
8,Imrul Kayes,MJ Henry,Tamim Iqbal,0,0,0,5,133,0,1,0,2,-,2,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
9,Imrul Kayes,MJ Henry,Tamim Iqbal,0,0,0,5,133,0,2,1,3,-,2,caught,Imrul Kayes,L Ronchi,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
10,Sabbir Rahman,MJ Henry,Tamim Iqbal,0,1,1,6,132,0,1,1,4,wides,2,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
11,Sabbir Rahman,MJ Henry,Tamim Iqbal,0,0,0,6,132,0,2,1,5,-,2,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
12,Sabbir Rahman,MJ Henry,Tamim Iqbal,4,0,4,10,128,4,3,1,6,-,2,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
13,Sabbir Rahman,MJ Henry,Tamim Iqbal,1,0,1,11,127,5,4,1,7,-,2,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
14,Sabbir Rahman,BM Wheeler,Tamim Iqbal,0,0,0,11,127,5,5,1,1,-,3,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
15,Sabbir Rahman,BM Wheeler,Tamim Iqbal,0,0,0,11,127,5,6,1,2,-,3,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
16,Sabbir Rahman,BM Wheeler,Tamim Iqbal,0,0,0,11,127,5,7,1,3,-,3,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
17,Sabbir Rahman,BM Wheeler,Tamim Iqbal,0,0,0,11,127,5,8,1,4,-,3,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
18,Sabbir Rahman,BM Wheeler,Tamim Iqbal,0,0,0,11,127,5,9,1,5,-,3,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
19,Sabbir Rahman,BM Wheeler,Tamim Iqbal,1,0,1,12,126,6,10,1,6,-,3,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
20,Sabbir Rahman,MJ Henry,Tamim Iqbal,6,0,6,18,120,12,11,1,1,-,4,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
21,Sabbir Rahman,MJ Henry,Tamim Iqbal,0,0,0,18,120,12,12,1,2,-,4,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
22,Sabbir Rahman,MJ Henry,Tamim Iqbal,1,0,1,19,119,13,13,1,3,-,4,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
23,Tamim Iqbal,MJ Henry,Sabbir Rahman,0,0,0,19,119,4,9,1,4,-,4,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
24,Tamim Iqbal,MJ Henry,Sabbir Rahman,1,0,1,20,118,5,10,1,5,-,4,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
25,Sabbir Rahman,MJ Henry,Tamim Iqbal,2,0,2,22,116,15,14,1,6,-,4,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
26,Tamim Iqbal,BM Wheeler,Sabbir Rahman,2,0,2,24,114,7,11,1,1,-,5,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
27,Tamim Iqbal,BM Wheeler,Sabbir Rahman,0,0,0,24,114,7,12,1,2,-,5,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
28,Tamim Iqbal,BM Wheeler,Sabbir Rahman,4,0,4,28,110,11,13,1,3,-,5,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
29,Tamim Iqbal,BM Wheeler,Sabbir Rahman,0,0,0,28,110,11,14,2,4,-,5,caught,Tamim Iqbal,TC Bruce,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
30,Shakib Al Hasan,BM Wheeler,Sabbir Rahman,1,0,1,29,109,1,1,2,5,-,5,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
31,Sabbir Rahman,BM Wheeler,Shakib Al Hasan,1,0,1,30,108,16,15,2,6,-,5,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
32,Sabbir Rahman,LH Ferguson,Shakib Al Hasan,0,0,0,30,108,16,16,3,1,-,6,caught,Sabbir Rahman,MJ Henry,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
33,Soumya Sarkar,LH Ferguson,Shakib Al Hasan,0,0,0,30,108,0,1,4,2,-,6,caught,Soumya Sarkar,CJ Anderson,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
34,Mahmudullah,LH Ferguson,Shakib Al Hasan,0,0,0,30,108,0,1,4,3,-,6,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
35,Mahmudullah,LH Ferguson,Shakib Al Hasan,0,0,0,30,108,0,2,4,4,-,6,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
36,Mahmudullah,LH Ferguson,Shakib Al Hasan,0,0,0,30,108,0,3,4,5,-,6,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
37,Mahmudullah,LH Ferguson,Shakib Al Hasan,4,0,4,34,104,4,4,4,6,-,6,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
38,Shakib Al Hasan,C de Grandhomme,Mahmudullah,0,0,0,34,104,1,2,4,1,-,7,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
39,Shakib Al Hasan,C de Grandhomme,Mahmudullah,1,0,1,35,103,2,3,4,2,-,7,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
40,Mahmudullah,C de Grandhomme,Shakib Al Hasan,1,0,1,36,102,5,5,4,3,-,7,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
41,Shakib Al Hasan,C de Grandhomme,Mahmudullah,1,0,1,37,101,3,4,4,4,-,7,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
42,Mahmudullah,C de Grandhomme,Shakib Al Hasan,0,0,0,37,101,5,6,4,5,-,7,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
43,Mahmudullah,C de Grandhomme,Shakib Al Hasan,1,0,1,38,100,6,7,4,6,-,7,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
44,Mahmudullah,LH Ferguson,Shakib Al Hasan,0,0,0,38,100,6,8,4,1,-,8,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
45,Mahmudullah,LH Ferguson,Shakib Al Hasan,0,0,0,38,100,6,9,4,2,-,8,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
46,Mahmudullah,LH Ferguson,Shakib Al Hasan,1,0,1,39,99,7,10,4,3,-,8,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
47,Shakib Al Hasan,LH Ferguson,Mahmudullah,2,0,2,41,97,5,5,4,4,-,8,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
48,Shakib Al Hasan,LH Ferguson,Mahmudullah,0,5,5,46,92,5,6,4,5,wides,8,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
49,Shakib Al Hasan,LH Ferguson,Mahmudullah,0,0,0,46,92,5,7,4,6,-,8,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
50,Shakib Al Hasan,LH Ferguson,Mahmudullah,2,0,2,48,90,7,8,4,7,-,8,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
51,Mahmudullah,C de Grandhomme,Shakib Al Hasan,6,0,6,54,84,13,11,4,1,-,9,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
52,Mahmudullah,C de Grandhomme,Shakib Al Hasan,1,0,1,55,83,14,12,4,2,-,9,0,,,bat,Bangladesh,1,McLean Park,2017,01,New Zealand_Bangladesh_2017-01-03,New Zealand,Bangladesh,New Zealand
