,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,JJ Roy,JT Smuts,AD Hales,0,0,0,0,142,0,1,0,1,1,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
1,JJ Roy,JT Smuts,AD Hales,1,0,1,1,141,1,2,0,2,1,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
2,AD Hales,JT Smuts,JJ Roy,1,0,1,2,140,1,1,0,3,1,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
3,JJ Roy,JT Smuts,AD Hales,0,0,0,2,140,1,3,0,4,1,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
4,JJ Roy,JT Smuts,AD Hales,1,0,1,3,139,2,4,0,5,1,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
5,AD Hales,JT Smuts,JJ Roy,1,0,1,4,138,2,2,0,6,1,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
6,AD Hales,WD Parnell,JJ Roy,0,1,1,5,137,2,3,0,1,2,wides,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
7,AD Hales,WD Parnell,JJ Roy,4,0,4,9,133,6,4,0,2,2,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
8,AD Hales,WD Parnell,JJ Roy,0,0,0,9,133,6,5,0,3,2,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
9,AD Hales,WD Parnell,JJ Roy,0,0,0,9,133,6,6,0,4,2,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
10,AD Hales,WD Parnell,JJ Roy,0,0,0,9,133,6,7,0,5,2,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
11,AD Hales,WD Parnell,JJ Roy,2,0,2,11,131,8,8,0,6,2,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
12,AD Hales,WD Parnell,JJ Roy,0,1,1,12,130,8,9,0,7,2,legbyes,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
13,AD Hales,JT Smuts,JJ Roy,1,0,1,13,129,9,10,0,1,3,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
14,JJ Roy,JT Smuts,AD Hales,6,0,6,19,123,8,5,0,2,3,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
15,JJ Roy,JT Smuts,AD Hales,0,0,0,19,123,8,6,0,3,3,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
16,JJ Roy,JT Smuts,AD Hales,1,0,1,20,122,9,7,0,4,3,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
17,AD Hales,JT Smuts,JJ Roy,0,0,0,20,122,9,11,0,5,3,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
18,AD Hales,JT Smuts,JJ Roy,2,0,2,22,120,11,12,0,6,3,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
19,JJ Roy,WD Parnell,AD Hales,0,4,4,26,116,9,8,0,1,4,legbyes,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
20,JJ Roy,WD Parnell,AD Hales,6,0,6,32,110,15,9,0,2,4,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
21,JJ Roy,WD Parnell,AD Hales,4,0,4,36,106,19,10,0,3,4,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
22,JJ Roy,WD Parnell,AD Hales,4,0,4,40,102,23,11,0,4,4,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
23,JJ Roy,WD Parnell,AD Hales,4,0,4,44,98,27,12,0,5,4,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
24,JJ Roy,WD Parnell,AD Hales,1,0,1,45,97,28,13,0,6,4,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
25,JJ Roy,AL Phehlukwayo,AD Hales,0,0,0,45,97,28,14,1,1,5,-,lbw,JJ Roy,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
26,JM Bairstow,AL Phehlukwayo,AD Hales,0,0,0,45,97,0,1,1,2,5,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
27,JM Bairstow,AL Phehlukwayo,AD Hales,4,0,4,49,93,4,2,1,3,5,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
28,JM Bairstow,AL Phehlukwayo,AD Hales,1,0,1,50,92,5,3,1,4,5,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
29,AD Hales,AL Phehlukwayo,JM Bairstow,1,0,1,51,91,12,13,1,5,5,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
30,JM Bairstow,AL Phehlukwayo,AD Hales,0,0,0,51,91,5,4,1,6,5,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
31,AD Hales,Imran Tahir,JM Bairstow,0,0,0,51,91,12,14,1,1,6,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
32,AD Hales,Imran Tahir,JM Bairstow,6,0,6,57,85,18,15,1,2,6,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
33,AD Hales,Imran Tahir,JM Bairstow,0,0,0,57,85,18,16,1,3,6,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
34,AD Hales,Imran Tahir,JM Bairstow,1,0,1,58,84,19,17,1,4,6,-,0,,,bat,South Africa,2,The Rose Bowl,2017,06,England_South Africa_2017-06-21,England,England,South Africa
