,batter,bowler,non_striker,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,JT Smuts,DJ Willey,RR Hendricks,,0,0,0,0,0,1,1,-,bowled,JT Smuts,,1,bat,South Africa,1,The Rose Bowl,2017-06-21,South Africa,England
1,AB de Villiers,DJ Willey,RR Hendricks,{'wides': 1},0,1,1,1,0,1,2,wides,0,,,1,bat,South Africa,1,The Rose Bowl,2017-06-21,South Africa,England
2,AB de Villiers,DJ Willey,RR Hendricks,,1,0,1,2,1,2,3,-,0,,,1,bat,South Africa,1,The Rose Bowl,2017-06-21,South Africa,England
3,RR Hendricks,DJ Willey,AB de Villiers,,3,0,3,5,3,1,4,-,0,,,1,bat,South Africa,1,The Rose Bowl,2017-06-21,South Africa,England
4,AB de Villiers,DJ Willey,RR Hendricks,,2,0,2,7,3,3,5,-,0,,,1,bat,South Africa,1,The Rose Bowl,2017-06-21,South Africa,England
5,AB de Villiers,DJ Willey,RR Hendricks,,0,0,0,7,3,4,6,-,0,,,1,bat,South Africa,1,The Rose Bowl,2017-06-21,South Africa,England
6,AB de Villiers,DJ Willey,RR Hendricks,,0,0,0,7,3,5,7,-,0,,,1,bat,South Africa,1,The Rose Bowl,2017-06-21,South Africa,England
7,RR Hendricks,MA Wood,AB de Villiers,,0,0,0,7,3,2,1,-,caught,RR Hendricks,DJ Willey,2,bat,South Africa,1,The Rose Bowl,2017-06-21,South Africa,England
8,DA Miller,MA Wood,AB de Villiers,,1,0,1,8,1,1,2,-,0,,,2,bat,South Africa,1,The Rose Bowl,2017-06-21,South Africa,England
9,AB de Villiers,MA Wood,DA Miller,,4,0,4,12,7,6,3,-,0,,,2,bat,South Africa,1,The Rose Bowl,2017-06-21,South Africa,England
10,AB de Villiers,MA Wood,DA Miller,,0,0,0,12,7,7,4,-,0,,,2,bat,South Africa,1,The Rose Bowl,2017-06-21,South Africa,England
11,AB de Villiers,MA Wood,DA Miller,,2,0,2,14,9,8,5,-,0,,,2,bat,South Africa,1,The Rose Bowl,2017-06-21,South Africa,England
12,AB de Villiers,MA Wood,DA Miller,,4,0,4,18,13,9,6,-,0,,,2,bat,South Africa,1,The Rose Bowl,2017-06-21,South Africa,England
13,DA Miller,DJ Willey,AB de Villiers,,6,0,6,24,7,2,1,-,0,,,3,bat,South Africa,1,The Rose Bowl,2017-06-21,South Africa,England
