,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,JJ Roy,M Morkel,SW Billings,1,0,1,1,173,1,1,0,1,1,-,0,,,field,England,2,County Ground,2017,06,England_South Africa_2017-06-23,South Africa,England,South Africa,171
1,SW Billings,M Morkel,JJ Roy,0,0,0,1,173,0,1,0,2,1,-,0,,,field,England,2,County Ground,2017,06,England_South Africa_2017-06-23,South Africa,England,South Africa,171
2,SW Billings,M Morkel,JJ Roy,1,0,1,2,172,1,2,0,3,1,-,0,,,field,England,2,County Ground,2017,06,England_South Africa_2017-06-23,South Africa,England,South Africa,171
3,JJ Roy,M Morkel,SW Billings,0,0,0,2,172,1,2,0,4,1,-,0,,,field,England,2,County Ground,2017,06,England_South Africa_2017-06-23,South Africa,England,South Africa,171
4,JJ Roy,M Morkel,SW Billings,2,0,2,4,170,3,3,0,5,1,-,0,,,field,England,2,County Ground,2017,06,England_South Africa_2017-06-23,South Africa,England,South Africa,171
5,JJ Roy,M Morkel,SW Billings,1,0,1,5,169,4,4,0,6,1,-,0,,,field,England,2,County Ground,2017,06,England_South Africa_2017-06-23,South Africa,England,South Africa,171
6,JJ Roy,CH Morris,SW Billings,0,0,0,5,169,4,5,0,1,2,-,0,,,field,England,2,County Ground,2017,06,England_South Africa_2017-06-23,South Africa,England,South Africa,171
7,JJ Roy,CH Morris,SW Billings,2,0,2,7,167,6,6,0,2,2,-,0,,,field,England,2,County Ground,2017,06,England_South Africa_2017-06-23,South Africa,England,South Africa,171
8,JJ Roy,CH Morris,SW Billings,0,1,1,8,166,6,7,0,3,2,wides,0,,,field,England,2,County Ground,2017,06,England_South Africa_2017-06-23,South Africa,England,South Africa,171
9,JJ Roy,CH Morris,SW Billings,4,0,4,12,162,10,8,0,4,2,-,0,,,field,England,2,County Ground,2017,06,England_South Africa_2017-06-23,South Africa,England,South Africa,171
10,JJ Roy,CH Morris,SW Billings,1,0,1,13,161,11,9,0,5,2,-,0,,,field,England,2,County Ground,2017,06,England_South Africa_2017-06-23,South Africa,England,South Africa,171
11,SW Billings,CH Morris,JJ Roy,2,0,2,15,159,3,3,0,6,2,-,0,,,field,England,2,County Ground,2017,06,England_South Africa_2017-06-23,South Africa,England,South Africa,171
12,SW Billings,CH Morris,JJ Roy,0,0,0,15,159,3,4,1,7,2,-,caught,SW Billings,DA Miller,field,England,2,County Ground,2017,06,England_South Africa_2017-06-23,South Africa,England,South Africa,171
13,JJ Roy,M Morkel,JM Bairstow,4,0,4,19,155,15,10,1,1,3,-,0,,,field,England,2,County Ground,2017,06,England_South Africa_2017-06-23,South Africa,England,South Africa,171
14,JJ Roy,M Morkel,JM Bairstow,4,0,4,23,151,19,11,1,2,3,-,0,,,field,England,2,County Ground,2017,06,England_South Africa_2017-06-23,South Africa,England,South Africa,171
15,JJ Roy,M Morkel,JM Bairstow,0,0,0,23,151,19,12,1,3,3,-,0,,,field,England,2,County Ground,2017,06,England_South Africa_2017-06-23,South Africa,England,South Africa,171
16,JJ Roy,M Morkel,JM Bairstow,0,0,0,23,151,19,13,1,4,3,-,0,,,field,England,2,County Ground,2017,06,England_South Africa_2017-06-23,South Africa,England,South Africa,171
17,JJ Roy,M Morkel,JM Bairstow,4,0,4,27,147,23,14,1,5,3,-,0,,,field,England,2,County Ground,2017,06,England_South Africa_2017-06-23,South Africa,England,South Africa,171
18,JJ Roy,M Morkel,JM Bairstow,4,0,4,31,143,27,15,1,6,3,-,0,,,field,England,2,County Ground,2017,06,England_South Africa_2017-06-23,South Africa,England,South Africa,171
19,JM Bairstow,CH Morris,JJ Roy,0,0,0,31,143,0,1,1,1,4,-,0,,,field,England,2,County Ground,2017,06,England_South Africa_2017-06-23,South Africa,England,South Africa,171
20,JM Bairstow,CH Morris,JJ Roy,0,0,0,31,143,0,2,1,2,4,-,0,,,field,England,2,County Ground,2017,06,England_South Africa_2017-06-23,South Africa,England,South Africa,171
21,JM Bairstow,CH Morris,JJ Roy,0,0,0,31,143,0,3,1,3,4,-,0,,,field,England,2,County Ground,2017,06,England_South Africa_2017-06-23,South Africa,England,South Africa,171
22,JM Bairstow,CH Morris,JJ Roy,0,0,0,31,143,0,4,1,4,4,-,0,,,field,England,2,County Ground,2017,06,England_South Africa_2017-06-23,South Africa,England,South Africa,171
23,JM Bairstow,CH Morris,JJ Roy,0,0,0,31,143,0,5,1,5,4,-,0,,,field,England,2,County Ground,2017,06,England_South Africa_2017-06-23,South Africa,England,South Africa,171
24,JM Bairstow,CH Morris,JJ Roy,4,0,4,35,139,4,6,1,6,4,-,0,,,field,England,2,County Ground,2017,06,England_South Africa_2017-06-23,South Africa,England,South Africa,171
