,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,CH Gayle,DJ Willey,E Lewis,4,0,4,4,,4,1,0,-,1.0,0,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
1,CH Gayle,DJ Willey,E Lewis,0,0,0,4,,4,2,0,-,2.0,0,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
2,CH Gayle,DJ Willey,E Lewis,1,0,1,5,,5,3,0,-,3.0,0,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
3,E Lewis,DJ Willey,CH Gayle,0,1,1,6,,0,1,0,wides,3.0,0,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
4,E Lewis,DJ Willey,CH Gayle,0,0,0,6,,0,2,0,-,4.0,0,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
5,E Lewis,DJ Willey,CH Gayle,1,0,1,7,,1,3,0,-,5.0,0,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
6,CH Gayle,DJ Willey,E Lewis,0,0,0,7,,5,4,0,-,6.0,0,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
7,E Lewis,JE Root,CH Gayle,0,0,0,7,,1,4,0,-,1.0,1,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
8,E Lewis,JE Root,CH Gayle,0,0,0,7,,1,5,0,-,2.0,1,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
9,E Lewis,JE Root,CH Gayle,0,0,0,7,,1,6,0,-,3.0,1,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
10,E Lewis,JE Root,CH Gayle,4,0,4,11,,5,7,0,-,4.0,1,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
11,E Lewis,JE Root,CH Gayle,0,0,0,11,,5,8,0,-,5.0,1,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
12,E Lewis,JE Root,CH Gayle,0,0,0,11,,5,9,0,-,6.0,1,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
13,CH Gayle,DJ Willey,E Lewis,0,0,0,11,,5,5,0,-,1.0,2,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
14,CH Gayle,DJ Willey,E Lewis,0,0,0,11,,5,6,0,-,2.0,2,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
15,CH Gayle,DJ Willey,E Lewis,6,0,6,17,,11,7,0,-,3.0,2,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
16,CH Gayle,DJ Willey,E Lewis,6,0,6,23,,17,8,0,-,4.0,2,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
17,CH Gayle,DJ Willey,E Lewis,0,0,0,23,,17,9,0,-,5.0,2,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
18,CH Gayle,DJ Willey,E Lewis,1,0,1,24,,18,10,0,-,6.0,2,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
19,CH Gayle,TK Curran,E Lewis,0,0,0,24,,18,11,0,-,1.0,3,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
20,CH Gayle,TK Curran,E Lewis,6,0,6,30,,24,12,0,-,2.0,3,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
21,CH Gayle,TK Curran,E Lewis,0,0,0,30,,24,13,0,-,3.0,3,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
22,CH Gayle,TK Curran,E Lewis,4,0,4,34,,28,14,0,-,4.0,3,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
23,CH Gayle,TK Curran,E Lewis,1,0,1,35,,29,15,0,-,5.0,3,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
24,E Lewis,TK Curran,CH Gayle,4,0,4,39,,9,10,0,-,6.0,3,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
25,CH Gayle,CJ Jordan,E Lewis,1,0,1,40,,30,16,0,-,1.0,4,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
26,E Lewis,CJ Jordan,CH Gayle,4,0,4,44,,13,11,0,-,2.0,4,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
27,E Lewis,CJ Jordan,CH Gayle,1,0,1,45,,14,12,0,-,3.0,4,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
28,CH Gayle,CJ Jordan,E Lewis,4,0,4,49,,34,17,0,-,4.0,4,0,,,field,England,1,Riverside Ground,2017,09,West Indies_England_2017-09-16,West Indies,West Indies,England,True,176
