,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,V Kohli,LA Dawson,KL Rahul,1,0,1,1,146,1,1,0,1,0,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
1,KL Rahul,LA Dawson,V Kohli,2,0,2,3,144,2,1,0,2,0,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
2,KL Rahul,LA Dawson,V Kohli,0,0,0,3,144,2,2,0,3,0,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
3,KL Rahul,LA Dawson,V Kohli,0,0,0,3,144,2,3,0,4,0,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
4,KL Rahul,LA Dawson,V Kohli,1,0,1,4,143,3,4,0,5,0,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
5,V Kohli,LA Dawson,KL Rahul,1,0,1,5,142,2,2,0,6,0,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
6,V Kohli,TS Mills,KL Rahul,0,0,0,5,142,2,3,0,1,1,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
7,V Kohli,TS Mills,KL Rahul,0,0,0,5,142,2,4,0,2,1,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
8,V Kohli,TS Mills,KL Rahul,4,0,4,9,138,6,5,0,3,1,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
9,V Kohli,TS Mills,KL Rahul,1,0,1,10,137,7,6,0,4,1,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
10,KL Rahul,TS Mills,V Kohli,0,0,0,10,137,3,5,0,5,1,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
11,KL Rahul,TS Mills,V Kohli,0,0,0,10,137,3,6,0,6,1,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
12,V Kohli,CJ Jordan,KL Rahul,0,0,0,10,137,7,7,0,1,2,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
13,V Kohli,CJ Jordan,KL Rahul,0,0,0,10,137,7,8,0,2,2,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
14,V Kohli,CJ Jordan,KL Rahul,1,0,1,11,136,8,9,0,3,2,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
15,KL Rahul,CJ Jordan,V Kohli,2,0,2,13,134,5,7,0,4,2,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
16,KL Rahul,CJ Jordan,V Kohli,2,0,2,15,132,7,8,0,5,2,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
17,KL Rahul,CJ Jordan,V Kohli,0,0,0,15,132,7,9,0,6,2,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
18,V Kohli,TS Mills,KL Rahul,0,0,0,15,132,8,10,0,1,3,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
19,V Kohli,TS Mills,KL Rahul,6,0,6,21,126,14,11,0,2,3,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
20,V Kohli,TS Mills,KL Rahul,4,0,4,25,122,18,12,0,3,3,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
21,V Kohli,TS Mills,KL Rahul,2,0,2,27,120,20,13,0,4,3,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
22,V Kohli,TS Mills,KL Rahul,1,0,1,28,119,21,14,0,5,3,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
23,KL Rahul,TS Mills,V Kohli,2,0,2,30,117,9,10,0,6,3,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
24,V Kohli,CJ Jordan,KL Rahul,0,0,0,30,117,21,15,1,1,4,caught,V Kohli,LA Dawson,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
25,KL Rahul,CJ Jordan,SK Raina,4,0,4,34,113,13,11,1,2,4,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
26,KL Rahul,CJ Jordan,SK Raina,1,0,1,35,112,14,12,1,3,4,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
27,SK Raina,CJ Jordan,KL Rahul,0,0,0,35,112,0,1,1,4,4,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
28,SK Raina,CJ Jordan,KL Rahul,1,0,1,36,111,1,2,1,5,4,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
29,KL Rahul,CJ Jordan,SK Raina,1,0,1,37,110,15,13,1,6,4,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
30,KL Rahul,BA Stokes,SK Raina,0,1,1,38,109,15,14,1,1,5,0,,,wides,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
31,KL Rahul,BA Stokes,SK Raina,1,0,1,39,108,16,15,1,2,5,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
32,SK Raina,BA Stokes,KL Rahul,0,0,0,39,108,1,3,1,3,5,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
33,SK Raina,BA Stokes,KL Rahul,1,0,1,40,107,2,4,1,4,5,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
34,KL Rahul,BA Stokes,SK Raina,4,0,4,44,103,20,16,1,5,5,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
35,KL Rahul,BA Stokes,SK Raina,1,0,1,45,102,21,17,1,6,5,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
36,SK Raina,BA Stokes,KL Rahul,1,0,1,46,101,3,5,1,7,5,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
37,SK Raina,MM Ali,KL Rahul,1,0,1,47,100,4,6,1,1,6,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
38,KL Rahul,MM Ali,SK Raina,1,0,1,48,99,22,18,1,2,6,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
39,SK Raina,MM Ali,KL Rahul,1,0,1,49,98,5,7,1,3,6,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
40,KL Rahul,MM Ali,SK Raina,3,0,3,52,95,25,19,1,4,6,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
41,SK Raina,MM Ali,KL Rahul,0,1,1,53,94,5,8,1,5,6,0,,,wides,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
42,SK Raina,MM Ali,KL Rahul,1,0,1,54,93,6,9,1,6,6,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
43,KL Rahul,MM Ali,SK Raina,0,0,0,54,93,25,20,1,7,6,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
44,SK Raina,AU Rashid,KL Rahul,1,0,1,55,92,7,10,1,1,7,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
45,KL Rahul,AU Rashid,SK Raina,0,0,0,55,92,25,21,1,2,7,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
46,KL Rahul,AU Rashid,SK Raina,1,0,1,56,91,26,22,1,3,7,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
47,SK Raina,AU Rashid,KL Rahul,0,0,0,56,91,7,11,2,4,7,caught,SK Raina,CJ Jordan,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
48,Yuvraj Singh,AU Rashid,KL Rahul,0,0,0,56,91,0,1,2,5,7,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
49,Yuvraj Singh,AU Rashid,KL Rahul,0,0,0,56,91,0,2,2,6,7,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
50,KL Rahul,MM Ali,Yuvraj Singh,0,0,0,56,91,26,23,2,1,8,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
51,KL Rahul,MM Ali,Yuvraj Singh,1,0,1,57,90,27,24,2,2,8,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
52,Yuvraj Singh,MM Ali,KL Rahul,0,0,0,57,90,0,3,2,3,8,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
53,Yuvraj Singh,MM Ali,KL Rahul,0,0,0,57,90,0,4,2,4,8,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
54,Yuvraj Singh,MM Ali,KL Rahul,0,0,0,57,90,0,5,2,5,8,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
55,Yuvraj Singh,MM Ali,KL Rahul,0,0,0,57,90,0,6,2,6,8,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
56,KL Rahul,AU Rashid,Yuvraj Singh,1,0,1,58,89,28,25,2,1,9,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
57,Yuvraj Singh,AU Rashid,KL Rahul,1,0,1,59,88,1,7,2,2,9,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
58,KL Rahul,AU Rashid,Yuvraj Singh,6,0,6,65,82,34,26,2,3,9,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
59,KL Rahul,AU Rashid,Yuvraj Singh,1,0,1,66,81,35,27,2,4,9,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
60,Yuvraj Singh,AU Rashid,KL Rahul,0,0,0,66,81,1,8,2,5,9,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
61,Yuvraj Singh,AU Rashid,KL Rahul,1,0,1,67,80,2,9,2,6,9,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
62,Yuvraj Singh,MM Ali,KL Rahul,0,0,0,67,80,2,10,2,1,10,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
63,Yuvraj Singh,MM Ali,KL Rahul,2,0,2,69,78,4,11,2,2,10,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
64,Yuvraj Singh,MM Ali,KL Rahul,0,0,0,69,78,4,12,3,3,10,lbw,Yuvraj Singh,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
65,MK Pandey,MM Ali,KL Rahul,1,0,1,70,77,1,1,3,4,10,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
66,KL Rahul,MM Ali,MK Pandey,1,0,1,71,76,36,28,3,5,10,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
67,MK Pandey,MM Ali,KL Rahul,1,0,1,72,75,2,2,3,6,10,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
68,MK Pandey,LA Dawson,KL Rahul,1,0,1,73,74,3,3,3,1,11,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
69,KL Rahul,LA Dawson,MK Pandey,6,0,6,79,68,42,29,3,2,11,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
70,KL Rahul,LA Dawson,MK Pandey,2,0,2,81,66,44,30,3,3,11,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
71,KL Rahul,LA Dawson,MK Pandey,1,0,1,82,65,45,31,3,4,11,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
72,MK Pandey,LA Dawson,KL Rahul,1,0,1,83,64,4,4,3,5,11,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
73,KL Rahul,LA Dawson,MK Pandey,4,0,4,87,60,49,32,3,6,11,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
74,MK Pandey,MM Ali,KL Rahul,1,0,1,88,59,5,5,3,1,12,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
75,KL Rahul,MM Ali,MK Pandey,1,0,1,89,58,50,33,3,2,12,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
76,MK Pandey,MM Ali,KL Rahul,1,0,1,90,57,6,6,3,3,12,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
77,KL Rahul,MM Ali,MK Pandey,1,0,1,91,56,51,34,3,4,12,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
78,MK Pandey,MM Ali,KL Rahul,1,0,1,92,55,7,7,3,5,12,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
79,KL Rahul,MM Ali,MK Pandey,1,0,1,93,54,52,35,3,6,12,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
80,KL Rahul,AU Rashid,MK Pandey,4,0,4,97,50,56,36,3,1,13,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
81,KL Rahul,AU Rashid,MK Pandey,1,0,1,98,49,57,37,3,2,13,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
82,MK Pandey,AU Rashid,KL Rahul,1,0,1,99,48,8,8,3,3,13,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
83,KL Rahul,AU Rashid,MK Pandey,4,0,4,103,44,61,38,3,4,13,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
84,KL Rahul,AU Rashid,MK Pandey,1,0,1,104,43,62,39,3,5,13,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
85,MK Pandey,AU Rashid,KL Rahul,1,0,1,105,42,9,9,3,6,13,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
86,MK Pandey,BA Stokes,KL Rahul,0,0,0,105,42,9,10,3,1,14,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
87,MK Pandey,BA Stokes,KL Rahul,1,0,1,106,41,10,11,3,2,14,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
88,KL Rahul,BA Stokes,MK Pandey,0,0,0,106,41,62,40,3,3,14,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
89,KL Rahul,BA Stokes,MK Pandey,0,1,1,107,40,62,41,3,4,14,0,,,legbyes,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
90,MK Pandey,BA Stokes,KL Rahul,0,0,0,107,40,10,12,3,5,14,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
91,MK Pandey,BA Stokes,KL Rahul,1,0,1,108,39,11,13,3,6,14,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
92,MK Pandey,TS Mills,KL Rahul,1,0,1,109,38,12,14,3,1,15,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
93,KL Rahul,TS Mills,MK Pandey,1,0,1,110,37,63,42,3,2,15,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
94,MK Pandey,TS Mills,KL Rahul,1,0,1,111,36,13,15,3,3,15,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
95,KL Rahul,TS Mills,MK Pandey,1,0,1,112,35,64,43,3,4,15,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
96,MK Pandey,TS Mills,KL Rahul,1,0,1,113,34,14,16,3,5,15,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
97,KL Rahul,TS Mills,MK Pandey,1,0,1,114,33,65,44,3,6,15,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
98,KL Rahul,BA Stokes,MK Pandey,1,0,1,115,32,66,45,3,1,16,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
99,MK Pandey,BA Stokes,KL Rahul,1,0,1,116,31,15,17,3,2,16,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
100,KL Rahul,BA Stokes,MK Pandey,1,0,1,117,30,67,46,3,3,16,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
101,MK Pandey,BA Stokes,KL Rahul,2,0,2,119,28,17,18,3,4,16,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
102,MK Pandey,BA Stokes,KL Rahul,1,0,1,120,27,18,19,3,5,16,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
103,KL Rahul,BA Stokes,MK Pandey,4,0,4,124,23,71,47,3,6,16,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
104,MK Pandey,CJ Jordan,KL Rahul,1,0,1,125,22,19,20,3,1,17,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
105,KL Rahul,CJ Jordan,MK Pandey,0,0,0,125,22,71,48,4,2,17,caught,KL Rahul,BA Stokes,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
106,MS Dhoni,CJ Jordan,MK Pandey,1,0,1,126,21,1,1,4,3,17,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
107,MK Pandey,CJ Jordan,MS Dhoni,1,0,1,127,20,20,21,4,4,17,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
108,MS Dhoni,CJ Jordan,MK Pandey,1,0,1,128,19,2,2,4,5,17,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
109,MK Pandey,CJ Jordan,MS Dhoni,1,0,1,129,18,21,22,4,6,17,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
110,MK Pandey,TS Mills,MS Dhoni,1,0,1,130,17,22,23,4,1,18,0,,,-,field,England,1,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,India,England,144
