,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,J Charles,B Kumar,E Lewis,0,0,0,0,0,1,1,1,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
1,J Charles,B Kumar,E Lewis,0,0,0,0,0,2,2,1,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
2,J Charles,B Kumar,E Lewis,4,0,4,4,4,3,3,1,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
3,J Charles,B Kumar,E Lewis,1,0,1,5,5,4,4,1,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
4,E Lewis,B Kumar,J Charles,2,0,2,7,2,1,5,1,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
5,E Lewis,B Kumar,J Charles,0,0,0,7,2,2,6,1,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
6,J Charles,Mohammed Shami,E Lewis,0,0,0,7,5,5,1,2,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
7,J Charles,Mohammed Shami,E Lewis,1,0,1,8,6,6,2,2,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
8,E Lewis,Mohammed Shami,J Charles,1,0,1,9,3,3,3,2,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
9,J Charles,Mohammed Shami,E Lewis,2,0,2,11,8,7,4,2,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
10,J Charles,Mohammed Shami,E Lewis,1,0,1,12,9,8,5,2,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
11,E Lewis,Mohammed Shami,J Charles,4,0,4,16,7,4,6,2,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
12,J Charles,B Kumar,E Lewis,0,0,0,16,9,9,1,3,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
13,J Charles,B Kumar,E Lewis,6,0,6,22,15,10,2,3,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
14,J Charles,B Kumar,E Lewis,0,0,0,22,15,11,3,3,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
15,J Charles,B Kumar,E Lewis,2,0,2,24,17,12,4,3,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
16,J Charles,B Kumar,E Lewis,0,0,0,24,17,13,5,3,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
17,J Charles,B Kumar,E Lewis,0,0,0,24,17,14,6,3,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
18,E Lewis,Mohammed Shami,J Charles,0,0,0,24,7,5,1,4,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
19,E Lewis,Mohammed Shami,J Charles,0,0,0,24,7,6,2,4,caught,E Lewis,A Mishra,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
20,J Charles,Mohammed Shami,MN Samuels,6,0,6,30,23,15,3,4,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
21,J Charles,Mohammed Shami,MN Samuels,4,0,4,34,27,16,4,4,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
22,J Charles,Mohammed Shami,MN Samuels,4,0,4,38,31,17,5,4,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
23,J Charles,Mohammed Shami,MN Samuels,1,0,1,39,32,18,6,4,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
24,J Charles,B Kumar,MN Samuels,0,0,0,39,32,19,1,5,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
25,J Charles,B Kumar,MN Samuels,2,0,2,41,34,20,2,5,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
26,J Charles,B Kumar,MN Samuels,4,0,4,45,38,21,3,5,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
27,J Charles,B Kumar,MN Samuels,4,0,4,49,42,22,4,5,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
28,J Charles,B Kumar,MN Samuels,0,0,0,49,42,23,5,5,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
29,J Charles,B Kumar,MN Samuels,1,0,1,50,43,24,6,5,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
30,J Charles,A Mishra,MN Samuels,0,0,0,50,43,25,1,6,caught,J Charles,AM Rahane,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
31,LMP Simmons,A Mishra,MN Samuels,0,0,0,50,0,1,2,6,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
32,LMP Simmons,A Mishra,MN Samuels,1,0,1,51,1,2,3,6,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
33,MN Samuels,A Mishra,LMP Simmons,0,0,0,51,0,1,4,6,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
34,MN Samuels,A Mishra,LMP Simmons,0,1,1,52,0,2,5,6,0,,,{'wides': 1},wides,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
35,MN Samuels,A Mishra,LMP Simmons,1,0,1,53,1,3,6,6,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
36,LMP Simmons,A Mishra,MN Samuels,1,0,1,54,2,3,7,6,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
37,LMP Simmons,RA Jadeja,MN Samuels,0,0,0,54,2,4,1,7,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
38,LMP Simmons,RA Jadeja,MN Samuels,0,0,0,54,2,5,2,7,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
39,LMP Simmons,RA Jadeja,MN Samuels,0,0,0,54,2,6,3,7,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
40,LMP Simmons,RA Jadeja,MN Samuels,0,0,0,54,2,7,4,7,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
41,LMP Simmons,RA Jadeja,MN Samuels,0,0,0,54,2,8,5,7,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
42,LMP Simmons,RA Jadeja,MN Samuels,1,0,1,55,3,9,6,7,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
43,LMP Simmons,A Mishra,MN Samuels,1,0,1,56,4,10,1,8,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
44,MN Samuels,A Mishra,LMP Simmons,1,0,1,57,2,4,2,8,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
45,LMP Simmons,A Mishra,MN Samuels,0,0,0,57,4,11,3,8,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
46,LMP Simmons,A Mishra,MN Samuels,4,0,4,61,8,12,4,8,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
47,LMP Simmons,A Mishra,MN Samuels,0,0,0,61,8,13,5,8,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
48,LMP Simmons,A Mishra,MN Samuels,1,0,1,62,9,14,6,8,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
49,LMP Simmons,RA Jadeja,MN Samuels,4,0,4,66,13,15,1,9,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
50,LMP Simmons,RA Jadeja,MN Samuels,4,0,4,70,17,16,2,9,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
51,LMP Simmons,RA Jadeja,MN Samuels,1,0,1,71,18,17,3,9,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
52,MN Samuels,RA Jadeja,LMP Simmons,0,0,0,71,2,5,4,9,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
53,MN Samuels,RA Jadeja,LMP Simmons,0,0,0,71,2,6,5,9,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
54,MN Samuels,RA Jadeja,LMP Simmons,1,0,1,72,3,7,6,9,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
55,MN Samuels,R Ashwin,LMP Simmons,0,0,0,72,3,8,1,10,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
56,MN Samuels,R Ashwin,LMP Simmons,1,0,1,73,4,9,2,10,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
57,LMP Simmons,R Ashwin,MN Samuels,1,0,1,74,19,18,3,10,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
58,MN Samuels,R Ashwin,LMP Simmons,1,0,1,75,5,10,4,10,0,,,,-,field,India,1,Central Broward Regional Park Stadium Turf Ground,2016-08-28,West Indies,India
