,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,DA Warner,DJ Willey,DJM Short,4,0,4,4,151,4,1,0,1,-,0,,,0,,field,Australia,2,Bellerive Oval,2018,02,England_Australia_2018-02-07,Australia,Australia,England,True,161
1,DA Warner,DJ Willey,DJM Short,0,0,0,4,151,4,2,1,2,-,caught,DA Warner,AD Hales,0,,field,Australia,2,Bellerive Oval,2018,02,England_Australia_2018-02-07,Australia,Australia,England,True,161
2,CA Lynn,DJ Willey,DJM Short,0,0,0,4,151,0,1,1,3,-,0,,,0,,field,Australia,2,Bellerive Oval,2018,02,England_Australia_2018-02-07,Australia,Australia,England,True,161
3,CA Lynn,DJ Willey,DJM Short,0,0,0,4,151,0,2,2,4,-,bowled,CA Lynn,,0,,field,Australia,2,Bellerive Oval,2018,02,England_Australia_2018-02-07,Australia,Australia,England,True,161
4,GJ Maxwell,DJ Willey,DJM Short,0,0,0,4,151,0,1,2,5,-,0,,,0,,field,Australia,2,Bellerive Oval,2018,02,England_Australia_2018-02-07,Australia,Australia,England,True,161
5,GJ Maxwell,DJ Willey,DJM Short,0,1,1,5,150,0,2,2,6,wides,0,,,0,,field,Australia,2,Bellerive Oval,2018,02,England_Australia_2018-02-07,Australia,Australia,England,True,161
6,GJ Maxwell,DJ Willey,DJM Short,1,0,1,6,149,1,3,2,7,-,0,,,0,,field,Australia,2,Bellerive Oval,2018,02,England_Australia_2018-02-07,Australia,Australia,England,True,161
7,GJ Maxwell,MA Wood,DJM Short,1,0,1,7,148,2,4,2,1,-,0,,,1,,field,Australia,2,Bellerive Oval,2018,02,England_Australia_2018-02-07,Australia,Australia,England,True,161
8,DJM Short,MA Wood,GJ Maxwell,0,0,0,7,148,0,1,2,2,-,0,,,1,,field,Australia,2,Bellerive Oval,2018,02,England_Australia_2018-02-07,Australia,Australia,England,True,161
9,DJM Short,MA Wood,GJ Maxwell,4,0,4,11,144,4,2,2,3,-,0,,,1,,field,Australia,2,Bellerive Oval,2018,02,England_Australia_2018-02-07,Australia,Australia,England,True,161
10,DJM Short,MA Wood,GJ Maxwell,4,0,4,15,140,8,3,2,4,-,0,,,1,,field,Australia,2,Bellerive Oval,2018,02,England_Australia_2018-02-07,Australia,Australia,England,True,161
