,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,JJ Roy,KW Richardson,AD Hales,2,0,2,2,,2,1,0,-,1.0,0,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
1,JJ Roy,KW Richardson,AD Hales,0,1,1,3,,2,2,0,wides,1.0,0,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
2,JJ Roy,KW Richardson,AD Hales,0,0,0,3,,2,3,0,-,2.0,0,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
3,JJ Roy,KW Richardson,AD Hales,1,0,1,4,,3,4,0,-,3.0,0,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
4,AD Hales,KW Richardson,JJ Roy,3,0,3,7,,3,1,0,-,4.0,0,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
5,JJ Roy,KW Richardson,AD Hales,0,0,0,7,,3,5,0,-,5.0,0,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
6,JJ Roy,KW Richardson,AD Hales,0,1,1,8,,3,6,0,wides,5.0,0,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
7,JJ Roy,KW Richardson,AD Hales,4,0,4,12,,7,7,0,-,6.0,0,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
8,AD Hales,B Stanlake,JJ Roy,0,0,0,12,,3,2,0,-,1.0,1,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
9,AD Hales,B Stanlake,JJ Roy,0,0,0,12,,3,3,1,-,2.0,1,caught,AD Hales,AJ Finch,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
10,JJ Roy,B Stanlake,DJ Malan,1,0,1,13,,8,8,1,-,3.0,1,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
11,DJ Malan,B Stanlake,JJ Roy,0,0,0,13,,0,1,1,-,4.0,1,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
12,DJ Malan,B Stanlake,JJ Roy,0,0,0,13,,0,2,1,-,5.0,1,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
13,DJ Malan,B Stanlake,JJ Roy,0,1,1,14,,0,3,1,wides,5.0,1,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
14,DJ Malan,B Stanlake,JJ Roy,1,0,1,15,,1,4,1,-,6.0,1,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
15,DJ Malan,KW Richardson,JJ Roy,1,0,1,16,,2,5,1,-,1.0,2,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
16,JJ Roy,KW Richardson,DJ Malan,0,0,0,16,,8,9,2,-,2.0,2,caught,JJ Roy,AT Carey,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
17,JM Vince,KW Richardson,DJ Malan,1,0,1,17,,1,1,2,-,3.0,2,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
18,DJ Malan,KW Richardson,JM Vince,1,0,1,18,,3,6,2,-,4.0,2,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
19,JM Vince,KW Richardson,DJ Malan,4,0,4,22,,5,2,2,-,5.0,2,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
20,JM Vince,KW Richardson,DJ Malan,4,0,4,26,,9,3,2,-,6.0,2,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
21,DJ Malan,B Stanlake,JM Vince,0,0,0,26,,3,7,2,-,1.0,3,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
22,DJ Malan,B Stanlake,JM Vince,2,0,2,28,,5,8,2,-,2.0,3,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
23,DJ Malan,B Stanlake,JM Vince,1,0,1,29,,6,9,2,-,3.0,3,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
24,JM Vince,B Stanlake,DJ Malan,1,0,1,30,,10,4,2,-,4.0,3,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
25,DJ Malan,B Stanlake,JM Vince,4,0,4,34,,10,10,2,-,5.0,3,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
26,DJ Malan,B Stanlake,JM Vince,0,0,0,34,,10,11,3,-,6.0,3,run out,DJ Malan,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
27,JC Buttler,KW Richardson,JM Vince,0,0,0,34,,0,1,3,-,1.0,4,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
28,JC Buttler,KW Richardson,JM Vince,0,0,0,34,,0,2,3,-,2.0,4,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
29,JC Buttler,KW Richardson,JM Vince,0,0,0,34,,0,3,3,-,3.0,4,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
30,JC Buttler,KW Richardson,JM Vince,0,0,0,34,,0,4,3,-,4.0,4,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
31,JC Buttler,KW Richardson,JM Vince,1,0,1,35,,1,5,3,-,5.0,4,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
32,JM Vince,KW Richardson,JC Buttler,1,0,1,36,,11,5,3,-,6.0,4,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
33,JM Vince,MP Stoinis,JC Buttler,1,0,1,37,,12,6,3,-,1.0,5,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
34,JC Buttler,MP Stoinis,JM Vince,0,0,0,37,,1,6,3,-,2.0,5,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
35,JC Buttler,MP Stoinis,JM Vince,0,0,0,37,,1,7,3,-,3.0,5,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
36,JC Buttler,MP Stoinis,JM Vince,4,0,4,41,,5,8,3,-,4.0,5,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
37,JC Buttler,MP Stoinis,JM Vince,0,0,0,41,,5,9,3,-,5.0,5,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
38,JC Buttler,MP Stoinis,JM Vince,1,0,1,42,,6,10,3,-,6.0,5,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
39,JC Buttler,AJ Tye,JM Vince,2,0,2,44,,8,11,3,-,1.0,6,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
40,JC Buttler,AJ Tye,JM Vince,1,0,1,45,,9,12,3,-,2.0,6,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
41,JM Vince,AJ Tye,JC Buttler,0,0,0,45,,12,7,3,-,3.0,6,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
42,JM Vince,AJ Tye,JC Buttler,0,0,0,45,,12,8,3,-,4.0,6,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
43,JM Vince,AJ Tye,JC Buttler,1,0,1,46,,13,9,3,-,5.0,6,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
44,JC Buttler,AJ Tye,JM Vince,3,0,3,49,,12,13,3,-,6.0,6,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
45,JC Buttler,AC Agar,JM Vince,0,0,0,49,,12,14,3,-,1.0,7,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
46,JC Buttler,AC Agar,JM Vince,1,0,1,50,,13,15,3,-,2.0,7,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
47,JM Vince,AC Agar,JC Buttler,0,0,0,50,,13,10,3,-,3.0,7,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
48,JM Vince,AC Agar,JC Buttler,0,0,0,50,,13,11,3,-,4.0,7,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
49,JM Vince,AC Agar,JC Buttler,1,0,1,51,,14,12,3,-,5.0,7,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
50,JC Buttler,AC Agar,JM Vince,2,0,2,53,,15,16,3,-,6.0,7,0,,,,field,Australia,1,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,England,Australia,False,137
