,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,Ahmed Shehzad,S Badree,Kamran Akmal,4,0,4,4,,4,1,0,-,1.0,0,,,0,bat,Pakistan,1,"Queen's Park Oval, Port of Spain",2017,04,West Indies_Pakistan_2017-04-01,West Indies,Pakistan,West Indies,False,137,Right hand Bat,Right hand Bat,Right arm Legbreak
1,Ahmed Shehzad,S Badree,Kamran Akmal,0,0,0,4,,4,2,1,-,2.0,bowled,Ahmed Shehzad,,0,bat,Pakistan,1,"Queen's Park Oval, Port of Spain",2017,04,West Indies_Pakistan_2017-04-01,West Indies,Pakistan,West Indies,False,137,Right hand Bat,Right hand Bat,Right arm Legbreak
2,Imad Wasim,S Badree,Kamran Akmal,0,0,0,4,,0,1,1,-,3.0,0,,,0,bat,Pakistan,1,"Queen's Park Oval, Port of Spain",2017,04,West Indies_Pakistan_2017-04-01,West Indies,Pakistan,West Indies,False,137,Left hand Bat,Right hand Bat,Right arm Legbreak
3,Imad Wasim,S Badree,Kamran Akmal,0,0,0,4,,0,2,2,-,4.0,stumped,Imad Wasim,CAK Walton,0,bat,Pakistan,1,"Queen's Park Oval, Port of Spain",2017,04,West Indies_Pakistan_2017-04-01,West Indies,Pakistan,West Indies,False,137,Left hand Bat,Right hand Bat,Right arm Legbreak
4,Babar Azam,S Badree,Kamran Akmal,1,0,1,5,,1,1,2,-,5.0,0,,,0,bat,Pakistan,1,"Queen's Park Oval, Port of Spain",2017,04,West Indies_Pakistan_2017-04-01,West Indies,Pakistan,West Indies,False,137,Right hand Bat,Right hand Bat,Right arm Legbreak
5,Kamran Akmal,S Badree,Babar Azam,0,0,0,5,,0,1,2,-,6.0,0,,,0,bat,Pakistan,1,"Queen's Park Oval, Port of Spain",2017,04,West Indies_Pakistan_2017-04-01,West Indies,Pakistan,West Indies,False,137,Right hand Bat,Right hand Bat,Right arm Legbreak
6,Babar Azam,JO Holder,Kamran Akmal,1,0,1,6,,2,2,2,-,1.0,0,,,1,bat,Pakistan,1,"Queen's Park Oval, Port of Spain",2017,04,West Indies_Pakistan_2017-04-01,West Indies,Pakistan,West Indies,False,137,Right hand Bat,Right hand Bat,Right arm Medium
7,Kamran Akmal,JO Holder,Babar Azam,0,0,0,6,,0,2,2,-,2.0,0,,,1,bat,Pakistan,1,"Queen's Park Oval, Port of Spain",2017,04,West Indies_Pakistan_2017-04-01,West Indies,Pakistan,West Indies,False,137,Right hand Bat,Right hand Bat,Right arm Medium
8,Kamran Akmal,JO Holder,Babar Azam,0,0,0,6,,0,3,2,-,3.0,0,,,1,bat,Pakistan,1,"Queen's Park Oval, Port of Spain",2017,04,West Indies_Pakistan_2017-04-01,West Indies,Pakistan,West Indies,False,137,Right hand Bat,Right hand Bat,Right arm Medium
9,Kamran Akmal,JO Holder,Babar Azam,2,0,2,8,,2,4,2,-,4.0,0,,,1,bat,Pakistan,1,"Queen's Park Oval, Port of Spain",2017,04,West Indies_Pakistan_2017-04-01,West Indies,Pakistan,West Indies,False,137,Right hand Bat,Right hand Bat,Right arm Medium
