,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,N Dickwella,B Kumar,WU Tharanga,0,1,1,1,189,0,1,0,1,legbyes,1,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
1,WU Tharanga,B Kumar,N Dickwella,0,1,1,2,188,0,1,0,2,legbyes,1,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
2,N Dickwella,B Kumar,WU Tharanga,0,0,0,2,188,0,2,0,3,-,1,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
3,N Dickwella,B Kumar,WU Tharanga,2,0,2,4,186,2,3,0,4,-,1,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
4,N Dickwella,B Kumar,WU Tharanga,0,0,0,4,186,2,4,0,5,-,1,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
5,N Dickwella,B Kumar,WU Tharanga,0,0,0,4,186,2,5,0,6,-,1,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
6,WU Tharanga,JJ Bumrah,N Dickwella,1,0,1,5,185,1,2,0,1,-,2,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
7,N Dickwella,JJ Bumrah,WU Tharanga,0,0,0,5,185,2,6,0,2,-,2,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
8,N Dickwella,JJ Bumrah,WU Tharanga,4,0,4,9,181,6,7,0,3,-,2,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
9,N Dickwella,JJ Bumrah,WU Tharanga,4,0,4,13,177,10,8,0,4,-,2,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
10,N Dickwella,JJ Bumrah,WU Tharanga,4,0,4,17,173,14,9,0,5,-,2,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
11,N Dickwella,JJ Bumrah,WU Tharanga,2,0,2,19,171,16,10,0,6,-,2,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
12,WU Tharanga,B Kumar,N Dickwella,4,0,4,23,167,5,3,0,1,-,3,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
13,WU Tharanga,B Kumar,N Dickwella,0,0,0,23,167,5,4,1,2,-,3,bowled,WU Tharanga,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
14,EMDY Munaweera,B Kumar,N Dickwella,4,0,4,27,163,4,1,1,3,-,3,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
15,EMDY Munaweera,B Kumar,N Dickwella,0,0,0,27,163,4,2,1,4,-,3,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
16,EMDY Munaweera,B Kumar,N Dickwella,4,0,4,31,159,8,3,1,5,-,3,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
17,EMDY Munaweera,B Kumar,N Dickwella,1,0,1,32,158,9,4,1,6,-,3,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
18,EMDY Munaweera,YS Chahal,N Dickwella,6,0,6,38,152,15,5,1,1,-,4,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
19,EMDY Munaweera,YS Chahal,N Dickwella,6,0,6,44,146,21,6,1,2,-,4,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
20,EMDY Munaweera,YS Chahal,N Dickwella,0,1,1,45,145,21,7,1,3,legbyes,4,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
21,N Dickwella,YS Chahal,EMDY Munaweera,1,0,1,46,144,17,11,1,4,-,4,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
22,EMDY Munaweera,YS Chahal,N Dickwella,0,0,0,46,144,21,8,1,5,-,4,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
23,EMDY Munaweera,YS Chahal,N Dickwella,0,0,0,46,144,21,9,1,6,-,4,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
24,N Dickwella,JJ Bumrah,EMDY Munaweera,0,0,0,46,144,17,12,1,1,-,5,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
25,N Dickwella,JJ Bumrah,EMDY Munaweera,0,0,0,46,144,17,13,1,2,-,5,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
26,N Dickwella,JJ Bumrah,EMDY Munaweera,0,0,0,46,144,17,14,2,3,-,5,bowled,N Dickwella,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
27,AD Mathews,JJ Bumrah,EMDY Munaweera,1,0,1,47,143,1,1,2,4,-,5,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
28,EMDY Munaweera,JJ Bumrah,AD Mathews,0,0,0,47,143,21,10,2,5,-,5,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
29,EMDY Munaweera,JJ Bumrah,AD Mathews,0,0,0,47,143,21,11,2,6,-,5,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
30,AD Mathews,AR Patel,EMDY Munaweera,4,0,4,51,139,5,2,2,1,-,6,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
31,AD Mathews,AR Patel,EMDY Munaweera,1,0,1,52,138,6,3,2,2,-,6,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
32,EMDY Munaweera,AR Patel,AD Mathews,4,0,4,56,134,25,12,2,3,-,6,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
33,EMDY Munaweera,AR Patel,AD Mathews,0,0,0,56,134,25,13,2,4,-,6,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
34,EMDY Munaweera,AR Patel,AD Mathews,4,0,4,60,130,29,14,2,5,-,6,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
35,EMDY Munaweera,AR Patel,AD Mathews,0,0,0,60,130,29,15,2,6,-,6,0,,,field,India,1,"R.Premadasa Stadium, Khettarama",2017,09,Sri Lanka_India_2017-09-06,India,Sri Lanka,India
