,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,MJ Guptill,Mohammad Amir,C Munro,0,0,0,0,0,1,1,1,0,,,-,,field,New Zealand,2,Westpac Stadium,2018-01-22,New Zealand,New Zealand,Pakistan
1,MJ Guptill,Mohammad Amir,C Munro,1,0,1,1,1,2,2,1,0,,,-,,field,New Zealand,2,Westpac Stadium,2018-01-22,New Zealand,New Zealand,Pakistan
2,C Munro,Mohammad Amir,MJ Guptill,1,0,1,2,1,1,3,1,0,,,-,,field,New Zealand,2,Westpac Stadium,2018-01-22,New Zealand,New Zealand,Pakistan
3,MJ Guptill,Mohammad Amir,C Munro,0,0,0,2,1,3,4,1,0,,,-,,field,New Zealand,2,Westpac Stadium,2018-01-22,New Zealand,New Zealand,Pakistan
4,MJ Guptill,Mohammad Amir,C Munro,0,0,0,2,1,4,5,1,0,,,-,,field,New Zealand,2,Westpac Stadium,2018-01-22,New Zealand,New Zealand,Pakistan
5,MJ Guptill,Mohammad Amir,C Munro,1,0,1,3,2,5,6,1,0,,,-,,field,New Zealand,2,Westpac Stadium,2018-01-22,New Zealand,New Zealand,Pakistan
6,MJ Guptill,Rumman Raees,C Munro,0,0,0,3,2,6,1,2,caught,MJ Guptill,Mohammad Nawaz (3),-,,field,New Zealand,2,Westpac Stadium,2018-01-22,New Zealand,New Zealand,Pakistan
7,C Munro,Rumman Raees,GD Phillips,1,0,1,4,2,2,2,2,0,,,-,,field,New Zealand,2,Westpac Stadium,2018-01-22,New Zealand,New Zealand,Pakistan
8,GD Phillips,Rumman Raees,C Munro,0,0,0,4,0,1,3,2,0,,,-,,field,New Zealand,2,Westpac Stadium,2018-01-22,New Zealand,New Zealand,Pakistan
9,GD Phillips,Rumman Raees,C Munro,0,0,0,4,0,2,4,2,0,,,-,,field,New Zealand,2,Westpac Stadium,2018-01-22,New Zealand,New Zealand,Pakistan
10,GD Phillips,Rumman Raees,C Munro,0,0,0,4,0,3,5,2,0,,,-,,field,New Zealand,2,Westpac Stadium,2018-01-22,New Zealand,New Zealand,Pakistan
11,GD Phillips,Rumman Raees,C Munro,1,0,1,5,1,4,6,2,0,,,-,,field,New Zealand,2,Westpac Stadium,2018-01-22,New Zealand,New Zealand,Pakistan
12,GD Phillips,Mohammad Amir,C Munro,0,0,0,5,1,5,1,3,0,,,-,,field,New Zealand,2,Westpac Stadium,2018-01-22,New Zealand,New Zealand,Pakistan
13,GD Phillips,Mohammad Amir,C Munro,1,0,1,6,2,6,2,3,0,,,-,,field,New Zealand,2,Westpac Stadium,2018-01-22,New Zealand,New Zealand,Pakistan
14,C Munro,Mohammad Amir,GD Phillips,1,0,1,7,3,3,3,3,0,,,-,,field,New Zealand,2,Westpac Stadium,2018-01-22,New Zealand,New Zealand,Pakistan
15,GD Phillips,Mohammad Amir,C Munro,0,0,0,7,2,7,4,3,0,,,-,,field,New Zealand,2,Westpac Stadium,2018-01-22,New Zealand,New Zealand,Pakistan
16,GD Phillips,Mohammad Amir,C Munro,0,0,0,7,2,8,5,3,0,,,-,,field,New Zealand,2,Westpac Stadium,2018-01-22,New Zealand,New Zealand,Pakistan
17,GD Phillips,Mohammad Amir,C Munro,1,0,1,8,3,9,6,3,0,,,-,,field,New Zealand,2,Westpac Stadium,2018-01-22,New Zealand,New Zealand,Pakistan
18,GD Phillips,Rumman Raees,C Munro,0,0,0,8,3,10,1,4,0,,,-,,field,New Zealand,2,Westpac Stadium,2018-01-22,New Zealand,New Zealand,Pakistan
19,GD Phillips,Rumman Raees,C Munro,0,0,0,8,3,11,2,4,bowled,GD Phillips,,-,,field,New Zealand,2,Westpac Stadium,2018-01-22,New Zealand,New Zealand,Pakistan
20,TC Bruce,Rumman Raees,C Munro,0,0,0,8,0,1,3,4,0,,,-,,field,New Zealand,2,Westpac Stadium,2018-01-22,New Zealand,New Zealand,Pakistan
21,TC Bruce,Rumman Raees,C Munro,1,0,1,9,1,2,4,4,0,,,-,,field,New Zealand,2,Westpac Stadium,2018-01-22,New Zealand,New Zealand,Pakistan
22,C Munro,Rumman Raees,TC Bruce,1,0,1,10,4,4,5,4,0,,,-,,field,New Zealand,2,Westpac Stadium,2018-01-22,New Zealand,New Zealand,Pakistan
