,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,RG Sharma,JP Behrendorff,S Dhawan,4,0,4,4,4,1,1,1,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
1,RG Sharma,JP Behrendorff,S Dhawan,0,0,0,4,4,2,2,1,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
2,RG Sharma,JP Behrendorff,S Dhawan,0,0,0,4,4,3,3,1,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
3,RG Sharma,JP Behrendorff,S Dhawan,0,0,0,4,4,4,4,1,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
4,RG Sharma,JP Behrendorff,S Dhawan,1,0,1,5,5,5,5,1,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
5,S Dhawan,JP Behrendorff,RG Sharma,0,0,0,5,0,1,6,1,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
6,RG Sharma,NM Coulter-Nile,S Dhawan,6,0,6,11,11,6,1,2,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
7,RG Sharma,NM Coulter-Nile,S Dhawan,0,0,0,11,11,7,2,2,bowled,RG Sharma,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
8,V Kohli,NM Coulter-Nile,S Dhawan,0,0,0,11,0,1,3,2,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
9,V Kohli,NM Coulter-Nile,S Dhawan,1,0,1,12,1,2,4,2,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
10,S Dhawan,NM Coulter-Nile,V Kohli,0,0,0,12,0,2,5,2,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
11,S Dhawan,NM Coulter-Nile,V Kohli,4,0,4,16,4,3,6,2,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
12,V Kohli,AJ Tye,S Dhawan,4,0,4,20,5,3,1,3,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
13,V Kohli,AJ Tye,S Dhawan,1,0,1,21,6,4,2,3,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
14,S Dhawan,AJ Tye,V Kohli,4,0,4,25,8,4,3,3,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
15,S Dhawan,AJ Tye,V Kohli,0,1,1,26,8,5,4,3,0,,,legbyes,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
16,V Kohli,AJ Tye,S Dhawan,0,0,0,26,6,5,5,3,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
17,V Kohli,AJ Tye,S Dhawan,1,0,1,27,7,6,6,3,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
18,V Kohli,NM Coulter-Nile,S Dhawan,1,0,1,28,8,7,1,4,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
19,S Dhawan,NM Coulter-Nile,V Kohli,4,0,4,32,12,6,2,4,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
20,S Dhawan,NM Coulter-Nile,V Kohli,1,0,1,33,13,7,3,4,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
21,V Kohli,NM Coulter-Nile,S Dhawan,2,0,2,35,10,8,4,4,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
22,V Kohli,NM Coulter-Nile,S Dhawan,1,0,1,36,11,9,5,4,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
23,S Dhawan,NM Coulter-Nile,V Kohli,0,0,0,36,13,8,6,4,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
24,V Kohli,A Zampa,S Dhawan,4,0,4,40,15,10,1,5,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
25,V Kohli,A Zampa,S Dhawan,1,0,1,41,16,11,2,5,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
26,S Dhawan,A Zampa,V Kohli,0,0,0,41,13,9,3,5,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
27,S Dhawan,A Zampa,V Kohli,0,0,0,41,13,10,4,5,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
28,S Dhawan,A Zampa,V Kohli,1,0,1,42,14,11,5,5,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
29,V Kohli,A Zampa,S Dhawan,0,0,0,42,16,12,6,5,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
30,S Dhawan,DT Christian,V Kohli,1,0,1,43,15,12,1,6,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
31,V Kohli,DT Christian,S Dhawan,2,0,2,45,18,13,2,6,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
32,V Kohli,DT Christian,S Dhawan,4,0,4,49,22,14,3,6,0,,,-,field,India,2,JSCA International Stadium Complex,2017-10-07,India,Australia
