,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,MD Gunathilaka,Imad Wasim,EMDY Munaweera,1,0,1,1,1,1,1,1,-,0,,,field,Sri Lanka,2,Gaddafi Stadium,2017-10-29,Sri Lanka,Pakistan
1,EMDY Munaweera,Imad Wasim,MD Gunathilaka,0,0,0,1,0,1,2,1,-,0,,,field,Sri Lanka,2,Gaddafi Stadium,2017-10-29,Sri Lanka,Pakistan
2,EMDY Munaweera,Imad Wasim,MD Gunathilaka,1,0,1,2,1,2,3,1,-,0,,,field,Sri Lanka,2,Gaddafi Stadium,2017-10-29,Sri Lanka,Pakistan
3,MD Gunathilaka,Imad Wasim,EMDY Munaweera,2,0,2,4,3,2,4,1,-,0,,,field,Sri Lanka,2,Gaddafi Stadium,2017-10-29,Sri Lanka,Pakistan
4,MD Gunathilaka,Imad Wasim,EMDY Munaweera,2,0,2,6,5,3,5,1,-,0,,,field,Sri Lanka,2,Gaddafi Stadium,2017-10-29,Sri Lanka,Pakistan
5,MD Gunathilaka,Imad Wasim,EMDY Munaweera,4,0,4,10,9,4,6,1,-,0,,,field,Sri Lanka,2,Gaddafi Stadium,2017-10-29,Sri Lanka,Pakistan
6,EMDY Munaweera,Mohammad Amir,MD Gunathilaka,0,0,0,10,1,3,1,2,-,0,,,field,Sri Lanka,2,Gaddafi Stadium,2017-10-29,Sri Lanka,Pakistan
7,EMDY Munaweera,Mohammad Amir,MD Gunathilaka,0,0,0,10,1,4,2,2,-,bowled,EMDY Munaweera,,field,Sri Lanka,2,Gaddafi Stadium,2017-10-29,Sri Lanka,Pakistan
8,S Samarawickrama,Mohammad Amir,MD Gunathilaka,2,0,2,12,2,1,3,2,-,0,,,field,Sri Lanka,2,Gaddafi Stadium,2017-10-29,Sri Lanka,Pakistan
9,S Samarawickrama,Mohammad Amir,MD Gunathilaka,0,1,1,13,2,2,4,2,legbyes,0,,,field,Sri Lanka,2,Gaddafi Stadium,2017-10-29,Sri Lanka,Pakistan
10,MD Gunathilaka,Mohammad Amir,S Samarawickrama,0,0,0,13,9,5,5,2,-,0,,,field,Sri Lanka,2,Gaddafi Stadium,2017-10-29,Sri Lanka,Pakistan
11,MD Gunathilaka,Mohammad Amir,S Samarawickrama,0,0,0,13,9,6,6,2,-,0,,,field,Sri Lanka,2,Gaddafi Stadium,2017-10-29,Sri Lanka,Pakistan
12,S Samarawickrama,Imad Wasim,MD Gunathilaka,0,0,0,13,2,3,1,3,-,0,,,field,Sri Lanka,2,Gaddafi Stadium,2017-10-29,Sri Lanka,Pakistan
13,S Samarawickrama,Imad Wasim,MD Gunathilaka,2,0,2,15,4,4,2,3,-,0,,,field,Sri Lanka,2,Gaddafi Stadium,2017-10-29,Sri Lanka,Pakistan
