,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,Tamim Iqbal,DSK Madushanka,Soumya Sarkar,0,0,0,0,210,0,1,0,1,1,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
1,Tamim Iqbal,DSK Madushanka,Soumya Sarkar,6,0,6,6,204,6,2,0,2,1,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
2,Tamim Iqbal,DSK Madushanka,Soumya Sarkar,0,0,0,6,204,6,3,0,3,1,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
3,Tamim Iqbal,DSK Madushanka,Soumya Sarkar,2,0,2,8,202,8,4,0,4,1,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
4,Tamim Iqbal,DSK Madushanka,Soumya Sarkar,0,0,0,8,202,8,5,0,5,1,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
5,Tamim Iqbal,DSK Madushanka,Soumya Sarkar,0,0,0,8,202,8,6,0,6,1,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
6,Soumya Sarkar,A Dananjaya,Tamim Iqbal,0,0,0,8,202,0,1,0,1,2,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
7,Soumya Sarkar,A Dananjaya,Tamim Iqbal,0,0,0,8,202,0,2,0,2,2,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
8,Soumya Sarkar,A Dananjaya,Tamim Iqbal,0,0,0,8,202,0,3,0,3,2,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
9,Soumya Sarkar,A Dananjaya,Tamim Iqbal,0,0,0,8,202,0,4,1,4,2,caught,Soumya Sarkar,BMAJ Mendis,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
10,Tamim Iqbal,A Dananjaya,Mushfiqur Rahim,0,0,0,8,202,8,7,1,5,2,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
11,Tamim Iqbal,A Dananjaya,Mushfiqur Rahim,0,0,0,8,202,8,8,1,6,2,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
12,Mushfiqur Rahim,DSK Madushanka,Tamim Iqbal,0,0,0,8,202,0,1,1,1,3,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
13,Mushfiqur Rahim,DSK Madushanka,Tamim Iqbal,6,0,6,14,196,6,2,1,2,3,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
14,Mushfiqur Rahim,DSK Madushanka,Tamim Iqbal,0,0,0,14,196,6,3,2,3,3,caught,Mushfiqur Rahim,NLTC Perera,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
15,Mohammad Mithun,DSK Madushanka,Tamim Iqbal,0,1,1,15,195,0,1,2,4,3,0,,,wides,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
16,Mohammad Mithun,DSK Madushanka,Tamim Iqbal,1,0,1,16,194,1,2,2,5,3,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
17,Tamim Iqbal,DSK Madushanka,Mohammad Mithun,0,2,2,18,192,8,9,2,6,3,0,,,wides,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
18,Mohammad Mithun,DSK Madushanka,Tamim Iqbal,4,0,4,22,188,5,3,2,7,3,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
19,Mohammad Mithun,DSK Madushanka,Tamim Iqbal,0,0,0,22,188,5,4,3,8,3,caught,Mohammad Mithun,BMAJ Mendis,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
20,Mahmudullah,A Dananjaya,Tamim Iqbal,1,0,1,23,187,1,1,3,1,4,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
21,Tamim Iqbal,A Dananjaya,Mahmudullah,2,0,2,25,185,10,10,3,2,4,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
22,Tamim Iqbal,A Dananjaya,Mahmudullah,0,0,0,25,185,10,11,3,3,4,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
23,Tamim Iqbal,A Dananjaya,Mahmudullah,6,0,6,31,179,16,12,3,4,4,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
24,Tamim Iqbal,A Dananjaya,Mahmudullah,0,0,0,31,179,16,13,3,5,4,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
25,Tamim Iqbal,A Dananjaya,Mahmudullah,1,0,1,32,178,17,14,3,6,4,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
26,Tamim Iqbal,DSK Madushanka,Mahmudullah,1,0,1,33,177,18,15,3,1,5,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
