,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,MD Gunathilaka,JD Unadkat,BKG Mendis,0,0,0,0,0,1,1,1,0,,,-,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-03-06,Sri Lanka,India
1,MD Gunathilaka,JD Unadkat,BKG Mendis,1,0,1,1,1,2,2,1,0,,,-,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-03-06,Sri Lanka,India
2,BKG Mendis,JD Unadkat,MD Gunathilaka,0,0,0,1,0,1,3,1,0,,,-,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-03-06,Sri Lanka,India
3,BKG Mendis,JD Unadkat,MD Gunathilaka,4,0,4,5,4,2,4,1,0,,,-,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-03-06,Sri Lanka,India
4,BKG Mendis,JD Unadkat,MD Gunathilaka,1,0,1,6,5,3,5,1,0,,,-,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-03-06,Sri Lanka,India
5,MD Gunathilaka,JD Unadkat,BKG Mendis,0,0,0,6,1,3,6,1,0,,,-,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-03-06,Sri Lanka,India
6,BKG Mendis,Washington Sundar,MD Gunathilaka,4,0,4,10,9,4,1,2,0,,,-,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-03-06,Sri Lanka,India
7,BKG Mendis,Washington Sundar,MD Gunathilaka,2,0,2,12,11,5,2,2,0,,,-,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-03-06,Sri Lanka,India
8,BKG Mendis,Washington Sundar,MD Gunathilaka,0,0,0,12,11,6,3,2,caught,BKG Mendis,S Dhawan,-,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-03-06,Sri Lanka,India
9,MDKJ Perera,Washington Sundar,MD Gunathilaka,0,0,0,12,0,1,4,2,0,,,-,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-03-06,Sri Lanka,India
10,MDKJ Perera,Washington Sundar,MD Gunathilaka,6,0,6,18,6,2,5,2,0,,,-,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-03-06,Sri Lanka,India
11,MDKJ Perera,Washington Sundar,MD Gunathilaka,1,0,1,19,7,3,6,2,0,,,-,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-03-06,Sri Lanka,India
12,MDKJ Perera,SN Thakur,MD Gunathilaka,4,0,4,23,11,4,1,3,0,,,-,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-03-06,Sri Lanka,India
13,MDKJ Perera,SN Thakur,MD Gunathilaka,4,0,4,27,15,5,2,3,0,,,-,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-03-06,Sri Lanka,India
