,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,RG Sharma,WB Rankin,S Dhawan,0,0,0,0,0,1,1,1,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
1,RG Sharma,WB Rankin,S Dhawan,0,0,0,0,0,2,2,1,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
2,RG Sharma,WB Rankin,S Dhawan,1,0,1,1,1,3,3,1,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
3,S Dhawan,WB Rankin,RG Sharma,0,0,0,1,0,1,4,1,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
4,S Dhawan,WB Rankin,RG Sharma,0,0,0,1,0,2,5,1,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
5,S Dhawan,WB Rankin,RG Sharma,0,0,0,1,0,3,6,1,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
6,RG Sharma,PKD Chase,S Dhawan,2,0,2,3,3,4,1,2,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
7,RG Sharma,PKD Chase,S Dhawan,0,0,0,3,3,5,2,2,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
8,RG Sharma,PKD Chase,S Dhawan,0,4,4,7,3,6,3,2,{'legbyes': 4},legbyes,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
9,RG Sharma,PKD Chase,S Dhawan,0,0,0,7,3,7,4,2,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
10,RG Sharma,PKD Chase,S Dhawan,4,0,4,11,7,8,5,2,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
11,RG Sharma,PKD Chase,S Dhawan,0,0,0,11,7,9,6,2,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
12,S Dhawan,SR Thompson,RG Sharma,0,0,0,11,0,4,1,3,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
13,S Dhawan,SR Thompson,RG Sharma,4,0,4,15,4,5,2,3,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
14,S Dhawan,SR Thompson,RG Sharma,1,0,1,16,5,6,3,3,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
15,RG Sharma,SR Thompson,S Dhawan,0,1,1,17,7,10,4,3,{'wides': 1},wides,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
16,RG Sharma,SR Thompson,S Dhawan,1,0,1,18,8,11,5,3,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
17,S Dhawan,SR Thompson,RG Sharma,6,0,6,24,11,7,6,3,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
18,S Dhawan,SR Thompson,RG Sharma,4,0,4,28,15,8,7,3,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
19,RG Sharma,WB Rankin,S Dhawan,0,0,0,28,8,12,1,4,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
20,RG Sharma,WB Rankin,S Dhawan,4,0,4,32,12,13,2,4,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
21,RG Sharma,WB Rankin,S Dhawan,0,0,0,32,12,14,3,4,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
22,RG Sharma,WB Rankin,S Dhawan,0,0,0,32,12,15,4,4,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
23,RG Sharma,WB Rankin,S Dhawan,4,0,4,36,16,16,5,4,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
24,RG Sharma,WB Rankin,S Dhawan,1,0,1,37,17,17,6,4,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
25,RG Sharma,KJ O'Brien,S Dhawan,1,0,1,38,18,18,1,5,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
26,S Dhawan,KJ O'Brien,RG Sharma,6,0,6,44,21,9,2,5,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
27,S Dhawan,KJ O'Brien,RG Sharma,1,0,1,45,22,10,3,5,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
28,RG Sharma,KJ O'Brien,S Dhawan,0,0,0,45,18,19,4,5,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
29,RG Sharma,KJ O'Brien,S Dhawan,4,0,4,49,22,20,5,5,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
30,RG Sharma,KJ O'Brien,S Dhawan,1,0,1,50,23,21,6,5,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
31,RG Sharma,PKD Chase,S Dhawan,1,0,1,51,24,22,1,6,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
32,S Dhawan,PKD Chase,RG Sharma,0,0,0,51,22,11,2,6,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
33,S Dhawan,PKD Chase,RG Sharma,0,0,0,51,22,12,3,6,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
34,S Dhawan,PKD Chase,RG Sharma,0,0,0,51,22,13,4,6,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
35,S Dhawan,PKD Chase,RG Sharma,2,0,2,53,24,14,5,6,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
36,S Dhawan,PKD Chase,RG Sharma,6,0,6,59,30,15,6,6,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
37,RG Sharma,GH Dockrell,S Dhawan,1,0,1,60,25,23,1,7,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
38,S Dhawan,GH Dockrell,RG Sharma,1,0,1,61,31,16,2,7,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
39,RG Sharma,GH Dockrell,S Dhawan,1,0,1,62,26,24,3,7,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
40,S Dhawan,GH Dockrell,RG Sharma,1,0,1,63,32,17,4,7,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
41,RG Sharma,GH Dockrell,S Dhawan,1,0,1,64,27,25,5,7,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
42,S Dhawan,GH Dockrell,RG Sharma,1,0,1,65,33,18,6,7,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
43,S Dhawan,Simi Singh,RG Sharma,1,0,1,66,34,19,1,8,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
44,RG Sharma,Simi Singh,S Dhawan,1,0,1,67,28,26,2,8,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
45,S Dhawan,Simi Singh,RG Sharma,1,0,1,68,35,20,3,8,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
46,RG Sharma,Simi Singh,S Dhawan,6,0,6,74,34,27,4,8,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
47,RG Sharma,Simi Singh,S Dhawan,1,0,1,75,35,28,5,8,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
48,S Dhawan,Simi Singh,RG Sharma,2,0,2,77,37,21,6,8,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
49,RG Sharma,GH Dockrell,S Dhawan,1,0,1,78,36,29,1,9,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
50,S Dhawan,GH Dockrell,RG Sharma,0,0,0,78,37,22,2,9,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
51,S Dhawan,GH Dockrell,RG Sharma,1,0,1,79,38,23,3,9,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
52,RG Sharma,GH Dockrell,S Dhawan,0,0,0,79,36,30,4,9,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
53,RG Sharma,GH Dockrell,S Dhawan,1,0,1,80,37,31,5,9,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
54,S Dhawan,GH Dockrell,RG Sharma,4,0,4,84,42,24,6,9,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
55,RG Sharma,WB Rankin,S Dhawan,0,0,0,84,37,32,1,10,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
56,RG Sharma,WB Rankin,S Dhawan,1,0,1,85,38,33,2,10,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
57,S Dhawan,WB Rankin,RG Sharma,1,0,1,86,43,25,3,10,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
58,RG Sharma,WB Rankin,S Dhawan,6,0,6,92,44,34,4,10,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
59,RG Sharma,WB Rankin,S Dhawan,1,0,1,93,45,35,5,10,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
60,S Dhawan,WB Rankin,RG Sharma,1,0,1,94,44,26,6,10,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
61,S Dhawan,GH Dockrell,RG Sharma,6,0,6,100,50,27,1,11,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
62,S Dhawan,GH Dockrell,RG Sharma,0,0,0,100,50,28,2,11,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
63,S Dhawan,GH Dockrell,RG Sharma,0,0,0,100,50,29,3,11,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
64,S Dhawan,GH Dockrell,RG Sharma,4,0,4,104,54,30,4,11,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
65,S Dhawan,GH Dockrell,RG Sharma,1,0,1,105,55,31,5,11,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
66,RG Sharma,GH Dockrell,S Dhawan,1,0,1,106,46,36,6,11,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
67,RG Sharma,PR Stirling,S Dhawan,1,0,1,107,47,37,1,12,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
68,S Dhawan,PR Stirling,RG Sharma,1,0,1,108,56,32,2,12,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
69,RG Sharma,PR Stirling,S Dhawan,1,0,1,109,48,38,3,12,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
70,S Dhawan,PR Stirling,RG Sharma,1,0,1,110,57,33,4,12,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
71,RG Sharma,PR Stirling,S Dhawan,1,0,1,111,49,39,5,12,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
72,S Dhawan,PR Stirling,RG Sharma,0,0,0,111,57,34,6,12,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
73,RG Sharma,KJ O'Brien,S Dhawan,1,0,1,112,50,40,1,13,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
74,S Dhawan,KJ O'Brien,RG Sharma,1,0,1,113,58,35,2,13,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
75,RG Sharma,KJ O'Brien,S Dhawan,6,0,6,119,56,41,3,13,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
76,RG Sharma,KJ O'Brien,S Dhawan,1,0,1,120,57,42,4,13,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
77,S Dhawan,KJ O'Brien,RG Sharma,0,0,0,120,58,36,5,13,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
78,S Dhawan,KJ O'Brien,RG Sharma,0,1,1,121,58,37,6,13,{'wides': 1},wides,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
79,S Dhawan,KJ O'Brien,RG Sharma,1,0,1,122,59,38,7,13,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
80,S Dhawan,PR Stirling,RG Sharma,1,0,1,123,60,39,1,14,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
81,RG Sharma,PR Stirling,S Dhawan,0,0,0,123,57,43,2,14,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
82,RG Sharma,PR Stirling,S Dhawan,1,0,1,124,58,44,3,14,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
83,S Dhawan,PR Stirling,RG Sharma,1,0,1,125,61,40,4,14,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
84,RG Sharma,PR Stirling,S Dhawan,4,0,4,129,62,45,5,14,,-,0,,,field,Ireland,1,"The Village, Malahide",2018-06-27,India,Ireland
