,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,PR Stirling,B Kumar,JNK Shannon,1,0,1,1,207,1,1,0,1,-,0,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
1,JNK Shannon,B Kumar,PR Stirling,0,0,0,1,207,0,1,0,2,-,0,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
2,JNK Shannon,B Kumar,PR Stirling,0,0,0,1,207,0,2,0,3,-,0,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
3,JNK Shannon,B Kumar,PR Stirling,1,0,1,2,206,1,3,0,4,-,0,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
4,JNK Shannon,B Kumar,PR Stirling,0,1,1,3,205,1,4,0,5,legbyes,0,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
5,PR Stirling,B Kumar,JNK Shannon,0,0,0,3,205,1,2,0,6,-,0,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
6,JNK Shannon,JJ Bumrah,PR Stirling,1,0,1,4,204,2,5,0,1,-,1,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
7,PR Stirling,JJ Bumrah,JNK Shannon,0,0,0,4,204,1,3,1,2,-,1,caught,PR Stirling,Kuldeep Yadav,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
8,JNK Shannon,JJ Bumrah,A Balbirnie,0,0,0,4,204,2,6,1,3,-,1,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
9,JNK Shannon,JJ Bumrah,A Balbirnie,0,0,0,4,204,2,7,1,4,-,1,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
10,JNK Shannon,JJ Bumrah,A Balbirnie,0,1,1,5,203,2,8,1,5,wides,1,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
11,JNK Shannon,JJ Bumrah,A Balbirnie,4,0,4,9,199,6,9,1,6,-,1,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
12,JNK Shannon,JJ Bumrah,A Balbirnie,4,0,4,13,195,10,10,1,7,-,1,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
13,A Balbirnie,B Kumar,JNK Shannon,1,0,1,14,194,1,1,1,1,-,2,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
14,JNK Shannon,B Kumar,A Balbirnie,2,0,2,16,192,12,11,1,2,-,2,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
15,JNK Shannon,B Kumar,A Balbirnie,0,0,0,16,192,12,12,1,3,-,2,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
16,JNK Shannon,B Kumar,A Balbirnie,0,0,0,16,192,12,13,1,4,-,2,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
17,JNK Shannon,B Kumar,A Balbirnie,1,0,1,17,191,13,14,1,5,-,2,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
18,A Balbirnie,B Kumar,JNK Shannon,0,0,0,17,191,1,2,1,6,-,2,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
19,JNK Shannon,JJ Bumrah,A Balbirnie,4,0,4,21,187,17,15,1,1,-,3,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
20,JNK Shannon,JJ Bumrah,A Balbirnie,0,0,0,21,187,17,16,1,2,-,3,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
21,JNK Shannon,JJ Bumrah,A Balbirnie,1,0,1,22,186,18,17,1,3,-,3,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
22,A Balbirnie,JJ Bumrah,JNK Shannon,0,0,0,22,186,1,3,1,4,-,3,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
23,A Balbirnie,JJ Bumrah,JNK Shannon,0,0,0,22,186,1,4,1,5,-,3,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
24,A Balbirnie,JJ Bumrah,JNK Shannon,1,0,1,23,185,2,5,1,6,-,3,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
25,A Balbirnie,HH Pandya,JNK Shannon,1,0,1,24,184,3,6,1,1,-,4,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
26,JNK Shannon,HH Pandya,A Balbirnie,0,0,0,24,184,18,18,1,2,-,4,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
27,JNK Shannon,HH Pandya,A Balbirnie,1,0,1,25,183,19,19,1,3,-,4,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
28,A Balbirnie,HH Pandya,JNK Shannon,4,0,4,29,179,7,7,1,4,-,4,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
29,A Balbirnie,HH Pandya,JNK Shannon,1,0,1,30,178,8,8,1,5,-,4,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
30,JNK Shannon,HH Pandya,A Balbirnie,6,0,6,36,172,25,20,1,6,-,4,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
31,A Balbirnie,B Kumar,JNK Shannon,0,0,0,36,172,8,9,1,1,-,5,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
32,A Balbirnie,B Kumar,JNK Shannon,1,0,1,37,171,9,10,1,2,-,5,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
33,JNK Shannon,B Kumar,A Balbirnie,1,0,1,38,170,26,21,1,3,-,5,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
34,A Balbirnie,B Kumar,JNK Shannon,0,0,0,38,170,9,11,1,4,-,5,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
35,A Balbirnie,B Kumar,JNK Shannon,1,0,1,39,169,10,12,1,5,-,5,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
36,JNK Shannon,B Kumar,A Balbirnie,4,0,4,43,165,30,22,1,6,-,5,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
37,A Balbirnie,YS Chahal,JNK Shannon,1,0,1,44,164,11,13,1,1,-,6,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
38,JNK Shannon,YS Chahal,A Balbirnie,1,0,1,45,163,31,23,1,2,-,6,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
39,A Balbirnie,YS Chahal,JNK Shannon,0,0,0,45,163,11,14,2,3,-,6,stumped,A Balbirnie,MS Dhoni,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
40,Simi Singh,YS Chahal,JNK Shannon,1,0,1,46,162,1,1,2,4,-,6,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
41,JNK Shannon,YS Chahal,Simi Singh,6,0,6,52,156,37,24,2,5,-,6,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
42,JNK Shannon,YS Chahal,Simi Singh,0,0,0,52,156,37,25,2,6,-,6,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
43,Simi Singh,HH Pandya,JNK Shannon,0,0,0,52,156,1,2,2,1,-,7,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
44,Simi Singh,HH Pandya,JNK Shannon,1,0,1,53,155,2,3,2,2,-,7,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
45,JNK Shannon,HH Pandya,Simi Singh,4,0,4,57,151,41,26,2,3,-,7,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
46,JNK Shannon,HH Pandya,Simi Singh,1,0,1,58,150,42,27,2,4,-,7,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
47,Simi Singh,HH Pandya,JNK Shannon,0,0,0,58,150,2,4,2,5,-,7,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
48,Simi Singh,HH Pandya,JNK Shannon,4,0,4,62,146,6,5,2,6,-,7,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
49,JNK Shannon,YS Chahal,Simi Singh,1,0,1,63,145,43,28,2,1,-,8,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
50,Simi Singh,YS Chahal,JNK Shannon,0,0,0,63,145,6,6,2,2,-,8,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
51,Simi Singh,YS Chahal,JNK Shannon,1,0,1,64,144,7,7,2,3,-,8,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
52,JNK Shannon,YS Chahal,Simi Singh,6,0,6,70,138,49,29,2,4,-,8,0,,,field,Ireland,2,"The Village, Malahide",2018,06,India_Ireland_2018-06-27,India,Ireland,India,132
