,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Q de Kock,CAK Rajitha,HM Amla,4,0,4,4,4,1,1,1,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
1,Q de Kock,CAK Rajitha,HM Amla,4,0,4,8,8,2,2,1,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
2,Q de Kock,CAK Rajitha,HM Amla,0,0,0,8,8,3,3,1,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
3,Q de Kock,CAK Rajitha,HM Amla,4,0,4,12,12,4,4,1,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
4,Q de Kock,CAK Rajitha,HM Amla,1,0,1,13,13,5,5,1,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
5,HM Amla,CAK Rajitha,Q de Kock,0,0,0,13,0,1,6,1,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
6,Q de Kock,DM de Silva,HM Amla,0,0,0,13,13,6,1,2,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
7,Q de Kock,DM de Silva,HM Amla,1,0,1,14,14,7,2,2,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
8,HM Amla,DM de Silva,Q de Kock,0,0,0,14,0,2,3,2,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
9,HM Amla,DM de Silva,Q de Kock,0,0,0,14,0,3,4,2,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
10,HM Amla,DM de Silva,Q de Kock,0,0,0,14,0,4,5,2,caught,HM Amla,MD Shanaka,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
11,RR Hendricks,DM de Silva,Q de Kock,0,0,0,14,0,1,6,2,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
12,Q de Kock,A Dananjaya,RR Hendricks,1,0,1,15,15,8,1,3,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
13,RR Hendricks,A Dananjaya,Q de Kock,1,0,1,16,1,2,2,3,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
14,Q de Kock,A Dananjaya,RR Hendricks,1,0,1,17,16,9,3,3,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
15,RR Hendricks,A Dananjaya,Q de Kock,0,0,0,17,1,3,4,3,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
16,RR Hendricks,A Dananjaya,Q de Kock,0,0,0,17,1,4,5,3,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
17,RR Hendricks,A Dananjaya,Q de Kock,1,0,1,18,2,5,6,3,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
18,RR Hendricks,DM de Silva,Q de Kock,0,1,1,19,2,6,1,4,0,,,noballs,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
19,RR Hendricks,DM de Silva,Q de Kock,6,0,6,25,8,7,2,4,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
20,RR Hendricks,DM de Silva,Q de Kock,1,0,1,26,9,8,3,4,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
21,Q de Kock,DM de Silva,RR Hendricks,4,0,4,30,20,10,4,4,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
22,Q de Kock,DM de Silva,RR Hendricks,0,0,0,30,20,11,5,4,run out,Q de Kock,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
23,RR Hendricks,DM de Silva,JP Duminy,1,0,1,31,10,9,6,4,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
24,JP Duminy,DM de Silva,RR Hendricks,0,0,0,31,0,1,7,4,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
25,RR Hendricks,CAK Rajitha,JP Duminy,4,0,4,35,14,10,1,5,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
26,RR Hendricks,CAK Rajitha,JP Duminy,4,0,4,39,18,11,2,5,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
27,RR Hendricks,CAK Rajitha,JP Duminy,1,0,1,40,19,12,3,5,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
28,JP Duminy,CAK Rajitha,RR Hendricks,0,0,0,40,0,2,4,5,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
29,JP Duminy,CAK Rajitha,RR Hendricks,1,0,1,41,1,3,5,5,0,,,-,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
30,RR Hendricks,CAK Rajitha,JP Duminy,0,1,1,42,19,13,6,5,0,,,legbyes,,bat,South Africa,1,"R.Premadasa Stadium, Khettarama",2018-08-14,South Africa,Sri Lanka
