,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,MDKJ Perera,K Rabada,BKG Mendis,,1,0,1,1,97,1,1,0,1,-,0,,,1,bat,South Africa,2,"R.Premadasa Stadium, Khettarama",2018,08,South Africa_Sri Lanka_2018-08-14,Sri Lanka,Sri Lanka,South Africa
1,BKG Mendis,K Rabada,MDKJ Perera,,1,0,1,2,96,1,1,0,2,-,0,,,1,bat,South Africa,2,"R.Premadasa Stadium, Khettarama",2018,08,South Africa_Sri Lanka_2018-08-14,Sri Lanka,Sri Lanka,South Africa
2,MDKJ Perera,K Rabada,BKG Mendis,,2,0,2,4,94,3,2,0,3,-,0,,,1,bat,South Africa,2,"R.Premadasa Stadium, Khettarama",2018,08,South Africa_Sri Lanka_2018-08-14,Sri Lanka,Sri Lanka,South Africa
3,MDKJ Perera,K Rabada,BKG Mendis,,0,0,0,4,94,3,3,1,4,-,caught,MDKJ Perera,T Shamsi,1,bat,South Africa,2,"R.Premadasa Stadium, Khettarama",2018,08,South Africa_Sri Lanka_2018-08-14,Sri Lanka,Sri Lanka,South Africa
4,LD Chandimal,K Rabada,BKG Mendis,,1,1,2,6,92,1,1,1,5,noballs,0,,,1,bat,South Africa,2,"R.Premadasa Stadium, Khettarama",2018,08,South Africa_Sri Lanka_2018-08-14,Sri Lanka,Sri Lanka,South Africa
5,BKG Mendis,K Rabada,LD Chandimal,,0,0,0,6,92,1,2,1,6,-,0,,,1,bat,South Africa,2,"R.Premadasa Stadium, Khettarama",2018,08,South Africa_Sri Lanka_2018-08-14,Sri Lanka,Sri Lanka,South Africa
6,BKG Mendis,K Rabada,LD Chandimal,"{'by': 'South Africa', 'batter': 'BKG Mendis', 'decision': 'upheld'}",0,0,0,6,92,1,3,2,7,-,lbw,BKG Mendis,,1,bat,South Africa,2,"R.Premadasa Stadium, Khettarama",2018,08,South Africa_Sri Lanka_2018-08-14,Sri Lanka,Sri Lanka,South Africa
7,LD Chandimal,L Ngidi,DM de Silva,,0,0,0,6,92,1,2,2,1,-,0,,,2,bat,South Africa,2,"R.Premadasa Stadium, Khettarama",2018,08,South Africa_Sri Lanka_2018-08-14,Sri Lanka,Sri Lanka,South Africa
8,LD Chandimal,L Ngidi,DM de Silva,,1,0,1,7,91,2,3,2,2,-,0,,,2,bat,South Africa,2,"R.Premadasa Stadium, Khettarama",2018,08,South Africa_Sri Lanka_2018-08-14,Sri Lanka,Sri Lanka,South Africa
9,DM de Silva,L Ngidi,LD Chandimal,,0,0,0,7,91,0,1,2,3,-,0,,,2,bat,South Africa,2,"R.Premadasa Stadium, Khettarama",2018,08,South Africa_Sri Lanka_2018-08-14,Sri Lanka,Sri Lanka,South Africa
