,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,Mohammad Hafeez,B Stanlake,Fakhar Zaman,0,0,0,0,182,0,1,0,1,0,,,1,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
1,Mohammad Hafeez,B Stanlake,Fakhar Zaman,0,0,0,0,182,0,2,0,2,0,,,1,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
2,Mohammad Hafeez,B Stanlake,Fakhar Zaman,0,0,0,0,182,0,3,1,3,caught,Mohammad Hafeez,AJ Finch,1,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
3,Hussain Talat,B Stanlake,Fakhar Zaman,0,0,0,0,182,0,1,1,4,0,,,1,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
4,Hussain Talat,B Stanlake,Fakhar Zaman,0,0,0,0,182,0,2,1,5,0,,,1,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
5,Hussain Talat,B Stanlake,Fakhar Zaman,1,0,1,1,181,1,3,1,6,0,,,1,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
6,Hussain Talat,JA Richardson,Fakhar Zaman,0,0,0,1,181,1,4,1,1,0,,,2,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
7,Hussain Talat,JA Richardson,Fakhar Zaman,4,0,4,5,177,5,5,1,2,0,,,2,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
8,Hussain Talat,JA Richardson,Fakhar Zaman,4,0,4,9,173,9,6,1,3,0,,,2,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
9,Hussain Talat,JA Richardson,Fakhar Zaman,0,0,0,9,173,9,7,1,4,0,,,2,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
10,Hussain Talat,JA Richardson,Fakhar Zaman,1,0,1,10,172,10,8,1,5,0,,,2,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
11,Fakhar Zaman,JA Richardson,Hussain Talat,1,0,1,11,171,1,1,1,6,0,,,2,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
12,Fakhar Zaman,B Stanlake,Hussain Talat,0,0,0,11,171,1,2,1,1,0,,,3,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
13,Fakhar Zaman,B Stanlake,Hussain Talat,0,0,0,11,171,1,3,1,2,0,,,3,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
14,Fakhar Zaman,B Stanlake,Hussain Talat,1,0,1,12,170,2,4,1,3,0,,,3,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
15,Hussain Talat,B Stanlake,Fakhar Zaman,0,0,0,12,170,10,9,1,4,0,,,3,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
16,Hussain Talat,B Stanlake,Fakhar Zaman,0,0,0,12,170,10,10,2,5,caught,Hussain Talat,AJ Finch,3,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
17,Sarfraz Ahmed,B Stanlake,Fakhar Zaman,2,0,2,14,168,2,1,2,6,0,,,3,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
18,Fakhar Zaman,JA Richardson,Sarfraz Ahmed,0,0,0,14,168,2,5,2,1,0,,,4,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
19,Fakhar Zaman,JA Richardson,Sarfraz Ahmed,0,0,0,14,168,2,6,2,2,0,,,4,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
20,Fakhar Zaman,JA Richardson,Sarfraz Ahmed,0,0,0,14,168,2,7,2,3,0,,,4,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
21,Fakhar Zaman,JA Richardson,Sarfraz Ahmed,4,0,4,18,164,6,8,2,4,0,,,4,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
22,Fakhar Zaman,JA Richardson,Sarfraz Ahmed,0,0,0,18,164,6,9,2,5,0,,,4,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
23,Fakhar Zaman,JA Richardson,Sarfraz Ahmed,0,0,0,18,164,6,10,2,6,0,,,4,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
24,Sarfraz Ahmed,B Stanlake,Fakhar Zaman,0,0,0,18,164,2,2,2,1,0,,,5,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
25,Sarfraz Ahmed,B Stanlake,Fakhar Zaman,1,0,1,19,163,3,3,2,2,0,,,5,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
26,Fakhar Zaman,B Stanlake,Sarfraz Ahmed,0,0,0,19,163,6,11,3,3,caught,Fakhar Zaman,AT Carey,5,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
27,Shoaib Malik,B Stanlake,Sarfraz Ahmed,0,0,0,19,163,0,1,3,4,0,,,5,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
28,Shoaib Malik,B Stanlake,Sarfraz Ahmed,0,0,0,19,163,0,2,3,5,0,,,5,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
29,Shoaib Malik,B Stanlake,Sarfraz Ahmed,0,0,0,19,163,0,3,3,6,0,,,5,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
30,Sarfraz Ahmed,MP Stoinis,Shoaib Malik,1,0,1,20,162,4,4,3,1,0,,,6,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
31,Shoaib Malik,MP Stoinis,Sarfraz Ahmed,0,0,0,20,162,0,4,3,2,0,,,6,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
32,Shoaib Malik,MP Stoinis,Sarfraz Ahmed,2,0,2,22,160,2,5,3,3,0,,,6,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
33,Shoaib Malik,MP Stoinis,Sarfraz Ahmed,0,0,0,22,160,2,6,3,4,0,,,6,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
34,Shoaib Malik,MP Stoinis,Sarfraz Ahmed,0,0,0,22,160,2,7,3,5,0,,,6,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
35,Shoaib Malik,MP Stoinis,Sarfraz Ahmed,1,0,1,23,159,3,8,3,6,0,,,6,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
36,Shoaib Malik,B Stanlake,Sarfraz Ahmed,1,0,1,24,158,4,9,3,1,0,,,7,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
37,Sarfraz Ahmed,B Stanlake,Shoaib Malik,0,0,0,24,158,4,5,4,2,caught,Sarfraz Ahmed,AJ Finch,7,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
38,Asif Ali,B Stanlake,Shoaib Malik,0,1,1,25,157,0,1,4,3,0,,,7,wides,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
39,Asif Ali,B Stanlake,Shoaib Malik,0,0,0,25,157,0,2,4,4,0,,,7,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
40,Asif Ali,B Stanlake,Shoaib Malik,0,0,0,25,157,0,3,4,5,0,,,7,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
41,Asif Ali,B Stanlake,Shoaib Malik,1,0,1,26,156,1,4,4,6,0,,,7,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
42,Shoaib Malik,B Stanlake,Asif Ali,0,0,0,26,156,4,10,4,7,0,,,7,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
43,Asif Ali,AJ Tye,Shoaib Malik,1,0,1,27,155,2,5,4,1,0,,,8,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
44,Shoaib Malik,AJ Tye,Asif Ali,1,0,1,28,154,5,11,4,2,0,,,8,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
45,Asif Ali,AJ Tye,Shoaib Malik,1,0,1,29,153,3,6,4,3,0,,,8,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
46,Shoaib Malik,AJ Tye,Asif Ali,1,0,1,30,152,6,12,4,4,0,,,8,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
47,Asif Ali,AJ Tye,Shoaib Malik,0,0,0,30,152,3,7,4,5,0,,,8,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
48,Asif Ali,AJ Tye,Shoaib Malik,1,0,1,31,151,4,8,4,6,0,,,8,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
49,Asif Ali,AC Agar,Shoaib Malik,1,0,1,32,150,5,9,4,1,0,,,9,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
50,Shoaib Malik,AC Agar,Asif Ali,1,0,1,33,149,7,13,4,2,0,,,9,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
51,Asif Ali,AC Agar,Shoaib Malik,1,0,1,34,148,6,10,4,3,0,,,9,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
52,Shoaib Malik,AC Agar,Asif Ali,4,0,4,38,144,11,14,4,4,0,,,9,-,field,Australia,1,Harare Sports Club,2018,07,Pakistan_Australia_2018-07-02,Australia,Pakistan,Australia,116
