,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,H Masakadza,L Ngidi,SF Mire,0,0,0,0,160,0,1,0,1,-,1,0,,,bat,Zimbabwe,1,Senwes Park,2018,10,Zimbabwe_South Africa_2018-10-12,South Africa,Zimbabwe,South Africa,132
1,H Masakadza,L Ngidi,SF Mire,0,0,0,0,160,0,2,0,2,-,1,0,,,bat,Zimbabwe,1,Senwes Park,2018,10,Zimbabwe_South Africa_2018-10-12,South Africa,Zimbabwe,South Africa,132
2,H Masakadza,L Ngidi,SF Mire,0,0,0,0,160,0,3,0,3,-,1,0,,,bat,Zimbabwe,1,Senwes Park,2018,10,Zimbabwe_South Africa_2018-10-12,South Africa,Zimbabwe,South Africa,132
3,H Masakadza,L Ngidi,SF Mire,1,0,1,1,159,1,4,0,4,-,1,0,,,bat,Zimbabwe,1,Senwes Park,2018,10,Zimbabwe_South Africa_2018-10-12,South Africa,Zimbabwe,South Africa,132
4,SF Mire,L Ngidi,H Masakadza,0,1,1,2,158,0,1,0,5,wides,1,0,,,bat,Zimbabwe,1,Senwes Park,2018,10,Zimbabwe_South Africa_2018-10-12,South Africa,Zimbabwe,South Africa,132
5,SF Mire,L Ngidi,H Masakadza,1,0,1,3,157,1,2,0,6,-,1,0,,,bat,Zimbabwe,1,Senwes Park,2018,10,Zimbabwe_South Africa_2018-10-12,South Africa,Zimbabwe,South Africa,132
6,H Masakadza,L Ngidi,SF Mire,4,0,4,7,153,5,5,0,7,-,1,0,,,bat,Zimbabwe,1,Senwes Park,2018,10,Zimbabwe_South Africa_2018-10-12,South Africa,Zimbabwe,South Africa,132
7,SF Mire,D Paterson,H Masakadza,0,0,0,7,153,1,3,0,1,-,2,0,,,bat,Zimbabwe,1,Senwes Park,2018,10,Zimbabwe_South Africa_2018-10-12,South Africa,Zimbabwe,South Africa,132
8,SF Mire,D Paterson,H Masakadza,0,0,0,7,153,1,4,1,2,-,2,bowled,SF Mire,,bat,Zimbabwe,1,Senwes Park,2018,10,Zimbabwe_South Africa_2018-10-12,South Africa,Zimbabwe,South Africa,132
9,BRM Taylor,D Paterson,H Masakadza,0,0,0,7,153,0,1,1,3,-,2,0,,,bat,Zimbabwe,1,Senwes Park,2018,10,Zimbabwe_South Africa_2018-10-12,South Africa,Zimbabwe,South Africa,132
10,BRM Taylor,D Paterson,H Masakadza,4,0,4,11,149,4,2,1,4,-,2,0,,,bat,Zimbabwe,1,Senwes Park,2018,10,Zimbabwe_South Africa_2018-10-12,South Africa,Zimbabwe,South Africa,132
11,BRM Taylor,D Paterson,H Masakadza,0,0,0,11,149,4,3,1,5,-,2,0,,,bat,Zimbabwe,1,Senwes Park,2018,10,Zimbabwe_South Africa_2018-10-12,South Africa,Zimbabwe,South Africa,132
12,BRM Taylor,D Paterson,H Masakadza,0,0,0,11,149,4,4,1,6,-,2,0,,,bat,Zimbabwe,1,Senwes Park,2018,10,Zimbabwe_South Africa_2018-10-12,South Africa,Zimbabwe,South Africa,132
13,H Masakadza,L Ngidi,BRM Taylor,0,0,0,11,149,5,6,1,1,-,3,0,,,bat,Zimbabwe,1,Senwes Park,2018,10,Zimbabwe_South Africa_2018-10-12,South Africa,Zimbabwe,South Africa,132
14,H Masakadza,L Ngidi,BRM Taylor,0,0,0,11,149,5,7,1,2,-,3,0,,,bat,Zimbabwe,1,Senwes Park,2018,10,Zimbabwe_South Africa_2018-10-12,South Africa,Zimbabwe,South Africa,132
15,H Masakadza,L Ngidi,BRM Taylor,6,0,6,17,143,11,8,1,3,-,3,0,,,bat,Zimbabwe,1,Senwes Park,2018,10,Zimbabwe_South Africa_2018-10-12,South Africa,Zimbabwe,South Africa,132
16,H Masakadza,L Ngidi,BRM Taylor,0,0,0,17,143,11,9,1,4,-,3,0,,,bat,Zimbabwe,1,Senwes Park,2018,10,Zimbabwe_South Africa_2018-10-12,South Africa,Zimbabwe,South Africa,132
