,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,Mohammad Shahzad,Abu Jayed,Usman Ghani,0,0,0,0,,0,1,0,-,1.0,0,0,,,field,Bangladesh,1,"Rajiv Gandhi International Cricket Stadium, Dehradun",2018,06,Afghanistan_Bangladesh_2018-06-03,Afghanistan,Afghanistan,Bangladesh,True,167,,,Right arm Fast
1,Mohammad Shahzad,Abu Jayed,Usman Ghani,4,0,4,4,,4,2,0,-,2.0,0,0,,,field,Bangladesh,1,"Rajiv Gandhi International Cricket Stadium, Dehradun",2018,06,Afghanistan_Bangladesh_2018-06-03,Afghanistan,Afghanistan,Bangladesh,True,167,,,Right arm Fast
2,Mohammad Shahzad,Abu Jayed,Usman Ghani,0,0,0,4,,4,3,0,-,3.0,0,0,,,field,Bangladesh,1,"Rajiv Gandhi International Cricket Stadium, Dehradun",2018,06,Afghanistan_Bangladesh_2018-06-03,Afghanistan,Afghanistan,Bangladesh,True,167,,,Right arm Fast
3,Mohammad Shahzad,Abu Jayed,Usman Ghani,1,0,1,5,,5,4,0,-,4.0,0,0,,,field,Bangladesh,1,"Rajiv Gandhi International Cricket Stadium, Dehradun",2018,06,Afghanistan_Bangladesh_2018-06-03,Afghanistan,Afghanistan,Bangladesh,True,167,,,Right arm Fast
4,Usman Ghani,Abu Jayed,Mohammad Shahzad,0,0,0,5,,0,1,0,-,5.0,0,0,,,field,Bangladesh,1,"Rajiv Gandhi International Cricket Stadium, Dehradun",2018,06,Afghanistan_Bangladesh_2018-06-03,Afghanistan,Afghanistan,Bangladesh,True,167,,,Right arm Fast
5,Usman Ghani,Abu Jayed,Mohammad Shahzad,4,0,4,9,,4,2,0,-,6.0,0,0,,,field,Bangladesh,1,"Rajiv Gandhi International Cricket Stadium, Dehradun",2018,06,Afghanistan_Bangladesh_2018-06-03,Afghanistan,Afghanistan,Bangladesh,True,167,,,Right arm Fast
6,Mohammad Shahzad,Nazmul Islam,Usman Ghani,0,0,0,9,,5,5,0,-,1.0,1,0,,,field,Bangladesh,1,"Rajiv Gandhi International Cricket Stadium, Dehradun",2018,06,Afghanistan_Bangladesh_2018-06-03,Afghanistan,Afghanistan,Bangladesh,True,167,,,Left arm Orthodox
7,Mohammad Shahzad,Nazmul Islam,Usman Ghani,1,0,1,10,,6,6,0,-,2.0,1,0,,,field,Bangladesh,1,"Rajiv Gandhi International Cricket Stadium, Dehradun",2018,06,Afghanistan_Bangladesh_2018-06-03,Afghanistan,Afghanistan,Bangladesh,True,167,,,Left arm Orthodox
8,Usman Ghani,Nazmul Islam,Mohammad Shahzad,0,0,0,10,,4,3,0,-,3.0,1,0,,,field,Bangladesh,1,"Rajiv Gandhi International Cricket Stadium, Dehradun",2018,06,Afghanistan_Bangladesh_2018-06-03,Afghanistan,Afghanistan,Bangladesh,True,167,,,Left arm Orthodox
9,Usman Ghani,Nazmul Islam,Mohammad Shahzad,1,0,1,11,,5,4,0,-,4.0,1,0,,,field,Bangladesh,1,"Rajiv Gandhi International Cricket Stadium, Dehradun",2018,06,Afghanistan_Bangladesh_2018-06-03,Afghanistan,Afghanistan,Bangladesh,True,167,,,Left arm Orthodox
