,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Mohammad Shahzad,Mehedi Hasan Miraz,Usman Ghani,0,0,0,0,,0,1,0,1,-,0,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
1,Mohammad Shahzad,Mehedi Hasan Miraz,Usman Ghani,4,0,4,4,,4,2,0,2,-,0,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
2,Mohammad Shahzad,Mehedi Hasan Miraz,Usman Ghani,0,3,3,7,,4,3,0,3,wides,0,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
3,Mohammad Shahzad,Mehedi Hasan Miraz,Usman Ghani,0,0,0,7,,4,4,0,4,-,0,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
4,Mohammad Shahzad,Mehedi Hasan Miraz,Usman Ghani,0,0,0,7,,4,5,0,5,-,0,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
5,Mohammad Shahzad,Mehedi Hasan Miraz,Usman Ghani,0,1,1,8,,4,6,0,6,wides,0,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
6,Mohammad Shahzad,Mehedi Hasan Miraz,Usman Ghani,4,0,4,12,,8,7,0,7,-,0,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
7,Mohammad Shahzad,Mehedi Hasan Miraz,Usman Ghani,6,0,6,18,,14,8,0,8,-,0,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
8,Usman Ghani,Nazmul Islam,Mohammad Shahzad,0,0,0,18,,0,1,0,1,-,1,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
9,Usman Ghani,Nazmul Islam,Mohammad Shahzad,1,0,1,19,,1,2,0,2,-,1,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
10,Mohammad Shahzad,Nazmul Islam,Usman Ghani,1,0,1,20,,15,9,0,3,-,1,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
11,Usman Ghani,Nazmul Islam,Mohammad Shahzad,0,0,0,20,,1,3,0,4,-,1,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
12,Usman Ghani,Nazmul Islam,Mohammad Shahzad,0,0,0,20,,1,4,0,5,-,1,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
13,Usman Ghani,Nazmul Islam,Mohammad Shahzad,0,0,0,20,,1,5,0,6,-,1,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
14,Mohammad Shahzad,Shakib Al Hasan,Usman Ghani,1,0,1,21,,16,10,0,1,-,2,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
15,Usman Ghani,Shakib Al Hasan,Mohammad Shahzad,1,0,1,22,,2,6,0,2,-,2,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
16,Mohammad Shahzad,Shakib Al Hasan,Usman Ghani,0,0,0,22,,16,11,0,3,-,2,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
17,Mohammad Shahzad,Shakib Al Hasan,Usman Ghani,4,0,4,26,,20,12,0,4,-,2,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
18,Mohammad Shahzad,Shakib Al Hasan,Usman Ghani,0,0,0,26,,20,13,0,5,-,2,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
19,Mohammad Shahzad,Shakib Al Hasan,Usman Ghani,0,0,0,26,,20,14,0,6,-,2,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
20,Usman Ghani,Abu Hider,Mohammad Shahzad,0,0,0,26,,2,7,0,1,-,3,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
21,Usman Ghani,Abu Hider,Mohammad Shahzad,0,1,1,27,,2,8,0,2,legbyes,3,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
22,Mohammad Shahzad,Abu Hider,Usman Ghani,1,0,1,28,,21,15,0,3,-,3,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
23,Usman Ghani,Abu Hider,Mohammad Shahzad,0,5,5,33,,2,9,0,4,wides,3,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
24,Usman Ghani,Abu Hider,Mohammad Shahzad,0,0,0,33,,2,10,0,5,-,3,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
25,Usman Ghani,Abu Hider,Mohammad Shahzad,0,0,0,33,,2,11,0,6,-,3,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
26,Usman Ghani,Abu Hider,Mohammad Shahzad,1,0,1,34,,3,12,0,7,-,3,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
27,Usman Ghani,Shakib Al Hasan,Mohammad Shahzad,0,0,0,34,,3,13,0,1,-,4,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
28,Usman Ghani,Shakib Al Hasan,Mohammad Shahzad,0,0,0,34,,3,14,0,2,-,4,0,,,bat,Afghanistan,1,Rajiv Gandhi International Cricket Stadium,2018,06,Afghanistan_Bangladesh_2018-06-07,Afghanistan,Afghanistan,Bangladesh,True,145
