,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,Mohammad Shahzad,WB Rankin,Hazratullah,1,0,1,1,1,1,1,1,0,,,-,bat,Afghanistan,1,"Bready Cricket Club, Magheramason",2018-08-22,Afghanistan,Afghanistan,Ireland
1,Hazratullah,WB Rankin,Mohammad Shahzad,0,0,0,1,0,1,2,1,0,,,-,bat,Afghanistan,1,"Bready Cricket Club, Magheramason",2018-08-22,Afghanistan,Afghanistan,Ireland
2,Hazratullah,WB Rankin,Mohammad Shahzad,0,0,0,1,0,2,3,1,0,,,-,bat,Afghanistan,1,"Bready Cricket Club, Magheramason",2018-08-22,Afghanistan,Afghanistan,Ireland
3,Hazratullah,WB Rankin,Mohammad Shahzad,4,0,4,5,4,3,4,1,0,,,-,bat,Afghanistan,1,"Bready Cricket Club, Magheramason",2018-08-22,Afghanistan,Afghanistan,Ireland
4,Hazratullah,WB Rankin,Mohammad Shahzad,0,0,0,5,4,4,5,1,0,,,-,bat,Afghanistan,1,"Bready Cricket Club, Magheramason",2018-08-22,Afghanistan,Afghanistan,Ireland
5,Hazratullah,WB Rankin,Mohammad Shahzad,0,0,0,5,4,5,6,1,0,,,-,bat,Afghanistan,1,"Bready Cricket Club, Magheramason",2018-08-22,Afghanistan,Afghanistan,Ireland
6,Mohammad Shahzad,Simi Singh,Hazratullah,0,0,0,5,1,2,1,2,0,,,-,bat,Afghanistan,1,"Bready Cricket Club, Magheramason",2018-08-22,Afghanistan,Afghanistan,Ireland
7,Mohammad Shahzad,Simi Singh,Hazratullah,0,0,0,5,1,3,2,2,0,,,-,bat,Afghanistan,1,"Bready Cricket Club, Magheramason",2018-08-22,Afghanistan,Afghanistan,Ireland
8,Mohammad Shahzad,Simi Singh,Hazratullah,0,0,0,5,1,4,3,2,0,,,-,bat,Afghanistan,1,"Bready Cricket Club, Magheramason",2018-08-22,Afghanistan,Afghanistan,Ireland
9,Mohammad Shahzad,Simi Singh,Hazratullah,0,0,0,5,1,5,4,2,caught,Mohammad Shahzad,WB Rankin,-,bat,Afghanistan,1,"Bready Cricket Club, Magheramason",2018-08-22,Afghanistan,Afghanistan,Ireland
10,Samiullah Shenwari,Simi Singh,Hazratullah,1,0,1,6,1,1,5,2,0,,,-,bat,Afghanistan,1,"Bready Cricket Club, Magheramason",2018-08-22,Afghanistan,Afghanistan,Ireland
11,Hazratullah,Simi Singh,Samiullah Shenwari,1,0,1,7,5,6,6,2,0,,,-,bat,Afghanistan,1,"Bready Cricket Club, Magheramason",2018-08-22,Afghanistan,Afghanistan,Ireland
12,Hazratullah,PKD Chase,Samiullah Shenwari,0,0,0,7,5,7,1,3,0,,,-,bat,Afghanistan,1,"Bready Cricket Club, Magheramason",2018-08-22,Afghanistan,Afghanistan,Ireland
13,Hazratullah,PKD Chase,Samiullah Shenwari,1,0,1,8,6,8,2,3,0,,,-,bat,Afghanistan,1,"Bready Cricket Club, Magheramason",2018-08-22,Afghanistan,Afghanistan,Ireland
14,Samiullah Shenwari,PKD Chase,Hazratullah,0,0,0,8,1,2,3,3,0,,,-,bat,Afghanistan,1,"Bready Cricket Club, Magheramason",2018-08-22,Afghanistan,Afghanistan,Ireland
15,Samiullah Shenwari,PKD Chase,Hazratullah,0,0,0,8,1,3,4,3,0,,,-,bat,Afghanistan,1,"Bready Cricket Club, Magheramason",2018-08-22,Afghanistan,Afghanistan,Ireland
16,Samiullah Shenwari,PKD Chase,Hazratullah,0,0,0,8,1,4,5,3,caught,Samiullah Shenwari,GH Dockrell,-,bat,Afghanistan,1,"Bready Cricket Club, Magheramason",2018-08-22,Afghanistan,Afghanistan,Ireland
17,Asghar Stanikzai,PKD Chase,Hazratullah,0,0,0,8,0,1,6,3,0,,,-,bat,Afghanistan,1,"Bready Cricket Club, Magheramason",2018-08-22,Afghanistan,Afghanistan,Ireland
18,Hazratullah,Simi Singh,Asghar Stanikzai,0,0,0,8,6,9,1,4,0,,,-,bat,Afghanistan,1,"Bready Cricket Club, Magheramason",2018-08-22,Afghanistan,Afghanistan,Ireland
19,Hazratullah,Simi Singh,Asghar Stanikzai,1,0,1,9,7,10,2,4,0,,,-,bat,Afghanistan,1,"Bready Cricket Club, Magheramason",2018-08-22,Afghanistan,Afghanistan,Ireland
