,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,RG Sharma,TG Southee,S Dhawan,1,0,1,1,218,1,1,0,1,0,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
1,S Dhawan,TG Southee,RG Sharma,0,0,0,1,218,0,1,0,2,0,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
2,S Dhawan,TG Southee,RG Sharma,0,0,0,1,218,0,2,0,3,0,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
3,S Dhawan,TG Southee,RG Sharma,0,0,0,1,218,0,3,0,4,0,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
4,S Dhawan,TG Southee,RG Sharma,0,0,0,1,218,0,4,0,5,0,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
5,S Dhawan,TG Southee,RG Sharma,0,0,0,1,218,0,5,0,6,0,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
6,RG Sharma,SC Kuggeleijn,S Dhawan,0,0,0,1,218,1,2,0,1,1,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
7,RG Sharma,SC Kuggeleijn,S Dhawan,0,1,1,2,217,1,3,0,2,1,legbyes,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
8,S Dhawan,SC Kuggeleijn,RG Sharma,6,0,6,8,211,6,6,0,3,1,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
9,S Dhawan,SC Kuggeleijn,RG Sharma,6,0,6,14,205,12,7,0,4,1,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
10,S Dhawan,SC Kuggeleijn,RG Sharma,4,0,4,18,201,16,8,0,5,1,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
11,S Dhawan,SC Kuggeleijn,RG Sharma,0,0,0,18,201,16,9,0,6,1,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
12,RG Sharma,TG Southee,S Dhawan,0,0,0,18,201,1,4,0,1,2,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
13,RG Sharma,TG Southee,S Dhawan,0,0,0,18,201,1,5,1,2,2,-,caught,RG Sharma,LH Ferguson,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
14,S Dhawan,TG Southee,V Shankar,0,0,0,18,201,16,10,1,3,2,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
15,S Dhawan,TG Southee,V Shankar,1,0,1,19,200,17,11,1,4,2,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
16,V Shankar,TG Southee,S Dhawan,0,0,0,19,200,0,1,1,5,2,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
17,V Shankar,TG Southee,S Dhawan,0,0,0,19,200,0,2,1,6,2,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
18,S Dhawan,LH Ferguson,V Shankar,1,0,1,20,199,18,12,1,1,3,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
19,V Shankar,LH Ferguson,S Dhawan,0,0,0,20,199,0,3,1,2,3,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
20,V Shankar,LH Ferguson,S Dhawan,0,1,1,21,198,0,4,1,3,3,legbyes,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
21,S Dhawan,LH Ferguson,V Shankar,6,0,6,27,192,24,13,1,4,3,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
22,S Dhawan,LH Ferguson,V Shankar,0,0,0,27,192,24,14,1,5,3,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
23,S Dhawan,LH Ferguson,V Shankar,0,1,1,28,191,24,15,1,6,3,legbyes,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
24,S Dhawan,SC Kuggeleijn,V Shankar,1,0,1,29,190,25,16,1,1,4,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
25,V Shankar,SC Kuggeleijn,S Dhawan,4,0,4,33,186,4,5,1,2,4,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
26,V Shankar,SC Kuggeleijn,S Dhawan,2,0,2,35,184,6,6,1,3,4,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
27,V Shankar,SC Kuggeleijn,S Dhawan,4,0,4,39,180,10,7,1,4,4,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
28,V Shankar,SC Kuggeleijn,S Dhawan,6,0,6,45,174,16,8,1,5,4,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
29,V Shankar,SC Kuggeleijn,S Dhawan,1,0,1,46,173,17,9,1,6,4,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
30,V Shankar,LH Ferguson,S Dhawan,1,0,1,47,172,18,10,1,1,5,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
31,S Dhawan,LH Ferguson,V Shankar,4,0,4,51,168,29,17,1,2,5,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
32,S Dhawan,LH Ferguson,V Shankar,0,0,0,51,168,29,18,2,3,5,-,bowled,S Dhawan,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
33,RR Pant,LH Ferguson,V Shankar,0,0,0,51,168,0,1,2,4,5,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
34,RR Pant,LH Ferguson,V Shankar,1,0,1,52,167,1,2,2,5,5,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
35,V Shankar,LH Ferguson,RR Pant,1,0,1,53,166,19,11,2,6,5,-,0,,,field,India,2,Westpac Stadium,2019,02,New Zealand_India_2019-02-06,New Zealand,India,New Zealand,139
