,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,S Dhawan,MJ Santner,RG Sharma,0,0,0,0,212,0,1,0,1,-,0,,,1,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
1,S Dhawan,MJ Santner,RG Sharma,4,0,4,4,208,4,2,0,2,-,0,,,1,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
2,S Dhawan,MJ Santner,RG Sharma,1,0,1,5,207,5,3,0,3,-,0,,,1,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
3,RG Sharma,MJ Santner,S Dhawan,1,0,1,6,206,1,1,0,4,-,0,,,1,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
4,S Dhawan,MJ Santner,RG Sharma,0,0,0,6,206,5,4,1,5,-,caught,S Dhawan,DJ Mitchell,1,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
5,V Shankar,MJ Santner,RG Sharma,0,5,5,11,201,0,1,1,6,wides,0,,,1,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
6,V Shankar,MJ Santner,RG Sharma,0,0,0,11,201,0,2,1,7,-,0,,,1,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
7,RG Sharma,TG Southee,V Shankar,1,0,1,12,200,2,2,1,1,-,0,,,2,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
8,V Shankar,TG Southee,RG Sharma,0,0,0,12,200,0,3,1,2,-,0,,,2,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
9,V Shankar,TG Southee,RG Sharma,1,0,1,13,199,1,4,1,3,-,0,,,2,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
10,RG Sharma,TG Southee,V Shankar,0,0,0,13,199,2,3,1,4,-,0,,,2,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
11,RG Sharma,TG Southee,V Shankar,4,0,4,17,195,6,4,1,5,-,0,,,2,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
12,RG Sharma,TG Southee,V Shankar,1,0,1,18,194,7,5,1,6,-,0,,,2,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
13,RG Sharma,SC Kuggeleijn,V Shankar,1,0,1,19,193,8,6,1,1,-,0,,,3,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
14,V Shankar,SC Kuggeleijn,RG Sharma,1,0,1,20,192,2,5,1,2,-,0,,,3,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
15,RG Sharma,SC Kuggeleijn,V Shankar,1,0,1,21,191,9,7,1,3,-,0,,,3,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
16,V Shankar,SC Kuggeleijn,RG Sharma,4,0,4,25,187,6,6,1,4,-,0,,,3,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
17,V Shankar,SC Kuggeleijn,RG Sharma,0,0,0,25,187,6,7,1,5,-,0,,,3,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
18,V Shankar,SC Kuggeleijn,RG Sharma,4,0,4,29,183,10,8,1,6,-,0,,,3,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
19,RG Sharma,BM Tickner,V Shankar,1,0,1,30,182,10,8,1,1,-,0,,,4,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
20,V Shankar,BM Tickner,RG Sharma,0,0,0,30,182,10,9,1,2,-,0,,,4,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
21,V Shankar,BM Tickner,RG Sharma,0,0,0,30,182,10,10,1,3,-,0,,,4,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
22,V Shankar,BM Tickner,RG Sharma,2,0,2,32,180,12,11,1,4,-,0,,,4,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
23,V Shankar,BM Tickner,RG Sharma,0,1,1,33,179,12,12,1,5,wides,0,,,4,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
24,V Shankar,BM Tickner,RG Sharma,4,0,4,37,175,16,13,1,6,-,0,,,4,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
25,V Shankar,BM Tickner,RG Sharma,1,0,1,38,174,17,14,1,7,-,0,,,4,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
26,V Shankar,TG Southee,RG Sharma,0,0,0,38,174,17,15,1,1,-,0,,,5,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
27,V Shankar,TG Southee,RG Sharma,1,0,1,39,173,18,16,1,2,-,0,,,5,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
28,RG Sharma,TG Southee,V Shankar,1,0,1,40,172,11,9,1,3,-,0,,,5,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
29,V Shankar,TG Southee,RG Sharma,1,0,1,41,171,19,17,1,4,-,0,,,5,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
30,RG Sharma,TG Southee,V Shankar,4,0,4,45,167,15,10,1,5,-,0,,,5,field,India,2,Seddon Park,2019,02,New Zealand_India_2019-02-10,New Zealand,India,New Zealand,208
