,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Babar Azam,GJ Maxwell,Fakhar Zaman,1,0,1,1,,1,1,0,1,-,0,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
1,Fakhar Zaman,GJ Maxwell,Babar Azam,0,0,0,1,,0,1,0,2,-,0,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
2,Fakhar Zaman,GJ Maxwell,Babar Azam,0,1,1,2,,0,2,0,3,legbyes,0,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
3,Babar Azam,GJ Maxwell,Fakhar Zaman,0,0,0,2,,1,2,0,4,-,0,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
4,Babar Azam,GJ Maxwell,Fakhar Zaman,0,1,1,3,,1,3,0,5,wides,0,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
5,Babar Azam,GJ Maxwell,Fakhar Zaman,1,0,1,4,,2,4,0,6,-,0,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
6,Fakhar Zaman,GJ Maxwell,Babar Azam,2,0,2,6,,2,3,0,7,-,0,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
7,Babar Azam,NM Coulter-Nile,Fakhar Zaman,4,0,4,10,,6,5,0,1,-,1,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
8,Babar Azam,NM Coulter-Nile,Fakhar Zaman,1,0,1,11,,7,6,0,2,-,1,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
9,Fakhar Zaman,NM Coulter-Nile,Babar Azam,2,0,2,13,,4,4,0,3,-,1,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
10,Fakhar Zaman,NM Coulter-Nile,Babar Azam,0,0,0,13,,4,5,0,4,-,1,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
11,Fakhar Zaman,NM Coulter-Nile,Babar Azam,0,0,0,13,,4,6,0,5,-,1,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
12,Fakhar Zaman,NM Coulter-Nile,Babar Azam,1,0,1,14,,5,7,0,6,-,1,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
13,Fakhar Zaman,B Stanlake,Babar Azam,4,0,4,18,,9,8,0,1,-,2,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
14,Fakhar Zaman,B Stanlake,Babar Azam,1,0,1,19,,10,9,0,2,-,2,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
15,Babar Azam,B Stanlake,Fakhar Zaman,0,0,0,19,,7,7,0,3,-,2,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
