,batter,bowler,non_striker,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,PR Stirling,Mujeeb Ur Rahman,KJ O'Brien,,6,0,6,6,6,1,1,-,1,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
1,PR Stirling,Mujeeb Ur Rahman,KJ O'Brien,,0,0,0,6,6,2,2,-,1,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
2,PR Stirling,Mujeeb Ur Rahman,KJ O'Brien,,1,0,1,7,7,3,3,-,1,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
3,KJ O'Brien,Mujeeb Ur Rahman,PR Stirling,{'wides': 1},0,1,1,8,0,1,4,wides,1,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
4,KJ O'Brien,Mujeeb Ur Rahman,PR Stirling,,1,0,1,9,1,2,5,-,1,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
5,PR Stirling,Mujeeb Ur Rahman,KJ O'Brien,{'wides': 1},0,1,1,10,7,4,6,wides,1,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
6,PR Stirling,Mujeeb Ur Rahman,KJ O'Brien,,0,0,0,10,7,5,7,-,1,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
7,PR Stirling,Mujeeb Ur Rahman,KJ O'Brien,,5,0,5,15,12,6,8,-,1,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
8,PR Stirling,Fareed Ahmad,KJ O'Brien,,0,0,0,15,12,7,1,-,2,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
9,PR Stirling,Fareed Ahmad,KJ O'Brien,,4,0,4,19,16,8,2,-,2,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
10,PR Stirling,Fareed Ahmad,KJ O'Brien,,4,0,4,23,20,9,3,-,2,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
11,PR Stirling,Fareed Ahmad,KJ O'Brien,,0,0,0,23,20,10,4,-,2,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
12,PR Stirling,Fareed Ahmad,KJ O'Brien,{'wides': 1},0,1,1,24,20,11,5,wides,2,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
13,PR Stirling,Fareed Ahmad,KJ O'Brien,,4,0,4,28,24,12,6,-,2,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
14,PR Stirling,Fareed Ahmad,KJ O'Brien,,4,0,4,32,28,13,7,-,2,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
15,KJ O'Brien,Mujeeb Ur Rahman,PR Stirling,,1,0,1,33,2,3,1,-,3,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
16,PR Stirling,Mujeeb Ur Rahman,KJ O'Brien,,0,0,0,33,28,14,2,-,3,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
17,PR Stirling,Mujeeb Ur Rahman,KJ O'Brien,,1,0,1,34,29,15,3,-,3,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
18,KJ O'Brien,Mujeeb Ur Rahman,PR Stirling,,0,0,0,34,2,4,4,-,3,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
