,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,BRM Taylor,CA Young,H Masakadza,0,0,0,0,171,0,1,0,1,-,1,0,,,field,Zimbabwe,2,Bready,2019,07,Ireland_Zimbabwe_2019-07-14,Zimbabwe,Zimbabwe,Ireland,172
1,BRM Taylor,CA Young,H Masakadza,0,0,0,0,171,0,2,0,2,-,1,0,,,field,Zimbabwe,2,Bready,2019,07,Ireland_Zimbabwe_2019-07-14,Zimbabwe,Zimbabwe,Ireland,172
2,BRM Taylor,CA Young,H Masakadza,1,0,1,1,170,1,3,0,3,-,1,0,,,field,Zimbabwe,2,Bready,2019,07,Ireland_Zimbabwe_2019-07-14,Zimbabwe,Zimbabwe,Ireland,172
3,H Masakadza,CA Young,BRM Taylor,0,1,1,2,169,0,1,0,4,legbyes,1,0,,,field,Zimbabwe,2,Bready,2019,07,Ireland_Zimbabwe_2019-07-14,Zimbabwe,Zimbabwe,Ireland,172
4,BRM Taylor,CA Young,H Masakadza,6,0,6,8,163,7,4,0,5,-,1,0,,,field,Zimbabwe,2,Bready,2019,07,Ireland_Zimbabwe_2019-07-14,Zimbabwe,Zimbabwe,Ireland,172
5,BRM Taylor,CA Young,H Masakadza,4,0,4,12,159,11,5,0,6,-,1,0,,,field,Zimbabwe,2,Bready,2019,07,Ireland_Zimbabwe_2019-07-14,Zimbabwe,Zimbabwe,Ireland,172
6,H Masakadza,GH Dockrell,BRM Taylor,0,0,0,12,159,0,2,0,1,-,2,0,,,field,Zimbabwe,2,Bready,2019,07,Ireland_Zimbabwe_2019-07-14,Zimbabwe,Zimbabwe,Ireland,172
7,H Masakadza,GH Dockrell,BRM Taylor,0,0,0,12,159,0,3,0,2,-,2,0,,,field,Zimbabwe,2,Bready,2019,07,Ireland_Zimbabwe_2019-07-14,Zimbabwe,Zimbabwe,Ireland,172
8,H Masakadza,GH Dockrell,BRM Taylor,0,0,0,12,159,0,4,1,3,-,2,caught,H Masakadza,GJ Thompson,field,Zimbabwe,2,Bready,2019,07,Ireland_Zimbabwe_2019-07-14,Zimbabwe,Zimbabwe,Ireland,172
9,BRM Taylor,GH Dockrell,CR Ervine,2,0,2,14,157,13,6,1,4,-,2,0,,,field,Zimbabwe,2,Bready,2019,07,Ireland_Zimbabwe_2019-07-14,Zimbabwe,Zimbabwe,Ireland,172
10,BRM Taylor,GH Dockrell,CR Ervine,4,0,4,18,153,17,7,1,5,-,2,0,,,field,Zimbabwe,2,Bready,2019,07,Ireland_Zimbabwe_2019-07-14,Zimbabwe,Zimbabwe,Ireland,172
11,BRM Taylor,GH Dockrell,CR Ervine,0,0,0,18,153,17,8,1,6,-,2,0,,,field,Zimbabwe,2,Bready,2019,07,Ireland_Zimbabwe_2019-07-14,Zimbabwe,Zimbabwe,Ireland,172
12,CR Ervine,MR Adair,BRM Taylor,0,1,1,19,152,0,1,1,1,noballs,3,0,,,field,Zimbabwe,2,Bready,2019,07,Ireland_Zimbabwe_2019-07-14,Zimbabwe,Zimbabwe,Ireland,172
13,CR Ervine,MR Adair,BRM Taylor,4,0,4,23,148,4,2,1,2,-,3,0,,,field,Zimbabwe,2,Bready,2019,07,Ireland_Zimbabwe_2019-07-14,Zimbabwe,Zimbabwe,Ireland,172
14,CR Ervine,MR Adair,BRM Taylor,4,0,4,27,144,8,3,1,3,-,3,0,,,field,Zimbabwe,2,Bready,2019,07,Ireland_Zimbabwe_2019-07-14,Zimbabwe,Zimbabwe,Ireland,172
