,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,AJ Finch,SL Malinga,DA Warner,0,0,0,0,0,1,1,-,1,0,,,,field,Sri Lanka,1,Adelaide Oval,2019-10-27,Australia,Australia,Sri Lanka
1,AJ Finch,SL Malinga,DA Warner,4,0,4,4,4,2,2,-,1,0,,,,field,Sri Lanka,1,Adelaide Oval,2019-10-27,Australia,Australia,Sri Lanka
2,AJ Finch,SL Malinga,DA Warner,0,0,0,4,4,3,3,-,1,0,,,,field,Sri Lanka,1,Adelaide Oval,2019-10-27,Australia,Australia,Sri Lanka
3,AJ Finch,SL Malinga,DA Warner,1,0,1,5,5,4,4,-,1,0,,,,field,Sri Lanka,1,Adelaide Oval,2019-10-27,Australia,Australia,Sri Lanka
4,DA Warner,SL Malinga,AJ Finch,2,0,2,7,2,1,5,-,1,0,,,,field,Sri Lanka,1,Adelaide Oval,2019-10-27,Australia,Australia,Sri Lanka
5,DA Warner,SL Malinga,AJ Finch,0,1,1,8,2,2,6,wides,1,0,,,,field,Sri Lanka,1,Adelaide Oval,2019-10-27,Australia,Australia,Sri Lanka
6,DA Warner,SL Malinga,AJ Finch,1,0,1,9,3,3,7,-,1,0,,,,field,Sri Lanka,1,Adelaide Oval,2019-10-27,Australia,Australia,Sri Lanka
7,DA Warner,CAK Rajitha,AJ Finch,2,0,2,11,5,4,1,-,2,0,,,,field,Sri Lanka,1,Adelaide Oval,2019-10-27,Australia,Australia,Sri Lanka
8,DA Warner,CAK Rajitha,AJ Finch,1,0,1,12,6,5,2,-,2,0,,,,field,Sri Lanka,1,Adelaide Oval,2019-10-27,Australia,Australia,Sri Lanka
9,AJ Finch,CAK Rajitha,DA Warner,0,0,0,12,5,5,3,-,2,0,,,,field,Sri Lanka,1,Adelaide Oval,2019-10-27,Australia,Australia,Sri Lanka
10,AJ Finch,CAK Rajitha,DA Warner,4,0,4,16,9,6,4,-,2,0,,,,field,Sri Lanka,1,Adelaide Oval,2019-10-27,Australia,Australia,Sri Lanka
11,AJ Finch,CAK Rajitha,DA Warner,0,0,0,16,9,7,5,-,2,0,,,,field,Sri Lanka,1,Adelaide Oval,2019-10-27,Australia,Australia,Sri Lanka
12,AJ Finch,CAK Rajitha,DA Warner,4,0,4,20,13,8,6,-,2,0,,,,field,Sri Lanka,1,Adelaide Oval,2019-10-27,Australia,Australia,Sri Lanka
13,DA Warner,SL Malinga,AJ Finch,1,0,1,21,7,6,1,-,3,0,,,,field,Sri Lanka,1,Adelaide Oval,2019-10-27,Australia,Australia,Sri Lanka
14,AJ Finch,SL Malinga,DA Warner,0,0,0,21,13,9,2,-,3,0,,,,field,Sri Lanka,1,Adelaide Oval,2019-10-27,Australia,Australia,Sri Lanka
15,AJ Finch,SL Malinga,DA Warner,0,0,0,21,13,10,3,-,3,0,,,,field,Sri Lanka,1,Adelaide Oval,2019-10-27,Australia,Australia,Sri Lanka
16,AJ Finch,SL Malinga,DA Warner,1,0,1,22,14,11,4,-,3,0,,,,field,Sri Lanka,1,Adelaide Oval,2019-10-27,Australia,Australia,Sri Lanka
17,DA Warner,SL Malinga,AJ Finch,0,0,0,22,7,7,5,-,3,0,,,,field,Sri Lanka,1,Adelaide Oval,2019-10-27,Australia,Australia,Sri Lanka
18,DA Warner,SL Malinga,AJ Finch,0,0,0,22,7,8,6,-,3,0,,,,field,Sri Lanka,1,Adelaide Oval,2019-10-27,Australia,Australia,Sri Lanka
19,AJ Finch,N Pradeep,DA Warner,0,0,0,22,14,12,1,-,4,0,,,,field,Sri Lanka,1,Adelaide Oval,2019-10-27,Australia,Australia,Sri Lanka
20,AJ Finch,N Pradeep,DA Warner,0,0,0,22,14,13,2,-,4,0,,,,field,Sri Lanka,1,Adelaide Oval,2019-10-27,Australia,Australia,Sri Lanka
