,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,MD Gunathilaka,KW Richardson,BKG Mendis,1,0,1,1,1,1,1,-,1,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
1,BKG Mendis,KW Richardson,MD Gunathilaka,0,0,0,1,0,1,2,-,1,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
2,BKG Mendis,KW Richardson,MD Gunathilaka,0,0,0,1,0,2,3,-,1,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
3,BKG Mendis,KW Richardson,MD Gunathilaka,0,1,1,2,0,3,4,wides,1,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
4,BKG Mendis,KW Richardson,MD Gunathilaka,1,0,1,3,1,4,5,-,1,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
5,MD Gunathilaka,KW Richardson,BKG Mendis,1,0,1,4,2,2,6,-,1,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
6,BKG Mendis,KW Richardson,MD Gunathilaka,0,0,0,4,1,5,7,-,1,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
7,MD Gunathilaka,B Stanlake,BKG Mendis,0,1,1,5,2,3,1,wides,2,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
8,MD Gunathilaka,B Stanlake,BKG Mendis,0,0,0,5,2,4,2,-,2,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
9,MD Gunathilaka,B Stanlake,BKG Mendis,0,0,0,5,2,5,3,-,2,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
10,MD Gunathilaka,B Stanlake,BKG Mendis,0,0,0,5,2,6,4,-,2,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
11,MD Gunathilaka,B Stanlake,BKG Mendis,0,0,0,5,2,7,5,-,2,run out,BKG Mendis,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
12,MD Gunathilaka,B Stanlake,WIA Fernando,1,0,1,6,3,8,6,-,2,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
13,WIA Fernando,B Stanlake,MD Gunathilaka,0,0,0,6,0,1,7,-,2,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
14,MD Gunathilaka,KW Richardson,WIA Fernando,0,0,0,6,3,9,1,-,3,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
15,MD Gunathilaka,KW Richardson,WIA Fernando,0,0,0,6,3,10,2,-,3,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
16,MD Gunathilaka,KW Richardson,WIA Fernando,0,0,0,6,3,11,3,-,3,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
17,MD Gunathilaka,KW Richardson,WIA Fernando,1,0,1,7,4,12,4,-,3,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
18,WIA Fernando,KW Richardson,MD Gunathilaka,0,0,0,7,0,2,5,-,3,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
19,WIA Fernando,KW Richardson,MD Gunathilaka,2,0,2,9,2,3,6,-,3,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
20,MD Gunathilaka,B Stanlake,WIA Fernando,0,0,0,9,4,13,1,-,4,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
21,MD Gunathilaka,B Stanlake,WIA Fernando,0,0,0,9,4,14,2,-,4,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
22,MD Gunathilaka,B Stanlake,WIA Fernando,4,0,4,13,8,15,3,-,4,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
23,MD Gunathilaka,B Stanlake,WIA Fernando,2,0,2,15,10,16,4,-,4,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
24,MD Gunathilaka,B Stanlake,WIA Fernando,6,0,6,21,16,17,5,-,4,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
25,MD Gunathilaka,B Stanlake,WIA Fernando,0,0,0,21,16,18,6,-,4,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
26,WIA Fernando,PJ Cummins,MD Gunathilaka,1,0,1,22,3,4,1,-,5,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
27,MD Gunathilaka,PJ Cummins,WIA Fernando,0,0,0,22,16,19,2,-,5,0,,,,bat,Sri Lanka,1,"Brisbane Cricket Ground, Woolloongabba",2019-10-30,Australia,Sri Lanka,Australia
