,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,T Bavuma,MM Ali,Q de Kock,4,0,4,4,4,1,1,1,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
1,T Bavuma,MM Ali,Q de Kock,0,0,0,4,4,2,2,1,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
2,T Bavuma,MM Ali,Q de Kock,1,0,1,5,5,3,3,1,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
3,Q de Kock,MM Ali,T Bavuma,1,0,1,6,1,1,4,1,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
4,T Bavuma,MM Ali,Q de Kock,4,0,4,10,9,4,5,1,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
5,T Bavuma,MM Ali,Q de Kock,1,0,1,11,10,5,6,1,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
6,T Bavuma,TK Curran,Q de Kock,1,0,1,12,11,6,1,2,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
7,Q de Kock,TK Curran,T Bavuma,0,0,0,12,1,2,2,2,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
8,Q de Kock,TK Curran,T Bavuma,0,0,0,12,1,3,3,2,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
9,Q de Kock,TK Curran,T Bavuma,0,1,1,13,1,4,4,2,legbyes,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
10,T Bavuma,TK Curran,Q de Kock,0,0,0,13,11,7,5,2,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
11,T Bavuma,TK Curran,Q de Kock,4,0,4,17,15,8,6,2,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
12,Q de Kock,MA Wood,T Bavuma,6,0,6,23,7,5,1,3,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
13,Q de Kock,MA Wood,T Bavuma,1,0,1,24,8,6,2,3,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
14,T Bavuma,MA Wood,Q de Kock,1,0,1,25,16,9,3,3,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
15,Q de Kock,MA Wood,T Bavuma,1,0,1,26,9,7,4,3,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
16,T Bavuma,MA Wood,Q de Kock,6,0,6,32,22,10,5,3,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
17,T Bavuma,MA Wood,Q de Kock,1,0,1,33,23,11,6,3,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
18,T Bavuma,CJ Jordan,Q de Kock,1,0,1,34,24,12,1,4,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
19,Q de Kock,CJ Jordan,T Bavuma,6,0,6,40,15,8,2,4,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
20,Q de Kock,CJ Jordan,T Bavuma,6,0,6,46,21,9,3,4,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
21,Q de Kock,CJ Jordan,T Bavuma,6,0,6,52,27,10,4,4,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
22,Q de Kock,CJ Jordan,T Bavuma,0,0,0,52,27,11,5,4,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
23,Q de Kock,CJ Jordan,T Bavuma,0,0,0,52,27,12,6,4,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
24,T Bavuma,TK Curran,Q de Kock,2,0,2,54,26,13,1,5,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
25,T Bavuma,TK Curran,Q de Kock,1,0,1,55,27,14,2,5,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
26,Q de Kock,TK Curran,T Bavuma,4,0,4,59,31,13,3,5,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
27,Q de Kock,TK Curran,T Bavuma,0,0,0,59,31,14,4,5,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
28,Q de Kock,TK Curran,T Bavuma,0,0,0,59,31,15,5,5,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
29,Q de Kock,TK Curran,T Bavuma,1,0,1,60,32,16,6,5,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
30,Q de Kock,CJ Jordan,T Bavuma,1,0,1,61,33,17,1,6,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
31,T Bavuma,CJ Jordan,Q de Kock,1,0,1,62,28,15,2,6,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
32,Q de Kock,CJ Jordan,T Bavuma,0,0,0,62,33,18,3,6,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
33,Q de Kock,CJ Jordan,T Bavuma,0,0,0,62,33,19,4,6,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
34,Q de Kock,CJ Jordan,T Bavuma,1,0,1,63,34,20,5,6,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
35,T Bavuma,CJ Jordan,Q de Kock,1,0,1,64,29,16,6,6,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
36,T Bavuma,AU Rashid,Q de Kock,6,0,6,70,35,17,1,7,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
37,T Bavuma,AU Rashid,Q de Kock,4,0,4,74,39,18,2,7,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
38,T Bavuma,AU Rashid,Q de Kock,1,0,1,75,40,19,3,7,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
39,Q de Kock,AU Rashid,T Bavuma,1,0,1,76,35,21,4,7,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
40,T Bavuma,AU Rashid,Q de Kock,1,0,1,77,41,20,5,7,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
41,Q de Kock,AU Rashid,T Bavuma,0,0,0,77,35,22,6,7,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
42,T Bavuma,BA Stokes,Q de Kock,6,0,6,83,47,21,1,8,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
43,T Bavuma,BA Stokes,Q de Kock,1,0,1,84,48,22,2,8,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
44,Q de Kock,BA Stokes,T Bavuma,0,0,0,84,35,23,3,8,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
45,Q de Kock,BA Stokes,T Bavuma,0,0,0,84,35,24,4,8,-,caught,Q de Kock,JM Bairstow,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
46,HE van der Dussen,BA Stokes,T Bavuma,1,0,1,85,1,1,5,8,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
47,T Bavuma,BA Stokes,HE van der Dussen,1,0,1,86,49,23,6,8,-,0,,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
48,T Bavuma,AU Rashid,HE van der Dussen,0,0,0,86,49,24,1,9,-,bowled,T Bavuma,,bat,South Africa,1,SuperSport Park,2020-02-16,England,South Africa,England
