,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,Q de Kock,MA Starc,HE van der Dussen,2,0,2,2,194,2,1,0,1,0,,,1,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
1,Q de Kock,MA Starc,HE van der Dussen,0,0,0,2,194,2,2,0,2,0,,,1,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
2,Q de Kock,MA Starc,HE van der Dussen,0,0,0,2,194,2,3,1,3,bowled,Q de Kock,,1,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
3,F du Plessis,MA Starc,HE van der Dussen,0,0,0,2,194,0,1,1,4,0,,,1,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
4,F du Plessis,MA Starc,HE van der Dussen,1,0,1,3,193,1,2,1,5,0,,,1,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
5,HE van der Dussen,MA Starc,F du Plessis,0,0,0,3,193,0,1,1,6,0,,,1,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
6,F du Plessis,KW Richardson,HE van der Dussen,2,0,2,5,191,3,3,1,1,0,,,2,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
7,F du Plessis,KW Richardson,HE van der Dussen,0,0,0,5,191,3,4,1,2,0,,,2,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
8,F du Plessis,KW Richardson,HE van der Dussen,1,0,1,6,190,4,5,1,3,0,,,2,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
9,HE van der Dussen,KW Richardson,F du Plessis,0,0,0,6,190,0,2,1,4,0,,,2,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
10,HE van der Dussen,KW Richardson,F du Plessis,0,0,0,6,190,0,3,1,5,0,,,2,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
11,HE van der Dussen,KW Richardson,F du Plessis,1,0,1,7,189,1,4,1,6,0,,,2,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
12,HE van der Dussen,MA Starc,F du Plessis,0,0,0,7,189,1,5,1,1,0,,,3,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
13,HE van der Dussen,MA Starc,F du Plessis,0,0,0,7,189,1,6,1,2,0,,,3,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
14,HE van der Dussen,MA Starc,F du Plessis,4,0,4,11,185,5,7,1,3,0,,,3,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
15,HE van der Dussen,MA Starc,F du Plessis,1,0,1,12,184,6,8,1,4,0,,,3,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
16,F du Plessis,MA Starc,HE van der Dussen,0,1,1,13,183,4,6,1,5,0,,,3,wides,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
17,F du Plessis,MA Starc,HE van der Dussen,0,0,0,13,183,4,7,1,6,0,,,3,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
18,F du Plessis,MA Starc,HE van der Dussen,4,0,4,17,179,8,8,1,7,0,,,3,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
19,HE van der Dussen,PJ Cummins,F du Plessis,0,0,0,17,179,6,9,1,1,0,,,4,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
20,HE van der Dussen,PJ Cummins,F du Plessis,0,0,0,17,179,6,10,2,2,caught,HE van der Dussen,MA Starc,4,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
21,F du Plessis,PJ Cummins,JT Smuts,0,0,0,17,179,8,9,2,3,0,,,4,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
22,F du Plessis,PJ Cummins,JT Smuts,0,0,0,17,179,8,10,2,4,0,,,4,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
23,F du Plessis,PJ Cummins,JT Smuts,4,0,4,21,175,12,11,2,5,0,,,4,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
24,F du Plessis,PJ Cummins,JT Smuts,4,0,4,25,171,16,12,2,6,0,,,4,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
25,JT Smuts,KW Richardson,F du Plessis,4,0,4,29,167,4,1,2,1,0,,,5,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
26,JT Smuts,KW Richardson,F du Plessis,1,0,1,30,166,5,2,2,2,0,,,5,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
27,F du Plessis,KW Richardson,JT Smuts,0,0,0,30,166,16,13,2,3,0,,,5,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
28,F du Plessis,KW Richardson,JT Smuts,1,0,1,31,165,17,14,2,4,0,,,5,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
29,JT Smuts,KW Richardson,F du Plessis,1,0,1,32,164,6,3,2,5,0,,,5,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
30,F du Plessis,KW Richardson,JT Smuts,1,0,1,33,163,18,15,2,6,0,,,5,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
31,F du Plessis,PJ Cummins,JT Smuts,2,0,2,35,161,20,16,2,1,0,,,6,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
32,F du Plessis,PJ Cummins,JT Smuts,1,0,1,36,160,21,17,2,2,0,,,6,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
33,JT Smuts,PJ Cummins,F du Plessis,1,0,1,37,159,7,4,2,3,0,,,6,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
34,F du Plessis,PJ Cummins,JT Smuts,1,0,1,38,158,22,18,2,4,0,,,6,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
35,JT Smuts,PJ Cummins,F du Plessis,0,0,0,38,158,7,5,3,5,caught,JT Smuts,A Zampa,6,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
36,F du Plessis,PJ Cummins,DA Miller,0,0,0,38,158,22,19,3,6,0,,,6,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
37,DA Miller,A Zampa,F du Plessis,2,0,2,40,156,2,1,3,1,0,,,7,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
38,DA Miller,A Zampa,F du Plessis,0,0,0,40,156,2,2,4,2,caught,DA Miller,AT Carey,7,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
39,PJ van Biljon,A Zampa,F du Plessis,0,0,0,40,156,0,1,4,3,0,,,7,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
40,PJ van Biljon,A Zampa,F du Plessis,1,0,1,41,155,1,2,4,4,0,,,7,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
41,F du Plessis,A Zampa,PJ van Biljon,0,0,0,41,155,22,20,4,5,0,,,7,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
42,F du Plessis,A Zampa,PJ van Biljon,1,0,1,42,154,23,21,4,6,0,,,7,-,,field,South Africa,2,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,South Africa,Australia,89
