,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,RR Hendricks,Washington Sundar,Q de Kock,0,0,0,0,0,1,1,1,0,,,-,field,India,1,"Punjab Cricket Association IS Bindra Stadium, Mohali",2019-09-18,South Africa,India
1,RR Hendricks,Washington Sundar,Q de Kock,1,0,1,1,1,2,2,1,0,,,-,field,India,1,"Punjab Cricket Association IS Bindra Stadium, Mohali",2019-09-18,South Africa,India
2,Q de Kock,Washington Sundar,RR Hendricks,4,0,4,5,4,1,3,1,0,,,-,field,India,1,"Punjab Cricket Association IS Bindra Stadium, Mohali",2019-09-18,South Africa,India
3,Q de Kock,Washington Sundar,RR Hendricks,0,0,0,5,4,2,4,1,0,,,-,field,India,1,"Punjab Cricket Association IS Bindra Stadium, Mohali",2019-09-18,South Africa,India
4,Q de Kock,Washington Sundar,RR Hendricks,1,0,1,6,5,3,5,1,0,,,-,field,India,1,"Punjab Cricket Association IS Bindra Stadium, Mohali",2019-09-18,South Africa,India
5,RR Hendricks,Washington Sundar,Q de Kock,0,0,0,6,1,3,6,1,0,,,-,field,India,1,"Punjab Cricket Association IS Bindra Stadium, Mohali",2019-09-18,South Africa,India
6,Q de Kock,DL Chahar,RR Hendricks,1,0,1,7,6,4,1,2,0,,,-,field,India,1,"Punjab Cricket Association IS Bindra Stadium, Mohali",2019-09-18,South Africa,India
7,RR Hendricks,DL Chahar,Q de Kock,0,0,0,7,1,4,2,2,0,,,-,field,India,1,"Punjab Cricket Association IS Bindra Stadium, Mohali",2019-09-18,South Africa,India
8,RR Hendricks,DL Chahar,Q de Kock,0,0,0,7,1,5,3,2,0,,,-,field,India,1,"Punjab Cricket Association IS Bindra Stadium, Mohali",2019-09-18,South Africa,India
9,RR Hendricks,DL Chahar,Q de Kock,4,0,4,11,5,6,4,2,0,,,-,field,India,1,"Punjab Cricket Association IS Bindra Stadium, Mohali",2019-09-18,South Africa,India
10,RR Hendricks,DL Chahar,Q de Kock,0,0,0,11,5,7,5,2,0,,,-,field,India,1,"Punjab Cricket Association IS Bindra Stadium, Mohali",2019-09-18,South Africa,India
