,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,C Munro,SM Curran,MJ Guptill,1,0,1,1,,1,1,0,-,1.0,0,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
1,MJ Guptill,SM Curran,C Munro,1,0,1,2,,1,1,0,-,2.0,0,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
2,C Munro,SM Curran,MJ Guptill,1,0,1,3,,2,2,0,-,3.0,0,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
3,MJ Guptill,SM Curran,C Munro,4,0,4,7,,5,2,0,-,4.0,0,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
4,MJ Guptill,SM Curran,C Munro,1,0,1,8,,6,3,0,-,5.0,0,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
5,C Munro,SM Curran,MJ Guptill,0,1,1,9,,2,3,0,legbyes,6.0,0,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
6,C Munro,TK Curran,MJ Guptill,1,0,1,10,,3,4,0,-,1.0,1,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
7,MJ Guptill,TK Curran,C Munro,0,0,0,10,,6,4,0,-,2.0,1,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
8,MJ Guptill,TK Curran,C Munro,0,0,0,10,,6,5,0,-,3.0,1,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
9,MJ Guptill,TK Curran,C Munro,4,0,4,14,,10,6,0,-,4.0,1,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
10,MJ Guptill,TK Curran,C Munro,4,0,4,18,,14,7,0,-,5.0,1,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
11,MJ Guptill,TK Curran,C Munro,1,0,1,19,,15,8,0,-,6.0,1,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
12,MJ Guptill,S Mahmood,C Munro,4,0,4,23,,19,9,0,-,1.0,2,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
13,MJ Guptill,S Mahmood,C Munro,4,0,4,27,,23,10,0,-,2.0,2,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
14,MJ Guptill,S Mahmood,C Munro,4,0,4,31,,27,11,0,-,3.0,2,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
15,MJ Guptill,S Mahmood,C Munro,1,0,1,32,,28,12,0,-,4.0,2,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
16,C Munro,S Mahmood,MJ Guptill,1,0,1,33,,4,5,0,-,5.0,2,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
17,MJ Guptill,S Mahmood,C Munro,1,0,1,34,,29,13,0,-,6.0,2,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
18,MJ Guptill,PR Brown,C Munro,0,1,1,35,,29,14,0,legbyes,1.0,3,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
19,C Munro,PR Brown,MJ Guptill,1,0,1,36,,5,6,0,-,2.0,3,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
20,MJ Guptill,PR Brown,C Munro,0,0,0,36,,29,15,0,-,3.0,3,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
21,MJ Guptill,PR Brown,C Munro,4,0,4,40,,33,16,0,-,4.0,3,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
22,MJ Guptill,PR Brown,C Munro,0,0,0,40,,33,17,1,-,5.0,3,caught,MJ Guptill,TK Curran,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
23,TL Seifert,PR Brown,C Munro,0,0,0,40,,0,1,1,-,6.0,3,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
24,C Munro,TK Curran,TL Seifert,1,0,1,41,,6,7,1,-,1.0,4,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
25,TL Seifert,TK Curran,C Munro,1,0,1,42,,1,2,1,-,2.0,4,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
26,C Munro,TK Curran,TL Seifert,0,0,0,42,,6,8,2,-,3.0,4,caught,C Munro,S Mahmood,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
27,C de Grandhomme,TK Curran,TL Seifert,0,0,0,42,,0,1,2,-,4.0,4,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
28,C de Grandhomme,TK Curran,TL Seifert,4,0,4,46,,4,2,2,-,5.0,4,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
29,C de Grandhomme,TK Curran,TL Seifert,0,1,1,47,,4,3,2,wides,5.0,4,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
30,C de Grandhomme,TK Curran,TL Seifert,0,0,0,47,,4,4,2,-,6.0,4,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
31,TL Seifert,PR Brown,C de Grandhomme,0,0,0,47,,1,3,2,-,1.0,5,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
32,TL Seifert,PR Brown,C de Grandhomme,0,0,0,47,,1,4,2,-,2.0,5,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
33,TL Seifert,PR Brown,C de Grandhomme,4,0,4,51,,5,5,2,-,3.0,5,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
34,TL Seifert,PR Brown,C de Grandhomme,0,0,0,51,,5,6,2,-,4.0,5,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
35,TL Seifert,PR Brown,C de Grandhomme,0,0,0,51,,5,7,2,-,5.0,5,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
36,TL Seifert,PR Brown,C de Grandhomme,0,1,1,52,,5,8,2,legbyes,6.0,5,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
37,TL Seifert,S Mahmood,C de Grandhomme,1,0,1,53,,6,9,2,-,1.0,6,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
38,C de Grandhomme,S Mahmood,TL Seifert,4,0,4,57,,8,5,2,-,2.0,6,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
39,C de Grandhomme,S Mahmood,TL Seifert,4,0,4,61,,12,6,2,-,3.0,6,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
40,C de Grandhomme,S Mahmood,TL Seifert,0,0,0,61,,12,7,2,-,4.0,6,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
41,C de Grandhomme,S Mahmood,TL Seifert,0,0,0,61,,12,8,2,-,5.0,6,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
42,C de Grandhomme,S Mahmood,TL Seifert,6,0,6,67,,18,9,2,-,6.0,6,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
43,TL Seifert,MW Parkinson,C de Grandhomme,0,0,0,67,,6,10,2,-,1.0,7,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
44,TL Seifert,MW Parkinson,C de Grandhomme,1,0,1,68,,7,11,2,-,2.0,7,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
45,C de Grandhomme,MW Parkinson,TL Seifert,0,0,0,68,,18,10,2,-,3.0,7,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
46,C de Grandhomme,MW Parkinson,TL Seifert,1,0,1,69,,19,11,2,-,4.0,7,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
47,TL Seifert,MW Parkinson,C de Grandhomme,0,0,0,69,,7,12,3,-,5.0,7,bowled,TL Seifert,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
48,LRPL Taylor,MW Parkinson,C de Grandhomme,1,0,1,70,,1,1,3,-,6.0,7,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
49,LRPL Taylor,SM Curran,C de Grandhomme,1,0,1,71,,2,2,3,-,1.0,8,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
50,C de Grandhomme,SM Curran,LRPL Taylor,0,0,0,71,,19,12,3,-,2.0,8,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
51,C de Grandhomme,SM Curran,LRPL Taylor,1,0,1,72,,20,13,3,-,3.0,8,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
52,LRPL Taylor,SM Curran,C de Grandhomme,0,0,0,72,,2,3,3,-,4.0,8,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
53,LRPL Taylor,SM Curran,C de Grandhomme,0,0,0,72,,2,4,3,-,5.0,8,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
54,LRPL Taylor,SM Curran,C de Grandhomme,0,1,1,73,,2,5,3,legbyes,6.0,8,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
55,LRPL Taylor,MW Parkinson,C de Grandhomme,1,0,1,74,,3,6,3,-,1.0,9,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
56,C de Grandhomme,MW Parkinson,LRPL Taylor,6,0,6,80,,26,14,3,-,2.0,9,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
57,C de Grandhomme,MW Parkinson,LRPL Taylor,1,0,1,81,,27,15,3,-,3.0,9,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
58,LRPL Taylor,MW Parkinson,C de Grandhomme,0,2,2,83,,3,7,3,wides,3.0,9,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
59,C de Grandhomme,MW Parkinson,LRPL Taylor,0,0,0,83,,27,16,3,-,4.0,9,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
60,C de Grandhomme,MW Parkinson,LRPL Taylor,0,0,0,83,,27,17,3,-,5.0,9,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
61,C de Grandhomme,MW Parkinson,LRPL Taylor,1,0,1,84,,28,18,3,-,6.0,9,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
62,C de Grandhomme,SM Curran,LRPL Taylor,1,0,1,85,,29,19,3,-,1.0,10,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
63,LRPL Taylor,SM Curran,C de Grandhomme,1,0,1,86,,4,8,3,-,2.0,10,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
64,C de Grandhomme,SM Curran,LRPL Taylor,4,0,4,90,,33,20,3,-,3.0,10,0,,,bat,New Zealand,1,Saxton Oval,2019,11,New Zealand_England_2019-11-05,New Zealand,New Zealand,England,True,180
