,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,MJ Guptill,SN Thakur,C Munro,0,0,0,0,,0,1,0,-,1.0,0,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Left hand Bat,Right arm Medium
1,MJ Guptill,SN Thakur,C Munro,0,0,0,0,,0,2,0,-,2.0,0,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Left hand Bat,Right arm Medium
2,MJ Guptill,SN Thakur,C Munro,6,0,6,6,,6,3,0,-,3.0,0,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Left hand Bat,Right arm Medium
3,MJ Guptill,SN Thakur,C Munro,6,0,6,12,,12,4,0,-,4.0,0,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Left hand Bat,Right arm Medium
4,MJ Guptill,SN Thakur,C Munro,0,0,0,12,,12,5,0,-,5.0,0,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Left hand Bat,Right arm Medium
5,MJ Guptill,SN Thakur,C Munro,0,1,1,13,,12,5,0,wides,5.0,0,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Left hand Bat,Right arm Medium
6,MJ Guptill,SN Thakur,C Munro,0,0,0,13,,12,6,0,-,6.0,0,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Left hand Bat,Right arm Medium
7,C Munro,Mohammed Shami,MJ Guptill,0,0,0,13,,0,1,0,-,1.0,1,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Left hand Bat,Right hand Bat,Right arm Fast
8,C Munro,Mohammed Shami,MJ Guptill,0,0,0,13,,0,2,0,-,2.0,1,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Left hand Bat,Right hand Bat,Right arm Fast
9,C Munro,Mohammed Shami,MJ Guptill,1,0,1,14,,1,3,0,-,3.0,1,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Left hand Bat,Right hand Bat,Right arm Fast
10,MJ Guptill,Mohammed Shami,C Munro,0,0,0,14,,12,7,0,-,4.0,1,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Left hand Bat,Right arm Fast
11,MJ Guptill,Mohammed Shami,C Munro,0,0,0,14,,12,8,0,-,5.0,1,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Left hand Bat,Right arm Fast
