,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,MJ Guptill,SN Thakur,C Munro,0,0,0,0,179,0,1,0,1,0,-,0,,,field,New Zealand,2,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,New Zealand,India,,179
1,MJ Guptill,SN Thakur,C Munro,6,0,6,6,173,6,2,0,2,0,-,0,,,field,New Zealand,2,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,New Zealand,India,,179
2,MJ Guptill,SN Thakur,C Munro,1,0,1,7,172,7,3,0,3,0,-,0,,,field,New Zealand,2,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,New Zealand,India,,179
3,C Munro,SN Thakur,MJ Guptill,1,0,1,8,171,1,1,0,4,0,-,0,,,field,New Zealand,2,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,New Zealand,India,,179
4,MJ Guptill,SN Thakur,C Munro,0,0,0,8,171,7,4,0,5,0,-,0,,,field,New Zealand,2,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,New Zealand,India,,179
5,MJ Guptill,SN Thakur,C Munro,0,0,0,8,171,7,5,0,6,0,-,0,,,field,New Zealand,2,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,New Zealand,India,,179
6,C Munro,Mohammed Shami,MJ Guptill,1,0,1,9,170,2,2,0,1,1,-,0,,,field,New Zealand,2,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,New Zealand,India,,179
7,MJ Guptill,Mohammed Shami,C Munro,1,0,1,10,169,8,6,0,2,1,-,0,,,field,New Zealand,2,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,New Zealand,India,,179
8,C Munro,Mohammed Shami,MJ Guptill,1,0,1,11,168,3,3,0,3,1,-,0,,,field,New Zealand,2,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,New Zealand,India,,179
9,MJ Guptill,Mohammed Shami,C Munro,1,0,1,12,167,9,7,0,4,1,-,0,,,field,New Zealand,2,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,New Zealand,India,,179
10,C Munro,Mohammed Shami,MJ Guptill,0,0,0,12,167,3,4,0,5,1,-,0,,,field,New Zealand,2,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,New Zealand,India,,179
11,C Munro,Mohammed Shami,MJ Guptill,1,0,1,13,166,4,5,0,6,1,-,0,,,field,New Zealand,2,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,New Zealand,India,,179
12,C Munro,JJ Bumrah,MJ Guptill,0,0,0,13,166,4,6,0,1,2,-,0,,,field,New Zealand,2,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,New Zealand,India,,179
13,C Munro,JJ Bumrah,MJ Guptill,1,0,1,14,165,5,7,0,2,2,-,0,,,field,New Zealand,2,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,New Zealand,India,,179
14,MJ Guptill,JJ Bumrah,C Munro,6,0,6,20,159,15,8,0,3,2,-,0,,,field,New Zealand,2,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,New Zealand,India,,179
15,MJ Guptill,JJ Bumrah,C Munro,0,0,0,20,159,15,9,0,4,2,-,0,,,field,New Zealand,2,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,New Zealand,India,,179
16,MJ Guptill,JJ Bumrah,C Munro,6,0,6,26,153,21,10,0,5,2,-,0,,,field,New Zealand,2,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,New Zealand,India,,179
17,MJ Guptill,JJ Bumrah,C Munro,0,0,0,26,153,21,11,0,6,2,-,0,,,field,New Zealand,2,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,New Zealand,India,,179
18,C Munro,Mohammed Shami,MJ Guptill,1,0,1,27,152,6,8,0,1,3,-,0,,,field,New Zealand,2,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,New Zealand,India,,179
19,MJ Guptill,Mohammed Shami,C Munro,1,0,1,28,151,22,12,0,2,3,-,0,,,field,New Zealand,2,Seddon Park,2020,01,New Zealand_India_2020-01-29,tie,New Zealand,India,,179
