,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,KL Rahul,TG Southee,SV Samson,0,1,1,1,178,0,1,0,1,wides,1,0,,,field,New Zealand,1,Westpac Stadium,2020,01,New Zealand_India_2020-01-31,tie,India,New Zealand
1,KL Rahul,TG Southee,SV Samson,2,0,2,3,176,2,2,0,2,-,1,0,,,field,New Zealand,1,Westpac Stadium,2020,01,New Zealand_India_2020-01-31,tie,India,New Zealand
2,KL Rahul,TG Southee,SV Samson,1,0,1,4,175,3,3,0,3,-,1,0,,,field,New Zealand,1,Westpac Stadium,2020,01,New Zealand_India_2020-01-31,tie,India,New Zealand
3,SV Samson,TG Southee,KL Rahul,1,0,1,5,174,1,1,0,4,-,1,0,,,field,New Zealand,1,Westpac Stadium,2020,01,New Zealand_India_2020-01-31,tie,India,New Zealand
4,KL Rahul,TG Southee,SV Samson,0,0,0,5,174,3,4,0,5,-,1,0,,,field,New Zealand,1,Westpac Stadium,2020,01,New Zealand_India_2020-01-31,tie,India,New Zealand
5,KL Rahul,TG Southee,SV Samson,1,0,1,6,173,4,5,0,6,-,1,0,,,field,New Zealand,1,Westpac Stadium,2020,01,New Zealand_India_2020-01-31,tie,India,New Zealand
6,SV Samson,TG Southee,KL Rahul,1,0,1,7,172,2,2,0,7,-,1,0,,,field,New Zealand,1,Westpac Stadium,2020,01,New Zealand_India_2020-01-31,tie,India,New Zealand
7,SV Samson,SC Kuggeleijn,KL Rahul,6,0,6,13,166,8,3,0,1,-,2,0,,,field,New Zealand,1,Westpac Stadium,2020,01,New Zealand_India_2020-01-31,tie,India,New Zealand
8,SV Samson,SC Kuggeleijn,KL Rahul,0,1,1,14,165,8,4,0,2,wides,2,0,,,field,New Zealand,1,Westpac Stadium,2020,01,New Zealand_India_2020-01-31,tie,India,New Zealand
9,SV Samson,SC Kuggeleijn,KL Rahul,0,0,0,14,165,8,5,0,3,-,2,0,,,field,New Zealand,1,Westpac Stadium,2020,01,New Zealand_India_2020-01-31,tie,India,New Zealand
