,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,KL Rahul,TG Southee,SV Samson,0,0,0,0,165,0,1,0,1,1,0,,,-,bat,India,1,Bay Oval,2020,02,New Zealand_India_2020-02-02,India,India,New Zealand
1,KL Rahul,TG Southee,SV Samson,4,0,4,4,161,4,2,0,2,1,0,,,-,bat,India,1,Bay Oval,2020,02,New Zealand_India_2020-02-02,India,India,New Zealand
2,KL Rahul,TG Southee,SV Samson,1,0,1,5,160,5,3,0,3,1,0,,,-,bat,India,1,Bay Oval,2020,02,New Zealand_India_2020-02-02,India,India,New Zealand
3,SV Samson,TG Southee,KL Rahul,1,0,1,6,159,1,1,0,4,1,0,,,-,bat,India,1,Bay Oval,2020,02,New Zealand_India_2020-02-02,India,India,New Zealand
4,KL Rahul,TG Southee,SV Samson,1,0,1,7,158,6,4,0,5,1,0,,,-,bat,India,1,Bay Oval,2020,02,New Zealand_India_2020-02-02,India,India,New Zealand
5,SV Samson,TG Southee,KL Rahul,1,0,1,8,157,2,2,0,6,1,0,,,-,bat,India,1,Bay Oval,2020,02,New Zealand_India_2020-02-02,India,India,New Zealand
6,SV Samson,SC Kuggeleijn,KL Rahul,0,0,0,8,157,2,3,0,1,2,0,,,-,bat,India,1,Bay Oval,2020,02,New Zealand_India_2020-02-02,India,India,New Zealand
7,SV Samson,SC Kuggeleijn,KL Rahul,0,0,0,8,157,2,4,0,2,2,0,,,-,bat,India,1,Bay Oval,2020,02,New Zealand_India_2020-02-02,India,India,New Zealand
8,SV Samson,SC Kuggeleijn,KL Rahul,0,0,0,8,157,2,5,1,3,2,caught,SV Samson,MJ Santner,-,bat,India,1,Bay Oval,2020,02,New Zealand_India_2020-02-02,India,India,New Zealand
9,RG Sharma,SC Kuggeleijn,KL Rahul,0,0,0,8,157,0,1,1,4,2,0,,,-,bat,India,1,Bay Oval,2020,02,New Zealand_India_2020-02-02,India,India,New Zealand
10,RG Sharma,SC Kuggeleijn,KL Rahul,0,0,0,8,157,0,2,1,5,2,0,,,-,bat,India,1,Bay Oval,2020,02,New Zealand_India_2020-02-02,India,India,New Zealand
11,RG Sharma,SC Kuggeleijn,KL Rahul,2,0,2,10,155,2,3,1,6,2,0,,,-,bat,India,1,Bay Oval,2020,02,New Zealand_India_2020-02-02,India,India,New Zealand
12,KL Rahul,TG Southee,RG Sharma,6,0,6,16,149,12,5,1,1,3,0,,,-,bat,India,1,Bay Oval,2020,02,New Zealand_India_2020-02-02,India,India,New Zealand
13,KL Rahul,TG Southee,RG Sharma,0,0,0,16,149,12,6,1,2,3,0,,,-,bat,India,1,Bay Oval,2020,02,New Zealand_India_2020-02-02,India,India,New Zealand
14,KL Rahul,TG Southee,RG Sharma,4,0,4,20,145,16,7,1,3,3,0,,,-,bat,India,1,Bay Oval,2020,02,New Zealand_India_2020-02-02,India,India,New Zealand
15,KL Rahul,TG Southee,RG Sharma,4,0,4,24,141,20,8,1,4,3,0,,,-,bat,India,1,Bay Oval,2020,02,New Zealand_India_2020-02-02,India,India,New Zealand
16,KL Rahul,TG Southee,RG Sharma,1,0,1,25,140,21,9,1,5,3,0,,,-,bat,India,1,Bay Oval,2020,02,New Zealand_India_2020-02-02,India,India,New Zealand
17,RG Sharma,TG Southee,KL Rahul,0,0,0,25,140,2,4,1,6,3,0,,,-,bat,India,1,Bay Oval,2020,02,New Zealand_India_2020-02-02,India,India,New Zealand
18,KL Rahul,SC Kuggeleijn,RG Sharma,0,0,0,25,140,21,10,1,1,4,0,,,-,bat,India,1,Bay Oval,2020,02,New Zealand_India_2020-02-02,India,India,New Zealand
