,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extras,extra_type,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,MJ Guptill,SL Malinga,C Munro,0,0,0,0,0,1,1,0,,,1,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
1,MJ Guptill,SL Malinga,C Munro,0,0,0,0,0,2,2,0,,,1,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
2,MJ Guptill,SL Malinga,C Munro,1,0,1,1,1,3,3,0,,,1,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
3,C Munro,SL Malinga,MJ Guptill,0,0,0,1,0,1,4,bowled,C Munro,,1,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
4,TL Seifert,SL Malinga,MJ Guptill,0,0,0,1,0,1,5,0,,,1,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
5,TL Seifert,SL Malinga,MJ Guptill,0,0,0,1,0,2,6,0,,,1,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
6,MJ Guptill,A Dananjaya,TL Seifert,1,0,1,2,2,4,1,0,,,2,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
7,TL Seifert,A Dananjaya,MJ Guptill,1,0,1,3,1,3,2,0,,,2,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
8,MJ Guptill,A Dananjaya,TL Seifert,2,0,2,5,4,5,3,0,,,2,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
9,MJ Guptill,A Dananjaya,TL Seifert,4,0,4,9,8,6,4,0,,,2,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
10,MJ Guptill,A Dananjaya,TL Seifert,1,0,1,10,9,7,5,0,,,2,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
11,TL Seifert,A Dananjaya,MJ Guptill,2,0,2,12,3,4,6,0,,,2,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
12,MJ Guptill,SL Malinga,TL Seifert,0,0,0,12,9,8,1,0,,,3,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
13,MJ Guptill,SL Malinga,TL Seifert,1,0,1,13,10,9,2,0,,,3,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
14,TL Seifert,SL Malinga,MJ Guptill,0,0,0,13,3,5,3,0,,,3,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
15,TL Seifert,SL Malinga,MJ Guptill,2,0,2,15,5,6,4,0,,,3,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
16,TL Seifert,SL Malinga,MJ Guptill,1,0,1,16,6,7,5,0,,,3,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
17,MJ Guptill,SL Malinga,TL Seifert,1,0,1,17,11,10,6,0,,,3,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
18,MJ Guptill,A Dananjaya,TL Seifert,0,0,0,17,11,11,1,0,,,4,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
19,MJ Guptill,A Dananjaya,TL Seifert,0,1,1,18,11,12,2,0,,,4,{'wides': 1},wides,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
20,MJ Guptill,A Dananjaya,TL Seifert,0,0,0,18,11,13,3,caught,MJ Guptill,MD Shanaka,4,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
21,TL Seifert,A Dananjaya,C de Grandhomme,0,0,0,18,6,8,4,0,,,4,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
22,TL Seifert,A Dananjaya,C de Grandhomme,0,0,0,18,6,9,5,0,,,4,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
23,TL Seifert,A Dananjaya,C de Grandhomme,1,0,1,19,7,10,6,0,,,4,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
24,C de Grandhomme,A Dananjaya,TL Seifert,0,0,0,19,0,1,7,0,,,4,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
25,TL Seifert,GSNFG Jayasuriya,C de Grandhomme,0,0,0,19,7,11,1,0,,,5,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
26,TL Seifert,GSNFG Jayasuriya,C de Grandhomme,4,0,4,23,11,12,2,0,,,5,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
27,TL Seifert,GSNFG Jayasuriya,C de Grandhomme,0,0,0,23,11,13,3,0,,,5,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
28,TL Seifert,GSNFG Jayasuriya,C de Grandhomme,1,0,1,24,12,14,4,0,,,5,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
29,C de Grandhomme,GSNFG Jayasuriya,TL Seifert,4,0,4,28,4,2,5,0,,,5,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
30,C de Grandhomme,GSNFG Jayasuriya,TL Seifert,1,0,1,29,5,3,6,0,,,5,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
31,C de Grandhomme,I Udana,TL Seifert,0,0,0,29,5,4,1,0,,,6,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
32,C de Grandhomme,I Udana,TL Seifert,4,0,4,33,9,5,2,0,,,6,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
33,C de Grandhomme,I Udana,TL Seifert,0,1,1,34,9,6,3,0,,,6,{'wides': 1},wides,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
34,C de Grandhomme,I Udana,TL Seifert,0,0,0,34,9,7,4,0,,,6,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
35,C de Grandhomme,I Udana,TL Seifert,0,0,0,34,9,8,5,0,,,6,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
36,C de Grandhomme,I Udana,TL Seifert,1,0,1,35,10,9,6,0,,,6,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
37,TL Seifert,I Udana,C de Grandhomme,1,0,1,36,13,15,7,0,,,6,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
38,TL Seifert,CAK Rajitha,C de Grandhomme,0,0,0,36,13,16,1,0,,,7,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
39,TL Seifert,CAK Rajitha,C de Grandhomme,0,0,0,36,13,17,2,0,,,7,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
40,TL Seifert,CAK Rajitha,C de Grandhomme,1,0,1,37,14,18,3,0,,,7,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
41,C de Grandhomme,CAK Rajitha,TL Seifert,1,0,1,38,11,10,4,0,,,7,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
42,TL Seifert,CAK Rajitha,C de Grandhomme,1,0,1,39,15,19,5,0,,,7,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
43,C de Grandhomme,CAK Rajitha,TL Seifert,0,0,0,39,11,11,6,0,,,7,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
44,TL Seifert,PWH de Silva,C de Grandhomme,0,0,0,39,15,20,1,0,,,8,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
45,TL Seifert,PWH de Silva,C de Grandhomme,0,0,0,39,15,21,2,caught,TL Seifert,MDKJ Perera,8,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
46,LRPL Taylor,PWH de Silva,C de Grandhomme,1,0,1,40,1,1,3,0,,,8,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
47,C de Grandhomme,PWH de Silva,LRPL Taylor,4,0,4,44,15,12,4,0,,,8,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
48,C de Grandhomme,PWH de Silva,LRPL Taylor,1,0,1,45,16,13,5,0,,,8,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
49,LRPL Taylor,PWH de Silva,C de Grandhomme,0,0,0,45,1,2,6,0,,,8,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
50,C de Grandhomme,CAK Rajitha,LRPL Taylor,2,0,2,47,18,14,1,0,,,9,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
51,C de Grandhomme,CAK Rajitha,LRPL Taylor,1,0,1,48,19,15,2,0,,,9,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
52,LRPL Taylor,CAK Rajitha,C de Grandhomme,1,0,1,49,2,3,3,0,,,9,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
53,C de Grandhomme,CAK Rajitha,LRPL Taylor,1,0,1,50,20,16,4,0,,,9,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
54,LRPL Taylor,CAK Rajitha,C de Grandhomme,1,0,1,51,3,4,5,0,,,9,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
55,C de Grandhomme,CAK Rajitha,LRPL Taylor,1,0,1,52,21,17,6,0,,,9,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
56,C de Grandhomme,PWH de Silva,LRPL Taylor,0,1,1,53,21,18,1,0,,,10,{'legbyes': 1},legbyes,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
57,LRPL Taylor,PWH de Silva,C de Grandhomme,2,0,2,55,5,5,2,0,,,10,,-,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019-09-01,New Zealand,Sri Lanka
