,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,MD Gunathilaka,TG Southee,MDKJ Perera,1,0,1,1,1,1,1,-,1,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
1,MDKJ Perera,TG Southee,MD Gunathilaka,0,0,0,1,0,1,2,-,1,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
2,MDKJ Perera,TG Southee,MD Gunathilaka,0,4,4,5,0,2,3,legbyes,1,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
3,MDKJ Perera,TG Southee,MD Gunathilaka,0,0,0,5,0,3,4,-,1,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
4,MDKJ Perera,TG Southee,MD Gunathilaka,0,0,0,5,0,4,5,-,1,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
5,MDKJ Perera,TG Southee,MD Gunathilaka,1,0,1,6,1,5,6,-,1,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
6,MDKJ Perera,SHA Rance,MD Gunathilaka,0,0,0,6,1,6,1,-,2,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
7,MDKJ Perera,SHA Rance,MD Gunathilaka,0,0,0,6,1,7,2,-,2,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
8,MDKJ Perera,SHA Rance,MD Gunathilaka,1,0,1,7,2,8,3,-,2,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
9,MD Gunathilaka,SHA Rance,MDKJ Perera,0,0,0,7,1,2,4,-,2,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
10,MD Gunathilaka,SHA Rance,MDKJ Perera,0,0,0,7,1,3,5,-,2,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
11,MD Gunathilaka,SHA Rance,MDKJ Perera,2,0,2,9,3,4,6,-,2,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
12,MDKJ Perera,TG Southee,MD Gunathilaka,1,0,1,10,3,9,1,-,3,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
13,MD Gunathilaka,TG Southee,MDKJ Perera,0,0,0,10,3,5,2,-,3,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
14,MD Gunathilaka,TG Southee,MDKJ Perera,2,0,2,12,5,6,3,-,3,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
15,MD Gunathilaka,TG Southee,MDKJ Perera,1,0,1,13,6,7,4,-,3,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
16,MDKJ Perera,TG Southee,MD Gunathilaka,0,0,0,13,3,10,5,-,3,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
17,MDKJ Perera,TG Southee,MD Gunathilaka,0,0,0,13,3,11,6,-,3,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
18,MD Gunathilaka,SHA Rance,MDKJ Perera,4,0,4,17,10,8,1,-,4,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
19,MD Gunathilaka,SHA Rance,MDKJ Perera,4,0,4,21,14,9,2,-,4,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
20,MD Gunathilaka,SHA Rance,MDKJ Perera,4,0,4,25,18,10,3,-,4,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
21,MD Gunathilaka,SHA Rance,MDKJ Perera,0,0,0,25,18,11,4,-,4,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
22,MD Gunathilaka,SHA Rance,MDKJ Perera,4,0,4,29,22,12,5,-,4,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
23,MD Gunathilaka,SHA Rance,MDKJ Perera,2,0,2,31,24,13,6,-,4,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
24,MDKJ Perera,MJ Santner,MD Gunathilaka,0,0,0,31,3,12,1,-,5,caught,MDKJ Perera,TD Astle,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
25,WIA Fernando,MJ Santner,MD Gunathilaka,0,0,0,31,0,1,2,-,5,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
26,WIA Fernando,MJ Santner,MD Gunathilaka,0,0,0,31,0,2,3,-,5,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
27,WIA Fernando,MJ Santner,MD Gunathilaka,0,0,0,31,0,3,4,-,5,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
28,WIA Fernando,MJ Santner,MD Gunathilaka,0,0,0,31,0,4,5,-,5,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
29,WIA Fernando,MJ Santner,MD Gunathilaka,0,0,0,31,0,5,6,-,5,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
30,MD Gunathilaka,SC Kuggeleijn,WIA Fernando,1,0,1,32,25,14,1,-,6,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
31,WIA Fernando,SC Kuggeleijn,MD Gunathilaka,4,0,4,36,4,6,2,-,6,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
32,WIA Fernando,SC Kuggeleijn,MD Gunathilaka,0,0,0,36,4,7,3,-,6,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
33,WIA Fernando,SC Kuggeleijn,MD Gunathilaka,0,0,0,36,4,8,4,-,6,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
34,WIA Fernando,SC Kuggeleijn,MD Gunathilaka,0,0,0,36,4,9,5,-,6,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
35,WIA Fernando,SC Kuggeleijn,MD Gunathilaka,0,0,0,36,4,10,6,-,6,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
36,MD Gunathilaka,TD Astle,WIA Fernando,0,0,0,36,25,15,1,-,7,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
37,MD Gunathilaka,TD Astle,WIA Fernando,0,1,1,37,25,16,2,byes,7,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
38,WIA Fernando,TD Astle,MD Gunathilaka,2,0,2,39,6,11,3,-,7,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
39,WIA Fernando,TD Astle,MD Gunathilaka,0,0,0,39,6,12,4,-,7,bowled,WIA Fernando,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
40,N Dickwella,TD Astle,MD Gunathilaka,2,0,2,41,2,1,5,-,7,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
41,N Dickwella,TD Astle,MD Gunathilaka,0,0,0,41,2,2,6,-,7,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
42,MD Gunathilaka,SC Kuggeleijn,N Dickwella,2,0,2,43,27,17,1,-,8,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
43,MD Gunathilaka,SC Kuggeleijn,N Dickwella,0,0,0,43,27,18,2,-,8,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
44,MD Gunathilaka,SC Kuggeleijn,N Dickwella,0,0,0,43,27,19,3,-,8,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
45,MD Gunathilaka,SC Kuggeleijn,N Dickwella,1,0,1,44,28,20,4,-,8,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
46,N Dickwella,SC Kuggeleijn,MD Gunathilaka,1,0,1,45,3,3,5,-,8,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
47,MD Gunathilaka,SC Kuggeleijn,N Dickwella,1,0,1,46,29,21,6,-,8,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
48,MD Gunathilaka,TD Astle,N Dickwella,0,2,2,48,29,22,1,legbyes,9,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
49,MD Gunathilaka,TD Astle,N Dickwella,1,0,1,49,30,23,2,-,9,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
50,N Dickwella,TD Astle,MD Gunathilaka,1,0,1,50,4,4,3,-,9,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
51,MD Gunathilaka,TD Astle,N Dickwella,0,0,0,50,30,24,4,-,9,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
52,MD Gunathilaka,TD Astle,N Dickwella,0,0,0,50,30,25,5,-,9,bowled,MD Gunathilaka,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
53,LD Madushanka,TD Astle,N Dickwella,0,0,0,50,0,1,6,-,9,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
54,N Dickwella,MJ Santner,LD Madushanka,0,0,0,50,4,5,1,-,10,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
55,N Dickwella,MJ Santner,LD Madushanka,1,0,1,51,5,6,2,-,10,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
56,LD Madushanka,MJ Santner,N Dickwella,1,0,1,52,1,2,3,-,10,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
57,N Dickwella,MJ Santner,LD Madushanka,1,0,1,53,6,7,4,-,10,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
58,LD Madushanka,MJ Santner,N Dickwella,1,0,1,54,2,3,5,-,10,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
59,N Dickwella,MJ Santner,LD Madushanka,2,0,2,56,8,8,6,-,10,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
60,LD Madushanka,TD Astle,N Dickwella,0,0,0,56,2,4,1,-,11,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
61,LD Madushanka,TD Astle,N Dickwella,1,0,1,57,3,5,2,-,11,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
62,N Dickwella,TD Astle,LD Madushanka,4,0,4,61,12,9,3,-,11,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
63,N Dickwella,TD Astle,LD Madushanka,4,0,4,65,16,10,4,-,11,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
64,N Dickwella,TD Astle,LD Madushanka,2,0,2,67,18,11,5,-,11,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
65,N Dickwella,TD Astle,LD Madushanka,2,0,2,69,20,12,6,-,11,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
66,LD Madushanka,TG Southee,N Dickwella,0,0,0,69,3,6,1,-,12,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
67,LD Madushanka,TG Southee,N Dickwella,0,2,2,71,3,7,2,legbyes,12,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
68,LD Madushanka,TG Southee,N Dickwella,0,0,0,71,3,8,3,-,12,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
69,LD Madushanka,TG Southee,N Dickwella,1,0,1,72,4,9,4,-,12,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
70,N Dickwella,TG Southee,LD Madushanka,0,0,0,72,20,13,5,-,12,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
71,N Dickwella,TG Southee,LD Madushanka,4,0,4,76,24,14,6,-,12,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
72,LD Madushanka,MJ Santner,N Dickwella,1,0,1,77,5,10,1,-,13,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
73,N Dickwella,MJ Santner,LD Madushanka,0,0,0,77,24,15,2,-,13,caught,N Dickwella,C Munro,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
74,MD Shanaka,MJ Santner,LD Madushanka,1,0,1,78,1,1,3,-,13,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
75,LD Madushanka,MJ Santner,MD Shanaka,2,0,2,80,7,11,4,-,13,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
76,LD Madushanka,MJ Santner,MD Shanaka,0,0,0,80,7,12,5,-,13,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
77,LD Madushanka,MJ Santner,MD Shanaka,1,0,1,81,8,13,6,-,13,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
78,LD Madushanka,C de Grandhomme,MD Shanaka,1,0,1,82,9,14,1,-,14,0,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,Sri Lanka,New Zealand
