,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,BA King,Mujeeb Ur Rahman,E Lewis,0,0,0,0,0,1,1,0,,,1,-,field,Afghanistan,1,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2019-11-14,West Indies,West Indies,Afghanistan
1,BA King,Mujeeb Ur Rahman,E Lewis,0,0,0,0,0,2,2,0,,,1,-,field,Afghanistan,1,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2019-11-14,West Indies,West Indies,Afghanistan
2,BA King,Mujeeb Ur Rahman,E Lewis,4,0,4,4,4,3,3,0,,,1,-,field,Afghanistan,1,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2019-11-14,West Indies,West Indies,Afghanistan
3,BA King,Mujeeb Ur Rahman,E Lewis,0,0,0,4,4,4,4,bowled,BA King,,1,-,field,Afghanistan,1,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2019-11-14,West Indies,West Indies,Afghanistan
4,SO Hetmyer,Mujeeb Ur Rahman,E Lewis,1,0,1,5,1,1,5,0,,,1,-,field,Afghanistan,1,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2019-11-14,West Indies,West Indies,Afghanistan
5,E Lewis,Mujeeb Ur Rahman,SO Hetmyer,0,0,0,5,0,1,6,0,,,1,-,field,Afghanistan,1,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2019-11-14,West Indies,West Indies,Afghanistan
6,SO Hetmyer,Mohammad Nabi,E Lewis,1,0,1,6,2,2,1,0,,,2,-,field,Afghanistan,1,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2019-11-14,West Indies,West Indies,Afghanistan
7,E Lewis,Mohammad Nabi,SO Hetmyer,0,0,0,6,0,2,2,0,,,2,-,field,Afghanistan,1,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2019-11-14,West Indies,West Indies,Afghanistan
8,E Lewis,Mohammad Nabi,SO Hetmyer,0,0,0,6,0,3,3,0,,,2,-,field,Afghanistan,1,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2019-11-14,West Indies,West Indies,Afghanistan
9,E Lewis,Mohammad Nabi,SO Hetmyer,0,0,0,6,0,4,4,0,,,2,-,field,Afghanistan,1,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2019-11-14,West Indies,West Indies,Afghanistan
10,E Lewis,Mohammad Nabi,SO Hetmyer,0,0,0,6,0,5,5,0,,,2,-,field,Afghanistan,1,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2019-11-14,West Indies,West Indies,Afghanistan
11,E Lewis,Mohammad Nabi,SO Hetmyer,0,0,0,6,0,6,6,0,,,2,-,field,Afghanistan,1,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2019-11-14,West Indies,West Indies,Afghanistan
12,SO Hetmyer,Mujeeb Ur Rahman,E Lewis,0,0,0,6,2,3,1,0,,,3,-,field,Afghanistan,1,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2019-11-14,West Indies,West Indies,Afghanistan
13,SO Hetmyer,Mujeeb Ur Rahman,E Lewis,0,0,0,6,2,4,2,0,,,3,-,field,Afghanistan,1,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2019-11-14,West Indies,West Indies,Afghanistan
14,SO Hetmyer,Mujeeb Ur Rahman,E Lewis,0,2,2,8,2,5,3,0,,,3,legbyes,field,Afghanistan,1,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2019-11-14,West Indies,West Indies,Afghanistan
15,SO Hetmyer,Mujeeb Ur Rahman,E Lewis,1,0,1,9,3,6,4,0,,,3,-,field,Afghanistan,1,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2019-11-14,West Indies,West Indies,Afghanistan
16,E Lewis,Mujeeb Ur Rahman,SO Hetmyer,0,0,0,9,0,7,5,0,,,3,-,field,Afghanistan,1,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2019-11-14,West Indies,West Indies,Afghanistan
