,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,DA Warner,JC Archer,AJ Finch,,0,0,0,0,,0,1,0,1,0,,,0,-,bat,Australia,1,The Rose Bowl,2020,09,Australia_England_2020-09-06,England,Australia,England,False,157
1,DA Warner,JC Archer,AJ Finch,,0,0,0,0,,0,2,0,2,0,,,0,-,bat,Australia,1,The Rose Bowl,2020,09,Australia_England_2020-09-06,England,Australia,England,False,157
2,DA Warner,JC Archer,AJ Finch,"{'by': 'Australia', 'umpire': 'M Burns', 'batter': 'DA Warner', 'decision': 'struck down'}",0,0,0,0,,0,3,1,3,caught,DA Warner,JC Buttler,0,-,bat,Australia,1,The Rose Bowl,2020,09,Australia_England_2020-09-06,England,Australia,England,False,157
3,AT Carey,JC Archer,AJ Finch,,0,0,0,0,,0,1,1,4,0,,,0,-,bat,Australia,1,The Rose Bowl,2020,09,Australia_England_2020-09-06,England,Australia,England,False,157
4,AT Carey,JC Archer,AJ Finch,,0,0,0,0,,0,2,1,5,0,,,0,-,bat,Australia,1,The Rose Bowl,2020,09,Australia_England_2020-09-06,England,Australia,England,False,157
5,AT Carey,JC Archer,AJ Finch,,1,0,1,1,,1,3,1,6,0,,,0,-,bat,Australia,1,The Rose Bowl,2020,09,Australia_England_2020-09-06,England,Australia,England,False,157
6,AT Carey,MA Wood,AJ Finch,,0,0,0,1,,1,4,1,1,0,,,1,-,bat,Australia,1,The Rose Bowl,2020,09,Australia_England_2020-09-06,England,Australia,England,False,157
7,AT Carey,MA Wood,AJ Finch,,0,0,0,1,,1,5,1,2,0,,,1,-,bat,Australia,1,The Rose Bowl,2020,09,Australia_England_2020-09-06,England,Australia,England,False,157
8,AT Carey,MA Wood,AJ Finch,,1,0,1,2,,2,6,1,3,0,,,1,-,bat,Australia,1,The Rose Bowl,2020,09,Australia_England_2020-09-06,England,Australia,England,False,157
9,AJ Finch,MA Wood,AT Carey,,1,0,1,3,,1,1,1,4,0,,,1,-,bat,Australia,1,The Rose Bowl,2020,09,Australia_England_2020-09-06,England,Australia,England,False,157
