,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,Babar Azam,S Mahmood,Fakhar Zaman,0,0,0,0,195,0,1,0,1,0,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
1,Babar Azam,S Mahmood,Fakhar Zaman,0,0,0,0,195,0,2,0,2,0,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
2,Babar Azam,S Mahmood,Fakhar Zaman,1,0,1,1,194,1,3,0,3,0,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
3,Fakhar Zaman,S Mahmood,Babar Azam,0,0,0,1,194,0,1,0,4,0,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
4,Fakhar Zaman,S Mahmood,Babar Azam,1,0,1,2,193,1,2,0,5,0,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
5,Babar Azam,S Mahmood,Fakhar Zaman,0,0,0,2,193,1,4,0,6,0,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
6,Fakhar Zaman,MM Ali,Babar Azam,0,0,0,2,193,1,3,1,1,1,bowled,Fakhar Zaman,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
7,Haider Ali,MM Ali,Babar Azam,1,0,1,3,192,1,1,1,2,1,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
8,Babar Azam,MM Ali,Haider Ali,1,0,1,4,191,2,5,1,3,1,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
9,Haider Ali,MM Ali,Babar Azam,6,0,6,10,185,7,2,1,4,1,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
10,Haider Ali,MM Ali,Babar Azam,1,0,1,11,184,8,3,1,5,1,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
11,Babar Azam,MM Ali,Haider Ali,1,0,1,12,183,3,6,1,6,1,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
12,Babar Azam,S Mahmood,Haider Ali,1,0,1,13,182,4,7,1,1,2,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
13,Haider Ali,S Mahmood,Babar Azam,1,0,1,14,181,9,4,1,2,2,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
14,Babar Azam,S Mahmood,Haider Ali,4,0,4,18,177,8,8,1,3,2,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
15,Babar Azam,S Mahmood,Haider Ali,4,0,4,22,173,12,9,1,4,2,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
16,Babar Azam,S Mahmood,Haider Ali,4,0,4,26,169,16,10,1,5,2,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
17,Babar Azam,S Mahmood,Haider Ali,1,0,1,27,168,17,11,1,6,2,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
18,Babar Azam,CJ Jordan,Haider Ali,0,0,0,27,168,17,12,1,1,3,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
19,Babar Azam,CJ Jordan,Haider Ali,0,0,0,27,168,17,13,1,2,3,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
20,Babar Azam,CJ Jordan,Haider Ali,2,0,2,29,166,19,14,1,3,3,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
21,Babar Azam,CJ Jordan,Haider Ali,1,0,1,30,165,20,15,1,4,3,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
22,Haider Ali,CJ Jordan,Babar Azam,0,1,1,31,164,9,5,1,5,3,0,,,legbyes,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
23,Babar Azam,CJ Jordan,Haider Ali,1,0,1,32,163,21,16,1,6,3,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
24,Babar Azam,TK Curran,Haider Ali,0,0,0,32,163,21,17,1,1,4,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
25,Babar Azam,TK Curran,Haider Ali,0,0,0,32,163,21,18,2,2,4,bowled,Babar Azam,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
26,Mohammad Hafeez,TK Curran,Haider Ali,0,0,0,32,163,0,1,2,3,4,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
27,Mohammad Hafeez,TK Curran,Haider Ali,1,0,1,33,162,1,2,2,4,4,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
28,Haider Ali,TK Curran,Mohammad Hafeez,0,0,0,33,162,9,6,2,5,4,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
29,Haider Ali,TK Curran,Mohammad Hafeez,4,0,4,37,158,13,7,2,6,4,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
30,Mohammad Hafeez,CJ Jordan,Haider Ali,1,0,1,38,157,2,3,2,1,5,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
31,Haider Ali,CJ Jordan,Mohammad Hafeez,4,0,4,42,153,17,8,2,2,5,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
32,Haider Ali,CJ Jordan,Mohammad Hafeez,4,0,4,46,149,21,9,2,3,5,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
33,Haider Ali,CJ Jordan,Mohammad Hafeez,1,0,1,47,148,22,10,2,4,5,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
34,Mohammad Hafeez,CJ Jordan,Haider Ali,0,0,0,47,148,2,4,2,5,5,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
35,Mohammad Hafeez,CJ Jordan,Haider Ali,0,0,0,47,148,2,5,2,6,5,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
36,Haider Ali,TK Curran,Mohammad Hafeez,1,0,1,48,147,23,11,2,1,6,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
37,Mohammad Hafeez,TK Curran,Haider Ali,0,0,0,48,147,2,6,2,2,6,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
38,Mohammad Hafeez,TK Curran,Haider Ali,4,0,4,52,143,6,7,2,3,6,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
39,Mohammad Hafeez,TK Curran,Haider Ali,1,0,1,53,142,7,8,2,4,6,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
40,Haider Ali,TK Curran,Mohammad Hafeez,1,0,1,54,141,24,12,2,5,6,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
41,Mohammad Hafeez,TK Curran,Haider Ali,0,0,0,54,141,7,9,2,6,6,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
42,Haider Ali,L Gregory,Mohammad Hafeez,6,0,6,60,135,30,13,2,1,7,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
43,Haider Ali,L Gregory,Mohammad Hafeez,1,0,1,61,134,31,14,2,2,7,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
44,Mohammad Hafeez,L Gregory,Haider Ali,1,0,1,62,133,8,10,2,3,7,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
45,Haider Ali,L Gregory,Mohammad Hafeez,1,0,1,63,132,32,15,2,4,7,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
46,Mohammad Hafeez,L Gregory,Haider Ali,1,0,1,64,131,9,11,2,5,7,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
47,Haider Ali,L Gregory,Mohammad Hafeez,0,1,1,65,130,32,16,2,6,7,0,,,wides,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
48,Haider Ali,L Gregory,Mohammad Hafeez,1,0,1,66,129,33,17,2,7,7,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
49,Haider Ali,AU Rashid,Mohammad Hafeez,2,0,2,68,127,35,18,2,1,8,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
50,Haider Ali,AU Rashid,Mohammad Hafeez,2,0,2,70,125,37,19,2,2,8,0,,,-,,field,England,1,Old Trafford,2020,09,Pakistan_England_2020-09-01,Pakistan,Pakistan,England,190
