,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,MD Gunathilaka,Imad Wasim,S Samarawickrama,3,0,3,3,3,1,1,1,,-,0,,,,bat,Sri Lanka,1,Gaddafi Stadium,2019-10-09,Sri Lanka,Pakistan
1,S Samarawickrama,Imad Wasim,MD Gunathilaka,0,0,0,3,0,1,2,1,,-,0,,,,bat,Sri Lanka,1,Gaddafi Stadium,2019-10-09,Sri Lanka,Pakistan
2,S Samarawickrama,Imad Wasim,MD Gunathilaka,1,0,1,4,1,2,3,1,,-,0,,,,bat,Sri Lanka,1,Gaddafi Stadium,2019-10-09,Sri Lanka,Pakistan
3,MD Gunathilaka,Imad Wasim,S Samarawickrama,0,0,0,4,3,2,4,1,,-,0,,,,bat,Sri Lanka,1,Gaddafi Stadium,2019-10-09,Sri Lanka,Pakistan
4,MD Gunathilaka,Imad Wasim,S Samarawickrama,0,0,0,4,3,3,5,1,,-,0,,,,bat,Sri Lanka,1,Gaddafi Stadium,2019-10-09,Sri Lanka,Pakistan
5,MD Gunathilaka,Imad Wasim,S Samarawickrama,4,0,4,8,7,4,6,1,,-,0,,,,bat,Sri Lanka,1,Gaddafi Stadium,2019-10-09,Sri Lanka,Pakistan
6,S Samarawickrama,Usman Shinwari,MD Gunathilaka,2,0,2,10,3,3,1,2,,-,0,,,,bat,Sri Lanka,1,Gaddafi Stadium,2019-10-09,Sri Lanka,Pakistan
7,S Samarawickrama,Usman Shinwari,MD Gunathilaka,0,1,1,11,3,4,2,2,{'wides': 1},wides,0,,,,bat,Sri Lanka,1,Gaddafi Stadium,2019-10-09,Sri Lanka,Pakistan
8,S Samarawickrama,Usman Shinwari,MD Gunathilaka,1,0,1,12,4,5,3,2,,-,0,,,,bat,Sri Lanka,1,Gaddafi Stadium,2019-10-09,Sri Lanka,Pakistan
9,MD Gunathilaka,Usman Shinwari,S Samarawickrama,0,0,0,12,7,5,4,2,,-,0,,,,bat,Sri Lanka,1,Gaddafi Stadium,2019-10-09,Sri Lanka,Pakistan
10,MD Gunathilaka,Usman Shinwari,S Samarawickrama,0,5,5,17,7,6,5,2,{'wides': 5},wides,0,,,,bat,Sri Lanka,1,Gaddafi Stadium,2019-10-09,Sri Lanka,Pakistan
11,MD Gunathilaka,Usman Shinwari,S Samarawickrama,0,0,0,17,7,7,6,2,,-,0,,,,bat,Sri Lanka,1,Gaddafi Stadium,2019-10-09,Sri Lanka,Pakistan
12,MD Gunathilaka,Usman Shinwari,S Samarawickrama,1,0,1,18,8,8,7,2,,-,0,,,,bat,Sri Lanka,1,Gaddafi Stadium,2019-10-09,Sri Lanka,Pakistan
13,S Samarawickrama,Usman Shinwari,MD Gunathilaka,1,0,1,19,5,6,8,2,,-,0,,,,bat,Sri Lanka,1,Gaddafi Stadium,2019-10-09,Sri Lanka,Pakistan
14,S Samarawickrama,Mohammad Amir,MD Gunathilaka,4,0,4,23,9,7,1,3,,-,0,,,,bat,Sri Lanka,1,Gaddafi Stadium,2019-10-09,Sri Lanka,Pakistan
15,S Samarawickrama,Mohammad Amir,MD Gunathilaka,0,0,0,23,9,8,2,3,,-,0,,,,bat,Sri Lanka,1,Gaddafi Stadium,2019-10-09,Sri Lanka,Pakistan
16,S Samarawickrama,Mohammad Amir,MD Gunathilaka,0,0,0,23,9,9,3,3,,-,0,,,,bat,Sri Lanka,1,Gaddafi Stadium,2019-10-09,Sri Lanka,Pakistan
17,S Samarawickrama,Mohammad Amir,MD Gunathilaka,1,0,1,24,10,10,4,3,,-,0,,,,bat,Sri Lanka,1,Gaddafi Stadium,2019-10-09,Sri Lanka,Pakistan
