,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,MD Gunathilaka,JJ Bumrah,WIA Fernando,1,0,1,1,1,1,1,-,0,,,1,field,Sri Lanka,2,Maharashtra Cricket Association Stadium,2020-01-10,Sri Lanka,India
1,WIA Fernando,JJ Bumrah,MD Gunathilaka,0,0,0,1,0,1,2,-,0,,,1,field,Sri Lanka,2,Maharashtra Cricket Association Stadium,2020-01-10,Sri Lanka,India
2,WIA Fernando,JJ Bumrah,MD Gunathilaka,0,0,0,1,0,2,3,-,0,,,1,field,Sri Lanka,2,Maharashtra Cricket Association Stadium,2020-01-10,Sri Lanka,India
3,WIA Fernando,JJ Bumrah,MD Gunathilaka,2,0,2,3,2,3,4,-,0,,,1,field,Sri Lanka,2,Maharashtra Cricket Association Stadium,2020-01-10,Sri Lanka,India
4,WIA Fernando,JJ Bumrah,MD Gunathilaka,1,0,1,4,3,4,5,-,0,,,1,field,Sri Lanka,2,Maharashtra Cricket Association Stadium,2020-01-10,Sri Lanka,India
5,MD Gunathilaka,JJ Bumrah,WIA Fernando,0,1,1,5,1,2,6,wides,0,,,1,field,Sri Lanka,2,Maharashtra Cricket Association Stadium,2020-01-10,Sri Lanka,India
6,MD Gunathilaka,JJ Bumrah,WIA Fernando,0,0,0,5,1,3,7,-,caught,MD Gunathilaka,Washington Sundar,1,field,Sri Lanka,2,Maharashtra Cricket Association Stadium,2020-01-10,Sri Lanka,India
7,WIA Fernando,SN Thakur,MDKJ Perera,0,0,0,5,3,5,1,-,0,,,2,field,Sri Lanka,2,Maharashtra Cricket Association Stadium,2020-01-10,Sri Lanka,India
8,WIA Fernando,SN Thakur,MDKJ Perera,6,0,6,11,9,6,2,-,0,,,2,field,Sri Lanka,2,Maharashtra Cricket Association Stadium,2020-01-10,Sri Lanka,India
9,WIA Fernando,SN Thakur,MDKJ Perera,0,0,0,11,9,7,3,-,caught,WIA Fernando,SS Iyer,2,field,Sri Lanka,2,Maharashtra Cricket Association Stadium,2020-01-10,Sri Lanka,India
