,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,WIA Fernando,SS Cottrell,MDKJ Perera,4,0,4,4,192,4,1,0,1,-,0,0,,,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
1,WIA Fernando,SS Cottrell,MDKJ Perera,1,0,1,5,191,5,2,0,2,-,0,0,,,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
2,MDKJ Perera,SS Cottrell,WIA Fernando,4,0,4,9,187,4,1,0,3,-,0,0,,,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
3,MDKJ Perera,SS Cottrell,WIA Fernando,0,0,0,9,187,4,2,0,4,-,0,0,,,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
4,MDKJ Perera,SS Cottrell,WIA Fernando,1,0,1,10,186,5,3,0,5,-,0,0,,,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
5,WIA Fernando,SS Cottrell,MDKJ Perera,0,1,1,11,185,5,3,0,6,wides,0,0,,,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
6,WIA Fernando,SS Cottrell,MDKJ Perera,1,0,1,12,184,6,4,0,7,-,0,0,,,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
7,WIA Fernando,O Thomas,MDKJ Perera,1,0,1,13,183,7,5,0,1,-,1,0,,,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
8,MDKJ Perera,O Thomas,WIA Fernando,1,0,1,14,182,6,4,0,2,-,1,0,,,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
9,WIA Fernando,O Thomas,MDKJ Perera,0,1,1,15,181,7,6,0,3,wides,1,0,,,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
10,WIA Fernando,O Thomas,MDKJ Perera,0,1,1,16,180,7,7,0,4,wides,1,0,,,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
11,WIA Fernando,O Thomas,MDKJ Perera,0,0,0,16,180,7,8,1,5,-,1,caught,WIA Fernando,N Pooran,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
12,GSNFG Jayasuriya,O Thomas,MDKJ Perera,0,0,0,16,180,0,1,2,6,-,1,caught,GSNFG Jayasuriya,SS Cottrell,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
13,BKG Mendis,O Thomas,MDKJ Perera,0,0,0,16,180,0,1,2,7,-,1,0,,,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
14,BKG Mendis,O Thomas,MDKJ Perera,0,1,1,17,179,0,2,2,8,wides,1,0,,,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
15,BKG Mendis,O Thomas,MDKJ Perera,0,0,0,17,179,0,3,3,9,-,1,caught,BKG Mendis,N Pooran,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
16,MDKJ Perera,AD Russell,AD Mathews,0,1,1,18,178,6,5,3,1,legbyes,2,0,,,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
17,AD Mathews,AD Russell,MDKJ Perera,1,0,1,19,177,1,1,3,2,-,2,0,,,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
18,MDKJ Perera,AD Russell,AD Mathews,6,0,6,25,171,12,6,3,3,-,2,0,,,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
19,MDKJ Perera,AD Russell,AD Mathews,4,0,4,29,167,16,7,3,4,-,2,0,,,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
20,MDKJ Perera,AD Russell,AD Mathews,1,0,1,30,166,17,8,3,5,-,2,0,,,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
21,AD Mathews,AD Russell,MDKJ Perera,1,0,1,31,165,2,2,3,6,-,2,0,,,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
22,AD Mathews,O Thomas,MDKJ Perera,4,0,4,35,161,6,3,3,1,-,3,0,,,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
23,AD Mathews,O Thomas,MDKJ Perera,0,1,1,36,160,6,4,3,2,wides,3,0,,,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
24,AD Mathews,O Thomas,MDKJ Perera,4,0,4,40,156,10,5,3,3,-,3,0,,,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
25,AD Mathews,O Thomas,MDKJ Perera,0,1,1,41,155,10,6,3,4,wides,3,0,,,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
26,AD Mathews,O Thomas,MDKJ Perera,0,0,0,41,155,10,7,3,5,-,3,0,,,,bat,West Indies,2,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-04,West Indies,Sri Lanka,West Indies,171
