,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,PR Stirling,Naveen-ul-Haq,KJ O'Brien,0,0,0,0,,0,1,0,-,1.0,0,,,0,bat,Ireland,1,Greater Noida Sports Complex Ground,2020,03,Afghanistan_Ireland_2020-03-10,tie,Ireland,Afghanistan,,142,Right hand Bat,Right hand Bat,Right arm Medium
1,PR Stirling,Naveen-ul-Haq,KJ O'Brien,0,0,0,0,,0,2,0,-,2.0,0,,,0,bat,Ireland,1,Greater Noida Sports Complex Ground,2020,03,Afghanistan_Ireland_2020-03-10,tie,Ireland,Afghanistan,,142,Right hand Bat,Right hand Bat,Right arm Medium
2,PR Stirling,Naveen-ul-Haq,KJ O'Brien,0,0,0,0,,0,3,0,-,3.0,0,,,0,bat,Ireland,1,Greater Noida Sports Complex Ground,2020,03,Afghanistan_Ireland_2020-03-10,tie,Ireland,Afghanistan,,142,Right hand Bat,Right hand Bat,Right arm Medium
3,PR Stirling,Naveen-ul-Haq,KJ O'Brien,0,0,0,0,,0,4,1,-,4.0,caught,PR Stirling,Mohammad Nabi,0,bat,Ireland,1,Greater Noida Sports Complex Ground,2020,03,Afghanistan_Ireland_2020-03-10,tie,Ireland,Afghanistan,,142,Right hand Bat,Right hand Bat,Right arm Medium
4,A Balbirnie,Naveen-ul-Haq,KJ O'Brien,0,0,0,0,,0,1,1,-,5.0,0,,,0,bat,Ireland,1,Greater Noida Sports Complex Ground,2020,03,Afghanistan_Ireland_2020-03-10,tie,Ireland,Afghanistan,,142,Right hand Bat,Right hand Bat,Right arm Medium
5,A Balbirnie,Naveen-ul-Haq,KJ O'Brien,4,0,4,4,,4,2,1,-,6.0,0,,,0,bat,Ireland,1,Greater Noida Sports Complex Ground,2020,03,Afghanistan_Ireland_2020-03-10,tie,Ireland,Afghanistan,,142,Right hand Bat,Right hand Bat,Right arm Medium
6,KJ O'Brien,Mujeeb Ur Rahman,A Balbirnie,0,0,0,4,,0,1,1,-,1.0,0,,,1,bat,Ireland,1,Greater Noida Sports Complex Ground,2020,03,Afghanistan_Ireland_2020-03-10,tie,Ireland,Afghanistan,,142,Right hand Bat,Right hand Bat,Right arm Offbreak
7,KJ O'Brien,Mujeeb Ur Rahman,A Balbirnie,0,1,1,5,,0,2,1,legbyes,2.0,0,,,1,bat,Ireland,1,Greater Noida Sports Complex Ground,2020,03,Afghanistan_Ireland_2020-03-10,tie,Ireland,Afghanistan,,142,Right hand Bat,Right hand Bat,Right arm Offbreak
8,A Balbirnie,Mujeeb Ur Rahman,KJ O'Brien,0,0,0,5,,4,3,1,-,3.0,0,,,1,bat,Ireland,1,Greater Noida Sports Complex Ground,2020,03,Afghanistan_Ireland_2020-03-10,tie,Ireland,Afghanistan,,142,Right hand Bat,Right hand Bat,Right arm Offbreak
9,A Balbirnie,Mujeeb Ur Rahman,KJ O'Brien,4,0,4,9,,8,4,1,-,4.0,0,,,1,bat,Ireland,1,Greater Noida Sports Complex Ground,2020,03,Afghanistan_Ireland_2020-03-10,tie,Ireland,Afghanistan,,142,Right hand Bat,Right hand Bat,Right arm Offbreak
10,A Balbirnie,Mujeeb Ur Rahman,KJ O'Brien,1,0,1,10,,9,5,1,-,5.0,0,,,1,bat,Ireland,1,Greater Noida Sports Complex Ground,2020,03,Afghanistan_Ireland_2020-03-10,tie,Ireland,Afghanistan,,142,Right hand Bat,Right hand Bat,Right arm Offbreak
11,KJ O'Brien,Mujeeb Ur Rahman,A Balbirnie,1,0,1,11,,1,3,1,-,6.0,0,,,1,bat,Ireland,1,Greater Noida Sports Complex Ground,2020,03,Afghanistan_Ireland_2020-03-10,tie,Ireland,Afghanistan,,142,Right hand Bat,Right hand Bat,Right arm Offbreak
12,KJ O'Brien,Naveen-ul-Haq,A Balbirnie,1,0,1,12,,2,4,1,-,1.0,0,,,2,bat,Ireland,1,Greater Noida Sports Complex Ground,2020,03,Afghanistan_Ireland_2020-03-10,tie,Ireland,Afghanistan,,142,Right hand Bat,Right hand Bat,Right arm Medium
13,A Balbirnie,Naveen-ul-Haq,KJ O'Brien,0,0,0,12,,9,6,2,-,2.0,bowled,A Balbirnie,,2,bat,Ireland,1,Greater Noida Sports Complex Ground,2020,03,Afghanistan_Ireland_2020-03-10,tie,Ireland,Afghanistan,,142,Right hand Bat,Right hand Bat,Right arm Medium
14,GJ Delany,Naveen-ul-Haq,KJ O'Brien,0,0,0,12,,0,1,2,-,3.0,0,,,2,bat,Ireland,1,Greater Noida Sports Complex Ground,2020,03,Afghanistan_Ireland_2020-03-10,tie,Ireland,Afghanistan,,142,Right hand Bat,Right hand Bat,Right arm Medium
15,GJ Delany,Naveen-ul-Haq,KJ O'Brien,0,0,0,12,,0,2,2,-,4.0,0,,,2,bat,Ireland,1,Greater Noida Sports Complex Ground,2020,03,Afghanistan_Ireland_2020-03-10,tie,Ireland,Afghanistan,,142,Right hand Bat,Right hand Bat,Right arm Medium
