,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,BRM Taylor,Mohammad Hasnain,CJ Chibhabha,0,0,0,0,134,0,1,0,1,1,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
1,BRM Taylor,Mohammad Hasnain,CJ Chibhabha,1,0,1,1,133,1,2,0,2,1,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
2,CJ Chibhabha,Mohammad Hasnain,BRM Taylor,0,0,0,1,133,0,1,0,3,1,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
3,CJ Chibhabha,Mohammad Hasnain,BRM Taylor,0,0,0,1,133,0,2,0,4,1,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
4,CJ Chibhabha,Mohammad Hasnain,BRM Taylor,1,0,1,2,132,1,3,0,5,1,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
5,BRM Taylor,Mohammad Hasnain,CJ Chibhabha,0,0,0,2,132,1,3,0,6,1,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
6,CJ Chibhabha,Haris Rauf,BRM Taylor,4,0,4,6,128,5,4,0,1,2,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
7,CJ Chibhabha,Haris Rauf,BRM Taylor,4,0,4,10,124,9,5,0,2,2,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
8,CJ Chibhabha,Haris Rauf,BRM Taylor,0,5,5,15,119,9,6,0,3,2,wides,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
9,CJ Chibhabha,Haris Rauf,BRM Taylor,1,0,1,16,118,10,7,0,4,2,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
10,BRM Taylor,Haris Rauf,CJ Chibhabha,4,0,4,20,114,5,4,0,5,2,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
11,BRM Taylor,Haris Rauf,CJ Chibhabha,1,0,1,21,113,6,5,0,6,2,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
12,CJ Chibhabha,Haris Rauf,BRM Taylor,0,0,0,21,113,10,8,0,7,2,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
13,BRM Taylor,Mohammad Hasnain,CJ Chibhabha,0,0,0,21,113,6,6,0,1,3,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
14,BRM Taylor,Mohammad Hasnain,CJ Chibhabha,1,0,1,22,112,7,7,0,2,3,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
15,CJ Chibhabha,Mohammad Hasnain,BRM Taylor,0,0,0,22,112,10,9,0,3,3,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
16,CJ Chibhabha,Mohammad Hasnain,BRM Taylor,1,0,1,23,111,11,10,0,4,3,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
17,BRM Taylor,Mohammad Hasnain,CJ Chibhabha,0,0,0,23,111,7,8,0,5,3,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
18,BRM Taylor,Mohammad Hasnain,CJ Chibhabha,0,0,0,23,111,7,9,0,6,3,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
19,CJ Chibhabha,Imad Wasim,BRM Taylor,0,0,0,23,111,11,11,0,1,4,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
20,CJ Chibhabha,Imad Wasim,BRM Taylor,1,0,1,24,110,12,12,0,2,4,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
21,BRM Taylor,Imad Wasim,CJ Chibhabha,1,0,1,25,109,8,10,0,3,4,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
22,CJ Chibhabha,Imad Wasim,BRM Taylor,1,0,1,26,108,13,13,0,4,4,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
23,BRM Taylor,Imad Wasim,CJ Chibhabha,0,0,0,26,108,8,11,1,5,4,-,caught,BRM Taylor,Khushdil Shah,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
24,CJ Chibhabha,Imad Wasim,CR Ervine,1,0,1,27,107,14,14,1,6,4,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
25,CJ Chibhabha,Muhammad Musa,CR Ervine,1,0,1,28,106,15,15,1,1,5,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
26,CR Ervine,Muhammad Musa,CJ Chibhabha,0,0,0,28,106,0,1,1,2,5,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
27,CR Ervine,Muhammad Musa,CJ Chibhabha,0,0,0,28,106,0,2,1,3,5,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
28,CR Ervine,Muhammad Musa,CJ Chibhabha,0,0,0,28,106,0,3,1,4,5,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
29,CR Ervine,Muhammad Musa,CJ Chibhabha,0,0,0,28,106,0,4,1,5,5,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
30,CR Ervine,Muhammad Musa,CJ Chibhabha,4,0,4,32,102,4,5,1,6,5,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
31,CJ Chibhabha,Haris Rauf,CR Ervine,0,0,0,32,102,15,16,1,1,6,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
32,CJ Chibhabha,Haris Rauf,CR Ervine,1,0,1,33,101,16,17,1,2,6,-,0,,,,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-10,Pakistan,Zimbabwe,Pakistan,129
