,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,Mohammad Rizwan,TA Boult,Haider Ali,0,0,0,0,153,0,1,0,1,1,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
1,Mohammad Rizwan,TA Boult,Haider Ali,0,0,0,0,153,0,2,0,2,1,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
2,Mohammad Rizwan,TA Boult,Haider Ali,4,0,4,4,149,4,3,0,3,1,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
3,Mohammad Rizwan,TA Boult,Haider Ali,0,0,0,4,149,4,4,0,4,1,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
4,Mohammad Rizwan,TA Boult,Haider Ali,4,0,4,8,145,8,5,0,5,1,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
5,Mohammad Rizwan,TA Boult,Haider Ali,0,0,0,8,145,8,6,0,6,1,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
6,Haider Ali,TG Southee,Mohammad Rizwan,2,0,2,10,143,2,1,0,1,2,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
7,Haider Ali,TG Southee,Mohammad Rizwan,6,0,6,16,137,8,2,0,2,2,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
8,Haider Ali,TG Southee,Mohammad Rizwan,0,0,0,16,137,8,3,0,3,2,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
9,Haider Ali,TG Southee,Mohammad Rizwan,0,0,0,16,137,8,4,1,4,2,caught,Haider Ali,KS Williamson,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
10,Abdullah Shafique,TG Southee,Mohammad Rizwan,0,0,0,16,137,0,1,1,5,2,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
11,Abdullah Shafique,TG Southee,Mohammad Rizwan,0,0,0,16,137,0,2,2,6,2,caught and bowled,Abdullah Shafique,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
12,Mohammad Rizwan,TA Boult,Mohammad Hafeez,0,0,0,16,137,8,7,2,1,3,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
13,Mohammad Rizwan,TA Boult,Mohammad Hafeez,4,0,4,20,133,12,8,2,2,3,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
14,Mohammad Rizwan,TA Boult,Mohammad Hafeez,0,0,0,20,133,12,9,2,3,3,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
15,Mohammad Rizwan,TA Boult,Mohammad Hafeez,1,0,1,21,132,13,10,2,4,3,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
