,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,MJ Guptill,Shaheen Shah Afridi,TL Seifert,0,0,0,0,163,0,1,0,1,1,0,,,,-,field,Pakistan,1,McLean Park,2020,12,New Zealand_Pakistan_2020-12-22,Pakistan,New Zealand,Pakistan
1,MJ Guptill,Shaheen Shah Afridi,TL Seifert,0,0,0,0,163,0,2,0,2,1,0,,,,-,field,Pakistan,1,McLean Park,2020,12,New Zealand_Pakistan_2020-12-22,Pakistan,New Zealand,Pakistan
2,MJ Guptill,Shaheen Shah Afridi,TL Seifert,0,0,0,0,163,0,3,0,3,1,0,,,,-,field,Pakistan,1,McLean Park,2020,12,New Zealand_Pakistan_2020-12-22,Pakistan,New Zealand,Pakistan
3,MJ Guptill,Shaheen Shah Afridi,TL Seifert,1,0,1,1,162,1,4,0,4,1,0,,,,-,field,Pakistan,1,McLean Park,2020,12,New Zealand_Pakistan_2020-12-22,Pakistan,New Zealand,Pakistan
4,TL Seifert,Shaheen Shah Afridi,MJ Guptill,4,0,4,5,158,4,1,0,5,1,0,,,,-,field,Pakistan,1,McLean Park,2020,12,New Zealand_Pakistan_2020-12-22,Pakistan,New Zealand,Pakistan
5,TL Seifert,Shaheen Shah Afridi,MJ Guptill,0,0,0,5,158,4,2,0,6,1,0,,,,-,field,Pakistan,1,McLean Park,2020,12,New Zealand_Pakistan_2020-12-22,Pakistan,New Zealand,Pakistan
6,MJ Guptill,Mohammad Hasnain,TL Seifert,1,0,1,6,157,2,5,0,1,2,0,,,,-,field,Pakistan,1,McLean Park,2020,12,New Zealand_Pakistan_2020-12-22,Pakistan,New Zealand,Pakistan
7,TL Seifert,Mohammad Hasnain,MJ Guptill,0,0,0,6,157,4,3,0,2,2,0,,,,-,field,Pakistan,1,McLean Park,2020,12,New Zealand_Pakistan_2020-12-22,Pakistan,New Zealand,Pakistan
8,TL Seifert,Mohammad Hasnain,MJ Guptill,0,0,0,6,157,4,4,0,3,2,0,,,,-,field,Pakistan,1,McLean Park,2020,12,New Zealand_Pakistan_2020-12-22,Pakistan,New Zealand,Pakistan
9,TL Seifert,Mohammad Hasnain,MJ Guptill,0,0,0,6,157,4,5,0,4,2,0,,,,-,field,Pakistan,1,McLean Park,2020,12,New Zealand_Pakistan_2020-12-22,Pakistan,New Zealand,Pakistan
10,TL Seifert,Mohammad Hasnain,MJ Guptill,6,0,6,12,151,10,6,0,5,2,0,,,,-,field,Pakistan,1,McLean Park,2020,12,New Zealand_Pakistan_2020-12-22,Pakistan,New Zealand,Pakistan
11,TL Seifert,Mohammad Hasnain,MJ Guptill,0,0,0,12,151,10,7,0,6,2,0,,,,-,field,Pakistan,1,McLean Park,2020,12,New Zealand_Pakistan_2020-12-22,Pakistan,New Zealand,Pakistan
12,MJ Guptill,Shaheen Shah Afridi,TL Seifert,1,0,1,13,150,3,6,0,1,3,0,,,,-,field,Pakistan,1,McLean Park,2020,12,New Zealand_Pakistan_2020-12-22,Pakistan,New Zealand,Pakistan
13,TL Seifert,Shaheen Shah Afridi,MJ Guptill,2,0,2,15,148,12,8,0,2,3,0,,,,-,field,Pakistan,1,McLean Park,2020,12,New Zealand_Pakistan_2020-12-22,Pakistan,New Zealand,Pakistan
14,TL Seifert,Shaheen Shah Afridi,MJ Guptill,3,0,3,18,145,15,9,0,3,3,0,,,,-,field,Pakistan,1,McLean Park,2020,12,New Zealand_Pakistan_2020-12-22,Pakistan,New Zealand,Pakistan
15,MJ Guptill,Shaheen Shah Afridi,TL Seifert,0,0,0,18,145,3,7,0,4,3,0,,,,-,field,Pakistan,1,McLean Park,2020,12,New Zealand_Pakistan_2020-12-22,Pakistan,New Zealand,Pakistan
16,MJ Guptill,Shaheen Shah Afridi,TL Seifert,4,0,4,22,141,7,8,0,5,3,0,,,,-,field,Pakistan,1,McLean Park,2020,12,New Zealand_Pakistan_2020-12-22,Pakistan,New Zealand,Pakistan
17,MJ Guptill,Shaheen Shah Afridi,TL Seifert,1,0,1,23,140,8,9,0,6,3,0,,,,-,field,Pakistan,1,McLean Park,2020,12,New Zealand_Pakistan_2020-12-22,Pakistan,New Zealand,Pakistan
18,MJ Guptill,Mohammad Hasnain,TL Seifert,0,0,0,23,140,8,10,0,1,4,0,,,,-,field,Pakistan,1,McLean Park,2020,12,New Zealand_Pakistan_2020-12-22,Pakistan,New Zealand,Pakistan
19,MJ Guptill,Mohammad Hasnain,TL Seifert,0,0,0,23,140,8,11,0,2,4,0,,,,-,field,Pakistan,1,McLean Park,2020,12,New Zealand_Pakistan_2020-12-22,Pakistan,New Zealand,Pakistan
20,MJ Guptill,Mohammad Hasnain,TL Seifert,4,0,4,27,136,12,12,0,3,4,0,,,,-,field,Pakistan,1,McLean Park,2020,12,New Zealand_Pakistan_2020-12-22,Pakistan,New Zealand,Pakistan
21,MJ Guptill,Mohammad Hasnain,TL Seifert,1,0,1,28,135,13,13,0,4,4,0,,,,-,field,Pakistan,1,McLean Park,2020,12,New Zealand_Pakistan_2020-12-22,Pakistan,New Zealand,Pakistan
22,TL Seifert,Mohammad Hasnain,MJ Guptill,0,0,0,28,135,15,10,0,5,4,0,,,,-,field,Pakistan,1,McLean Park,2020,12,New Zealand_Pakistan_2020-12-22,Pakistan,New Zealand,Pakistan
23,TL Seifert,Mohammad Hasnain,MJ Guptill,6,0,6,34,129,21,11,0,6,4,0,,,,-,field,Pakistan,1,McLean Park,2020,12,New Zealand_Pakistan_2020-12-22,Pakistan,New Zealand,Pakistan
24,MJ Guptill,Haris Rauf,TL Seifert,0,0,0,34,129,13,14,0,1,5,0,,,,-,field,Pakistan,1,McLean Park,2020,12,New Zealand_Pakistan_2020-12-22,Pakistan,New Zealand,Pakistan
