,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,MJ Guptill,AC Agar,TL Seifert,0,0,0,0,0,1,1,1,,-,0,,,,bat,Australia,2,Westpac Stadium,2021-03-05,New Zealand,Australia
1,MJ Guptill,AC Agar,TL Seifert,0,0,0,0,0,2,2,1,,-,0,,,,bat,Australia,2,Westpac Stadium,2021-03-05,New Zealand,Australia
2,MJ Guptill,AC Agar,TL Seifert,0,0,0,0,0,3,3,1,,-,0,,,,bat,Australia,2,Westpac Stadium,2021-03-05,New Zealand,Australia
3,MJ Guptill,AC Agar,TL Seifert,1,0,1,1,1,4,4,1,,-,0,,,,bat,Australia,2,Westpac Stadium,2021-03-05,New Zealand,Australia
4,TL Seifert,AC Agar,MJ Guptill,0,0,0,1,0,1,5,1,,-,0,,,,bat,Australia,2,Westpac Stadium,2021-03-05,New Zealand,Australia
5,TL Seifert,AC Agar,MJ Guptill,0,0,0,1,0,2,6,1,,-,0,,,,bat,Australia,2,Westpac Stadium,2021-03-05,New Zealand,Australia
6,MJ Guptill,RP Meredith,TL Seifert,1,0,1,2,2,5,1,2,,-,0,,,,bat,Australia,2,Westpac Stadium,2021-03-05,New Zealand,Australia
7,TL Seifert,RP Meredith,MJ Guptill,0,0,0,2,0,3,2,2,,-,0,,,,bat,Australia,2,Westpac Stadium,2021-03-05,New Zealand,Australia
8,TL Seifert,RP Meredith,MJ Guptill,0,1,1,3,0,4,3,2,{'wides': 1},wides,0,,,,bat,Australia,2,Westpac Stadium,2021-03-05,New Zealand,Australia
9,TL Seifert,RP Meredith,MJ Guptill,0,0,0,3,0,5,4,2,,-,0,,,,bat,Australia,2,Westpac Stadium,2021-03-05,New Zealand,Australia
10,TL Seifert,RP Meredith,MJ Guptill,1,0,1,4,1,6,5,2,,-,0,,,,bat,Australia,2,Westpac Stadium,2021-03-05,New Zealand,Australia
11,MJ Guptill,RP Meredith,TL Seifert,0,0,0,4,2,6,6,2,,-,0,,,,bat,Australia,2,Westpac Stadium,2021-03-05,New Zealand,Australia
12,MJ Guptill,RP Meredith,TL Seifert,4,0,4,8,6,7,7,2,,-,0,,,,bat,Australia,2,Westpac Stadium,2021-03-05,New Zealand,Australia
13,TL Seifert,AC Agar,MJ Guptill,4,0,4,12,5,7,1,3,,-,0,,,,bat,Australia,2,Westpac Stadium,2021-03-05,New Zealand,Australia
14,TL Seifert,AC Agar,MJ Guptill,0,0,0,12,5,8,2,3,,-,0,,,,bat,Australia,2,Westpac Stadium,2021-03-05,New Zealand,Australia
15,TL Seifert,AC Agar,MJ Guptill,0,0,0,12,5,9,3,3,,-,0,,,,bat,Australia,2,Westpac Stadium,2021-03-05,New Zealand,Australia
16,TL Seifert,AC Agar,MJ Guptill,0,0,0,12,5,10,4,3,,-,0,,,,bat,Australia,2,Westpac Stadium,2021-03-05,New Zealand,Australia
17,TL Seifert,AC Agar,MJ Guptill,0,0,0,12,5,11,5,3,,-,0,,,,bat,Australia,2,Westpac Stadium,2021-03-05,New Zealand,Australia
18,TL Seifert,AC Agar,MJ Guptill,0,0,0,12,5,12,6,3,,-,0,,,,bat,Australia,2,Westpac Stadium,2021-03-05,New Zealand,Australia
19,MJ Guptill,JA Richardson,TL Seifert,1,0,1,13,7,8,1,4,,-,0,,,,bat,Australia,2,Westpac Stadium,2021-03-05,New Zealand,Australia
20,TL Seifert,JA Richardson,MJ Guptill,0,0,0,13,5,13,2,4,,-,0,,,,bat,Australia,2,Westpac Stadium,2021-03-05,New Zealand,Australia
21,TL Seifert,JA Richardson,MJ Guptill,0,0,0,13,5,14,3,4,,-,0,,,,bat,Australia,2,Westpac Stadium,2021-03-05,New Zealand,Australia
22,TL Seifert,JA Richardson,MJ Guptill,4,0,4,17,9,15,4,4,,-,0,,,,bat,Australia,2,Westpac Stadium,2021-03-05,New Zealand,Australia
23,TL Seifert,JA Richardson,MJ Guptill,4,0,4,21,13,16,5,4,,-,0,,,,bat,Australia,2,Westpac Stadium,2021-03-05,New Zealand,Australia
