,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,DP Conway,AC Agar,MJ Guptill,1,0,1,1,141,1,1,0,1,0,,-,0,,,bat,Australia,2,Sky Stadium,2021,03,Australia_New Zealand_2021-03-07,New Zealand,New Zealand,Australia,True,143
1,MJ Guptill,AC Agar,DP Conway,1,0,1,2,140,1,1,0,2,0,,-,0,,,bat,Australia,2,Sky Stadium,2021,03,Australia_New Zealand_2021-03-07,New Zealand,New Zealand,Australia,True,143
2,DP Conway,AC Agar,MJ Guptill,1,0,1,3,139,2,2,0,3,0,,-,0,,,bat,Australia,2,Sky Stadium,2021,03,Australia_New Zealand_2021-03-07,New Zealand,New Zealand,Australia,True,143
3,MJ Guptill,AC Agar,DP Conway,1,0,1,4,138,2,2,0,4,0,,-,0,,,bat,Australia,2,Sky Stadium,2021,03,Australia_New Zealand_2021-03-07,New Zealand,New Zealand,Australia,True,143
4,DP Conway,AC Agar,MJ Guptill,1,0,1,5,137,3,3,0,5,0,,-,0,,,bat,Australia,2,Sky Stadium,2021,03,Australia_New Zealand_2021-03-07,New Zealand,New Zealand,Australia,True,143
5,MJ Guptill,AC Agar,DP Conway,0,0,0,5,137,2,3,0,6,0,,-,0,,,bat,Australia,2,Sky Stadium,2021,03,Australia_New Zealand_2021-03-07,New Zealand,New Zealand,Australia,True,143
6,DP Conway,RP Meredith,MJ Guptill,1,0,1,6,136,4,4,0,1,1,,-,0,,,bat,Australia,2,Sky Stadium,2021,03,Australia_New Zealand_2021-03-07,New Zealand,New Zealand,Australia,True,143
7,MJ Guptill,RP Meredith,DP Conway,4,0,4,10,132,6,4,0,2,1,,-,0,,,bat,Australia,2,Sky Stadium,2021,03,Australia_New Zealand_2021-03-07,New Zealand,New Zealand,Australia,True,143
8,MJ Guptill,RP Meredith,DP Conway,0,0,0,10,132,6,5,0,3,1,,-,0,,,bat,Australia,2,Sky Stadium,2021,03,Australia_New Zealand_2021-03-07,New Zealand,New Zealand,Australia,True,143
9,MJ Guptill,RP Meredith,DP Conway,0,0,0,10,132,6,6,0,4,1,,-,0,,,bat,Australia,2,Sky Stadium,2021,03,Australia_New Zealand_2021-03-07,New Zealand,New Zealand,Australia,True,143
10,MJ Guptill,RP Meredith,DP Conway,2,0,2,12,130,8,7,0,5,1,,-,0,,,bat,Australia,2,Sky Stadium,2021,03,Australia_New Zealand_2021-03-07,New Zealand,New Zealand,Australia,True,143
11,MJ Guptill,RP Meredith,DP Conway,0,0,0,12,130,8,8,0,6,1,,-,0,,,bat,Australia,2,Sky Stadium,2021,03,Australia_New Zealand_2021-03-07,New Zealand,New Zealand,Australia,True,143
