,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Mohammad Naim,TG Southee,Soumya Sarkar,1,0,1,1,1,1,1,0,,,1,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
1,Soumya Sarkar,TG Southee,Mohammad Naim,4,0,4,5,4,1,2,0,,,1,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
2,Soumya Sarkar,TG Southee,Mohammad Naim,4,0,4,9,8,2,3,0,,,1,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
3,Soumya Sarkar,TG Southee,Mohammad Naim,2,0,2,11,10,3,4,0,,,1,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
4,Soumya Sarkar,TG Southee,Mohammad Naim,0,0,0,11,10,4,5,caught and bowled,Soumya Sarkar,,1,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
5,Liton Das,TG Southee,Mohammad Naim,0,0,0,11,0,1,6,bowled,Liton Das,,1,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
6,Mohammad Naim,AF Milne,Nazmul Hossain Shanto,6,0,6,17,7,2,1,0,,,2,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
7,Mohammad Naim,AF Milne,Nazmul Hossain Shanto,6,0,6,23,13,3,2,0,,,2,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
8,Mohammad Naim,AF Milne,Nazmul Hossain Shanto,0,0,0,23,13,4,3,0,,,2,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
9,Mohammad Naim,AF Milne,Nazmul Hossain Shanto,0,0,0,23,13,5,4,0,,,2,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
10,Mohammad Naim,AF Milne,Nazmul Hossain Shanto,0,0,0,23,13,6,5,0,,,2,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
11,Mohammad Naim,AF Milne,Nazmul Hossain Shanto,0,0,0,23,13,7,6,0,,,2,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
12,Nazmul Hossain Shanto,LH Ferguson,Mohammad Naim,1,0,1,24,1,1,1,0,,,3,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
13,Mohammad Naim,LH Ferguson,Nazmul Hossain Shanto,4,0,4,28,17,8,2,0,,,3,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
14,Mohammad Naim,LH Ferguson,Nazmul Hossain Shanto,1,0,1,29,18,9,3,0,,,3,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
15,Nazmul Hossain Shanto,LH Ferguson,Mohammad Naim,0,0,0,29,1,2,4,0,,,3,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
16,Nazmul Hossain Shanto,LH Ferguson,Mohammad Naim,1,0,1,30,2,3,5,0,,,3,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
17,Mohammad Naim,LH Ferguson,Nazmul Hossain Shanto,1,0,1,31,19,10,6,0,,,3,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
18,Mohammad Naim,TD Astle,Nazmul Hossain Shanto,0,0,0,31,19,11,1,0,,,4,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
19,Mohammad Naim,TD Astle,Nazmul Hossain Shanto,0,0,0,31,19,12,2,0,,,4,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
20,Mohammad Naim,TD Astle,Nazmul Hossain Shanto,0,0,0,31,19,13,3,caught,Mohammad Naim,MS Chapman,4,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
21,Nazmul Hossain Shanto,TD Astle,Afif Hossain,4,0,4,35,6,4,4,0,,,4,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
22,Nazmul Hossain Shanto,TD Astle,Afif Hossain,2,0,2,37,8,5,5,0,,,4,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
23,Nazmul Hossain Shanto,TD Astle,Afif Hossain,0,0,0,37,8,6,6,bowled,Nazmul Hossain Shanto,,4,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
24,Afif Hossain,GD Phillips,Mosaddek Hossain,1,0,1,38,1,1,1,0,,,5,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
25,Mosaddek Hossain,GD Phillips,Afif Hossain,1,0,1,39,1,1,2,0,,,5,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
26,Afif Hossain,GD Phillips,Mosaddek Hossain,0,0,0,39,1,2,3,0,,,5,-,field,Bangladesh,2,Eden Park,2021-04-01,Bangladesh,New Zealand
