,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,MJ Guptill,Nasum Ahmed,FH Allen,0,0,0,0,0,1,1,1,0,,,-,field,Bangladesh,1,Eden Park,2021-04-01,New Zealand,New Zealand,Bangladesh
1,MJ Guptill,Nasum Ahmed,FH Allen,2,0,2,2,2,2,2,1,0,,,-,field,Bangladesh,1,Eden Park,2021-04-01,New Zealand,New Zealand,Bangladesh
2,MJ Guptill,Nasum Ahmed,FH Allen,6,0,6,8,8,3,3,1,0,,,-,field,Bangladesh,1,Eden Park,2021-04-01,New Zealand,New Zealand,Bangladesh
3,MJ Guptill,Nasum Ahmed,FH Allen,0,0,0,8,8,4,4,1,0,,,-,field,Bangladesh,1,Eden Park,2021-04-01,New Zealand,New Zealand,Bangladesh
4,MJ Guptill,Nasum Ahmed,FH Allen,1,0,1,9,9,5,5,1,0,,,-,field,Bangladesh,1,Eden Park,2021-04-01,New Zealand,New Zealand,Bangladesh
5,FH Allen,Nasum Ahmed,MJ Guptill,0,0,0,9,0,1,6,1,0,,,-,field,Bangladesh,1,Eden Park,2021-04-01,New Zealand,New Zealand,Bangladesh
6,MJ Guptill,Taskin Ahmed,FH Allen,0,0,0,9,9,6,1,2,0,,,-,field,Bangladesh,1,Eden Park,2021-04-01,New Zealand,New Zealand,Bangladesh
7,MJ Guptill,Taskin Ahmed,FH Allen,6,0,6,15,15,7,2,2,0,,,-,field,Bangladesh,1,Eden Park,2021-04-01,New Zealand,New Zealand,Bangladesh
8,MJ Guptill,Taskin Ahmed,FH Allen,0,0,0,15,15,8,3,2,0,,,-,field,Bangladesh,1,Eden Park,2021-04-01,New Zealand,New Zealand,Bangladesh
9,MJ Guptill,Taskin Ahmed,FH Allen,6,0,6,21,21,9,4,2,0,,,-,field,Bangladesh,1,Eden Park,2021-04-01,New Zealand,New Zealand,Bangladesh
10,MJ Guptill,Taskin Ahmed,FH Allen,0,0,0,21,21,10,5,2,0,,,-,field,Bangladesh,1,Eden Park,2021-04-01,New Zealand,New Zealand,Bangladesh
11,MJ Guptill,Taskin Ahmed,FH Allen,2,0,2,23,23,11,6,2,0,,,-,field,Bangladesh,1,Eden Park,2021-04-01,New Zealand,New Zealand,Bangladesh
12,FH Allen,Nasum Ahmed,MJ Guptill,4,0,4,27,4,2,1,3,0,,,-,field,Bangladesh,1,Eden Park,2021-04-01,New Zealand,New Zealand,Bangladesh
13,FH Allen,Nasum Ahmed,MJ Guptill,4,0,4,31,8,3,2,3,0,,,-,field,Bangladesh,1,Eden Park,2021-04-01,New Zealand,New Zealand,Bangladesh
14,FH Allen,Nasum Ahmed,MJ Guptill,4,0,4,35,12,4,3,3,0,,,-,field,Bangladesh,1,Eden Park,2021-04-01,New Zealand,New Zealand,Bangladesh
15,FH Allen,Nasum Ahmed,MJ Guptill,6,0,6,41,18,5,4,3,0,,,-,field,Bangladesh,1,Eden Park,2021-04-01,New Zealand,New Zealand,Bangladesh
16,FH Allen,Nasum Ahmed,MJ Guptill,1,0,1,42,19,6,5,3,0,,,-,field,Bangladesh,1,Eden Park,2021-04-01,New Zealand,New Zealand,Bangladesh
17,MJ Guptill,Nasum Ahmed,FH Allen,1,0,1,43,24,12,6,3,0,,,-,field,Bangladesh,1,Eden Park,2021-04-01,New Zealand,New Zealand,Bangladesh
18,MJ Guptill,Shoriful Islam,FH Allen,1,0,1,44,25,13,1,4,0,,,-,field,Bangladesh,1,Eden Park,2021-04-01,New Zealand,New Zealand,Bangladesh
19,FH Allen,Shoriful Islam,MJ Guptill,0,0,0,44,19,7,2,4,0,,,-,field,Bangladesh,1,Eden Park,2021-04-01,New Zealand,New Zealand,Bangladesh
