,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,JJ Roy,GF Linde,JC Buttler,0,0,0,0,179,0,1,0,1,0,,,0,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
1,JJ Roy,GF Linde,JC Buttler,0,0,0,0,179,0,2,1,2,caught,JJ Roy,Q de Kock,0,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
2,DJ Malan,GF Linde,JC Buttler,0,0,0,0,179,0,1,1,3,0,,,0,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
3,DJ Malan,GF Linde,JC Buttler,0,0,0,0,179,0,2,1,4,0,,,0,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
4,DJ Malan,GF Linde,JC Buttler,1,0,1,1,178,1,3,1,5,0,,,0,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
5,JC Buttler,GF Linde,DJ Malan,0,0,0,1,178,0,1,1,6,0,,,0,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
6,DJ Malan,K Rabada,JC Buttler,0,0,0,1,178,1,4,1,1,0,,,1,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
7,DJ Malan,K Rabada,JC Buttler,0,0,0,1,178,1,5,1,2,0,,,1,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
8,DJ Malan,K Rabada,JC Buttler,0,0,0,1,178,1,6,1,3,0,,,1,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
9,DJ Malan,K Rabada,JC Buttler,1,0,1,2,177,2,7,1,4,0,,,1,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
10,JC Buttler,K Rabada,DJ Malan,1,0,1,3,176,1,2,1,5,0,,,1,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
11,DJ Malan,K Rabada,JC Buttler,0,0,0,3,176,2,8,1,6,0,,,1,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
12,JC Buttler,BE Hendricks,DJ Malan,1,0,1,4,175,2,3,1,1,0,,,2,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
13,DJ Malan,BE Hendricks,JC Buttler,0,0,0,4,175,2,9,1,2,0,,,2,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
14,DJ Malan,BE Hendricks,JC Buttler,0,1,1,5,174,2,10,1,3,0,,,2,wides,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
15,DJ Malan,BE Hendricks,JC Buttler,4,0,4,9,170,6,11,1,4,0,,,2,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
16,DJ Malan,BE Hendricks,JC Buttler,0,0,0,9,170,6,12,1,5,0,,,2,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
17,DJ Malan,BE Hendricks,JC Buttler,2,0,2,11,168,8,13,1,6,0,,,2,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
18,DJ Malan,BE Hendricks,JC Buttler,1,0,1,12,167,9,14,1,7,0,,,2,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
19,DJ Malan,K Rabada,JC Buttler,4,0,4,16,163,13,15,1,1,0,,,3,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
20,DJ Malan,K Rabada,JC Buttler,4,0,4,20,159,17,16,1,2,0,,,3,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
21,DJ Malan,K Rabada,JC Buttler,0,0,0,20,159,17,17,1,3,0,,,3,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
22,DJ Malan,K Rabada,JC Buttler,1,0,1,21,158,18,18,1,4,0,,,3,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
23,JC Buttler,K Rabada,DJ Malan,4,0,4,25,154,6,4,1,5,0,,,3,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
24,JC Buttler,K Rabada,DJ Malan,1,0,1,26,153,7,5,1,6,0,,,3,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
25,JC Buttler,L Ngidi,DJ Malan,0,1,1,27,152,7,6,1,1,0,,,4,wides,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
26,JC Buttler,L Ngidi,DJ Malan,0,0,0,27,152,7,7,2,2,caught,JC Buttler,H Klaasen,4,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
27,DJ Malan,L Ngidi,JM Bairstow,0,0,0,27,152,18,19,2,3,0,,,4,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
28,DJ Malan,L Ngidi,JM Bairstow,1,0,1,28,151,19,20,2,4,0,,,4,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
29,JM Bairstow,L Ngidi,DJ Malan,4,0,4,32,147,4,1,2,5,0,,,4,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
30,JM Bairstow,L Ngidi,DJ Malan,0,0,0,32,147,4,2,2,6,0,,,4,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
31,JM Bairstow,L Ngidi,DJ Malan,1,0,1,33,146,5,3,2,7,0,,,4,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
32,JM Bairstow,GF Linde,DJ Malan,0,0,0,33,146,5,4,2,1,0,,,5,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
33,JM Bairstow,GF Linde,DJ Malan,1,0,1,34,145,6,5,2,2,0,,,5,-,field,England,2,Newlands,2020,11,South Africa_England_2020-11-27,England,England,South Africa,183
