,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,JJ Roy,AR Patel,JC Buttler,0,0,0,0,124,0,1,0,-,1.0,0,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Left arm Orthodox
1,JJ Roy,AR Patel,JC Buttler,1,0,1,1,123,1,2,0,-,2.0,0,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Left arm Orthodox
2,JC Buttler,AR Patel,JJ Roy,0,0,0,1,123,0,1,0,-,3.0,0,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Left arm Orthodox
3,JC Buttler,AR Patel,JJ Roy,0,0,0,1,123,0,2,0,-,4.0,0,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Left arm Orthodox
4,JC Buttler,AR Patel,JJ Roy,0,0,0,1,123,0,3,0,-,5.0,0,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Left arm Orthodox
5,JC Buttler,AR Patel,JJ Roy,2,0,2,3,121,2,4,0,-,6.0,0,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Left arm Orthodox
6,JJ Roy,B Kumar,JC Buttler,2,0,2,5,119,3,3,0,-,1.0,1,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Medium
7,JJ Roy,B Kumar,JC Buttler,0,0,0,5,119,3,4,0,-,2.0,1,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Medium
8,JJ Roy,B Kumar,JC Buttler,4,0,4,9,115,7,5,0,-,3.0,1,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Medium
9,JJ Roy,B Kumar,JC Buttler,0,0,0,9,115,7,6,0,-,4.0,1,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Medium
10,JJ Roy,B Kumar,JC Buttler,1,0,1,10,114,8,7,0,-,5.0,1,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Medium
11,JC Buttler,B Kumar,JJ Roy,0,0,0,10,114,2,5,0,-,6.0,1,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Medium
12,JJ Roy,YS Chahal,JC Buttler,6,0,6,16,108,14,8,0,-,1.0,2,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Legbreak
13,JJ Roy,YS Chahal,JC Buttler,0,0,0,16,108,14,9,0,-,2.0,2,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Legbreak
14,JJ Roy,YS Chahal,JC Buttler,0,0,0,16,108,14,10,0,-,3.0,2,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Legbreak
15,JJ Roy,YS Chahal,JC Buttler,4,0,4,20,104,18,11,0,-,4.0,2,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Legbreak
16,JJ Roy,YS Chahal,JC Buttler,0,0,0,20,104,18,12,0,-,5.0,2,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Legbreak
17,JJ Roy,YS Chahal,JC Buttler,1,0,1,21,103,19,13,0,-,6.0,2,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Legbreak
18,JJ Roy,SN Thakur,JC Buttler,1,0,1,22,102,20,14,0,-,1.0,3,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Medium
19,JC Buttler,SN Thakur,JJ Roy,2,0,2,24,100,4,6,0,-,2.0,3,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Medium
20,JC Buttler,SN Thakur,JJ Roy,0,0,0,24,100,4,7,0,-,3.0,3,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Medium
21,JC Buttler,SN Thakur,JJ Roy,0,0,0,24,100,4,8,0,-,4.0,3,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Medium
22,JC Buttler,SN Thakur,JJ Roy,1,0,1,25,99,5,9,0,-,5.0,3,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Medium
23,JJ Roy,SN Thakur,JC Buttler,4,0,4,29,95,24,15,0,-,6.0,3,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Medium
24,JC Buttler,AR Patel,JJ Roy,2,0,2,31,93,7,10,0,-,1.0,4,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Left arm Orthodox
25,JC Buttler,AR Patel,JJ Roy,0,0,0,31,93,7,11,0,-,2.0,4,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Left arm Orthodox
26,JC Buttler,AR Patel,JJ Roy,0,0,0,31,93,7,12,0,-,3.0,4,"{'by': 'India', 'batter': 'JC Buttler', 'decision': 'struck down', 'umpire': 'KN Ananthapadmanabhan', 'umpires_call': True}",0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Left arm Orthodox
27,JC Buttler,AR Patel,JJ Roy,4,0,4,35,89,11,13,0,-,4.0,4,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Left arm Orthodox
28,JC Buttler,AR Patel,JJ Roy,6,0,6,41,83,17,14,0,-,5.0,4,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Left arm Orthodox
29,JC Buttler,AR Patel,JJ Roy,1,0,1,42,82,18,15,0,-,6.0,4,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Left arm Orthodox
30,JC Buttler,B Kumar,JJ Roy,0,0,0,42,82,18,16,0,-,1.0,5,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Medium
31,JC Buttler,B Kumar,JJ Roy,2,0,2,44,80,20,17,0,-,2.0,5,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Medium
32,JC Buttler,B Kumar,JJ Roy,2,0,2,46,78,22,18,0,-,3.0,5,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Medium
33,JC Buttler,B Kumar,JJ Roy,0,0,0,46,78,22,19,0,-,4.0,5,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Medium
34,JC Buttler,B Kumar,JJ Roy,0,0,0,46,78,22,20,0,-,5.0,5,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Medium
35,JC Buttler,B Kumar,JJ Roy,4,0,4,50,74,26,21,0,-,6.0,5,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Medium
36,JJ Roy,AR Patel,JC Buttler,0,0,0,50,74,24,16,0,-,1.0,6,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Left arm Orthodox
37,JJ Roy,AR Patel,JC Buttler,6,0,6,56,68,30,17,0,-,2.0,6,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Left arm Orthodox
38,JJ Roy,AR Patel,JC Buttler,1,0,1,57,67,31,18,0,-,3.0,6,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Left arm Orthodox
39,JC Buttler,AR Patel,JJ Roy,1,0,1,58,66,27,22,0,-,4.0,6,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Left arm Orthodox
40,JJ Roy,AR Patel,JC Buttler,0,0,0,58,66,31,19,0,-,5.0,6,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Left arm Orthodox
41,JJ Roy,AR Patel,JC Buttler,0,0,0,58,66,31,20,0,-,6.0,6,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Left arm Orthodox
42,JC Buttler,YS Chahal,JJ Roy,1,0,1,59,65,28,23,0,-,1.0,7,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Legbreak
43,JJ Roy,YS Chahal,JC Buttler,4,0,4,63,61,35,21,0,-,2.0,7,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Legbreak
44,JJ Roy,YS Chahal,JC Buttler,6,0,6,69,55,41,22,0,-,3.0,7,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Legbreak
45,JJ Roy,YS Chahal,JC Buttler,2,0,2,71,53,43,23,0,-,4.0,7,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Legbreak
46,JJ Roy,YS Chahal,JC Buttler,1,0,1,72,52,44,24,0,-,5.0,7,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Legbreak
47,JC Buttler,YS Chahal,JJ Roy,0,0,0,72,52,28,24,1,-,6.0,7,,lbw,JC Buttler,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Right hand Bat,Right arm Legbreak
48,JJ Roy,HH Pandya,DJ Malan,1,0,1,73,51,45,25,1,-,1.0,8,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Left hand Bat,Right arm Medium
49,DJ Malan,HH Pandya,JJ Roy,0,0,0,73,51,0,1,1,-,2.0,8,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Left hand Bat,Right hand Bat,Right arm Medium
50,DJ Malan,HH Pandya,JJ Roy,0,0,0,73,51,0,2,1,-,3.0,8,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Left hand Bat,Right hand Bat,Right arm Medium
51,DJ Malan,HH Pandya,JJ Roy,4,0,4,77,47,4,3,1,-,4.0,8,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Left hand Bat,Right hand Bat,Right arm Medium
52,DJ Malan,HH Pandya,JJ Roy,0,0,0,77,47,4,4,1,-,5.0,8,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Left hand Bat,Right hand Bat,Right arm Medium
53,DJ Malan,HH Pandya,JJ Roy,0,0,0,77,47,4,5,1,-,6.0,8,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Left hand Bat,Right hand Bat,Right arm Medium
54,JJ Roy,YS Chahal,DJ Malan,1,0,1,78,46,46,26,1,-,1.0,9,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Left hand Bat,Right arm Legbreak
55,DJ Malan,YS Chahal,JJ Roy,0,0,0,78,46,4,6,1,-,2.0,9,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Left hand Bat,Right hand Bat,Right arm Legbreak
56,DJ Malan,YS Chahal,JJ Roy,1,0,1,79,45,5,7,1,-,3.0,9,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Left hand Bat,Right hand Bat,Right arm Legbreak
57,JJ Roy,YS Chahal,DJ Malan,1,0,1,80,44,47,27,1,-,4.0,9,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Left hand Bat,Right arm Legbreak
58,DJ Malan,YS Chahal,JJ Roy,1,0,1,81,43,6,8,1,-,5.0,9,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Left hand Bat,Right hand Bat,Right arm Legbreak
59,JJ Roy,YS Chahal,DJ Malan,0,0,0,81,43,47,28,1,-,6.0,9,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Left hand Bat,Right arm Legbreak
60,DJ Malan,HH Pandya,JJ Roy,1,0,1,82,42,7,9,1,-,1.0,10,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Left hand Bat,Right hand Bat,Right arm Medium
61,JJ Roy,HH Pandya,DJ Malan,1,0,1,83,41,48,29,1,-,2.0,10,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Left hand Bat,Right arm Medium
62,DJ Malan,HH Pandya,JJ Roy,4,0,4,87,37,11,10,1,-,3.0,10,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Left hand Bat,Right hand Bat,Right arm Medium
63,DJ Malan,HH Pandya,JJ Roy,1,0,1,88,36,12,11,1,-,4.0,10,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Left hand Bat,Right hand Bat,Right arm Medium
64,JJ Roy,HH Pandya,DJ Malan,0,0,0,88,36,48,30,1,-,5.0,10,,0,,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-12,England,England,India,True,130,Right hand Bat,Left hand Bat,Right arm Medium
