,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,RG Sharma,AU Rashid,KL Rahul,6,0,6,6,,6,1,0,1,0,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
1,RG Sharma,AU Rashid,KL Rahul,0,0,0,6,,6,2,0,2,0,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
2,RG Sharma,AU Rashid,KL Rahul,4,0,4,10,,10,3,0,3,0,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
3,RG Sharma,AU Rashid,KL Rahul,0,0,0,10,,10,4,0,4,0,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
4,RG Sharma,AU Rashid,KL Rahul,1,0,1,11,,11,5,0,5,0,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
5,KL Rahul,AU Rashid,RG Sharma,1,0,1,12,,1,1,0,6,0,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
6,KL Rahul,JC Archer,RG Sharma,0,0,0,12,,1,2,0,1,1,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
7,KL Rahul,JC Archer,RG Sharma,0,0,0,12,,1,3,0,2,1,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
8,KL Rahul,JC Archer,RG Sharma,1,0,1,13,,2,4,0,3,1,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
9,RG Sharma,JC Archer,KL Rahul,0,1,1,14,,11,6,0,4,1,legbyes,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
10,KL Rahul,JC Archer,RG Sharma,0,0,0,14,,2,5,0,5,1,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
11,KL Rahul,JC Archer,RG Sharma,4,0,4,18,,6,6,0,6,1,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
12,RG Sharma,MA Wood,KL Rahul,0,0,0,18,,11,7,0,1,2,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
13,RG Sharma,MA Wood,KL Rahul,0,0,0,18,,11,8,0,2,2,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
14,RG Sharma,MA Wood,KL Rahul,0,1,1,19,,11,9,0,3,2,legbyes,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
15,KL Rahul,MA Wood,RG Sharma,0,0,0,19,,6,7,0,4,2,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
16,KL Rahul,MA Wood,RG Sharma,0,0,0,19,,6,8,0,5,2,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
17,KL Rahul,MA Wood,RG Sharma,0,0,0,19,,6,9,0,6,2,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
18,RG Sharma,JC Archer,KL Rahul,0,0,0,19,,11,10,0,1,3,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
19,RG Sharma,JC Archer,KL Rahul,1,0,1,20,,12,11,0,2,3,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
20,KL Rahul,JC Archer,RG Sharma,1,0,1,21,,7,10,0,3,3,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
21,RG Sharma,JC Archer,KL Rahul,0,0,0,21,,12,12,1,4,3,-,caught and bowled,RG Sharma,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
22,SA Yadav,JC Archer,KL Rahul,6,0,6,27,,6,1,1,5,3,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
23,SA Yadav,JC Archer,KL Rahul,0,0,0,27,,6,2,1,6,3,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
24,KL Rahul,MA Wood,SA Yadav,0,1,1,28,,7,11,1,1,4,legbyes,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
25,SA Yadav,MA Wood,KL Rahul,0,0,0,28,,6,3,1,2,4,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
26,SA Yadav,MA Wood,KL Rahul,4,0,4,32,,10,4,1,3,4,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
27,SA Yadav,MA Wood,KL Rahul,0,1,1,33,,10,5,1,4,4,wides,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
28,SA Yadav,MA Wood,KL Rahul,0,0,0,33,,10,6,1,5,4,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
29,SA Yadav,MA Wood,KL Rahul,0,0,0,33,,10,7,1,6,4,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
30,SA Yadav,MA Wood,KL Rahul,1,0,1,34,,11,8,1,7,4,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
31,SA Yadav,CJ Jordan,KL Rahul,1,0,1,35,,12,9,1,1,5,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
32,KL Rahul,CJ Jordan,SA Yadav,0,1,1,36,,7,12,1,2,5,wides,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
33,KL Rahul,CJ Jordan,SA Yadav,4,0,4,40,,11,13,1,3,5,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
34,KL Rahul,CJ Jordan,SA Yadav,1,0,1,41,,12,14,1,4,5,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
35,SA Yadav,CJ Jordan,KL Rahul,4,0,4,45,,16,10,1,5,5,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
36,SA Yadav,CJ Jordan,KL Rahul,0,0,0,45,,16,11,1,6,5,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
37,SA Yadav,CJ Jordan,KL Rahul,0,0,0,45,,16,12,1,7,5,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
38,KL Rahul,AU Rashid,SA Yadav,1,0,1,46,,13,15,1,1,6,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
39,SA Yadav,AU Rashid,KL Rahul,1,0,1,47,,17,13,1,2,6,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
40,KL Rahul,AU Rashid,SA Yadav,1,0,1,48,,14,16,1,3,6,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
41,SA Yadav,AU Rashid,KL Rahul,4,0,4,52,,21,14,1,4,6,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
42,SA Yadav,AU Rashid,KL Rahul,6,0,6,58,,27,15,1,5,6,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
43,SA Yadav,AU Rashid,KL Rahul,1,0,1,59,,28,16,1,6,6,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
44,SA Yadav,BA Stokes,KL Rahul,0,1,1,60,,28,17,1,1,7,wides,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
45,SA Yadav,BA Stokes,KL Rahul,2,0,2,62,,30,18,1,2,7,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
46,SA Yadav,BA Stokes,KL Rahul,1,0,1,63,,31,19,1,3,7,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
47,KL Rahul,BA Stokes,SA Yadav,0,0,0,63,,14,17,1,4,7,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
48,KL Rahul,BA Stokes,SA Yadav,0,0,0,63,,14,18,2,5,7,-,caught,KL Rahul,JC Archer,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
49,V Kohli,BA Stokes,SA Yadav,1,0,1,64,,1,1,2,6,7,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
50,SA Yadav,BA Stokes,V Kohli,4,0,4,68,,35,20,2,7,7,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
51,V Kohli,AU Rashid,SA Yadav,0,0,0,68,,1,2,2,1,8,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
52,V Kohli,AU Rashid,SA Yadav,0,2,2,70,,1,3,2,2,8,legbyes,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
53,V Kohli,AU Rashid,SA Yadav,0,0,0,70,,1,4,2,3,8,-,0,,,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
54,V Kohli,AU Rashid,SA Yadav,0,0,0,70,,1,5,3,4,8,-,stumped,V Kohli,JC Buttler,field,England,1,Narendra Modi Stadium,2021,03,India_England_2021-03-18,India,India,England,True,185
