,batter,bowler,non_striker,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,RG Sharma,AU Rashid,V Kohli,,0,0,0,0,0,1,1,-,1,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
1,RG Sharma,AU Rashid,V Kohli,,1,0,1,1,1,2,2,-,1,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
2,V Kohli,AU Rashid,RG Sharma,{'legbyes': 1},0,1,1,2,0,1,3,legbyes,1,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
3,RG Sharma,AU Rashid,V Kohli,,0,0,0,2,1,3,4,-,1,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
4,RG Sharma,AU Rashid,V Kohli,,1,0,1,3,2,4,5,-,1,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
5,V Kohli,AU Rashid,RG Sharma,,0,0,0,3,0,2,6,-,1,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
6,RG Sharma,JC Archer,V Kohli,,0,0,0,3,2,5,1,-,2,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
7,RG Sharma,JC Archer,V Kohli,,1,0,1,4,3,6,2,-,2,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
8,V Kohli,JC Archer,RG Sharma,,4,0,4,8,4,3,3,-,2,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
9,V Kohli,JC Archer,RG Sharma,,0,0,0,8,4,4,4,-,2,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
10,V Kohli,JC Archer,RG Sharma,,1,0,1,9,5,5,5,-,2,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
11,RG Sharma,JC Archer,V Kohli,,4,0,4,13,7,7,6,-,2,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
12,V Kohli,AU Rashid,RG Sharma,,0,0,0,13,5,6,1,-,3,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
13,V Kohli,AU Rashid,RG Sharma,,1,0,1,14,6,7,2,-,3,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
14,RG Sharma,AU Rashid,V Kohli,,0,0,0,14,7,8,3,-,3,"{'by': 'England', 'umpire': 'AK Chaudhary', 'batter': 'RG Sharma', 'decision': 'struck down'}",0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
15,RG Sharma,AU Rashid,V Kohli,,1,0,1,15,8,9,4,-,3,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
16,V Kohli,AU Rashid,RG Sharma,,1,0,1,16,7,8,5,-,3,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
17,RG Sharma,AU Rashid,V Kohli,,6,0,6,22,14,10,6,-,3,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
18,V Kohli,MA Wood,RG Sharma,,1,0,1,23,8,9,1,-,4,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
19,RG Sharma,MA Wood,V Kohli,,4,0,4,27,18,11,2,-,4,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
20,RG Sharma,MA Wood,V Kohli,,2,0,2,29,20,12,3,-,4,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
21,RG Sharma,MA Wood,V Kohli,,0,0,0,29,20,13,4,-,4,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
22,RG Sharma,MA Wood,V Kohli,,4,0,4,33,24,14,5,-,4,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
23,RG Sharma,MA Wood,V Kohli,,2,0,2,35,26,15,6,-,4,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
24,V Kohli,JC Archer,RG Sharma,,1,0,1,36,9,10,1,-,5,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
25,RG Sharma,JC Archer,V Kohli,,1,0,1,37,27,16,2,-,5,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
26,V Kohli,JC Archer,RG Sharma,,0,0,0,37,9,11,3,-,5,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
27,V Kohli,JC Archer,RG Sharma,{'wides': 5},0,5,5,42,9,12,4,wides,5,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
28,V Kohli,JC Archer,RG Sharma,,1,0,1,43,10,13,5,-,5,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
29,RG Sharma,JC Archer,V Kohli,,1,0,1,44,28,17,6,-,5,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
30,V Kohli,JC Archer,RG Sharma,,0,0,0,44,10,14,7,-,5,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
31,RG Sharma,MA Wood,V Kohli,{'legbyes': 1},0,1,1,45,28,18,1,legbyes,6,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
32,V Kohli,MA Wood,RG Sharma,,6,0,6,51,16,15,2,-,6,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
33,V Kohli,MA Wood,RG Sharma,{'wides': 1},0,1,1,52,16,16,3,wides,6,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
34,V Kohli,MA Wood,RG Sharma,,1,0,1,53,17,17,4,-,6,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
35,RG Sharma,MA Wood,V Kohli,,6,0,6,59,34,19,5,-,6,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
36,RG Sharma,MA Wood,V Kohli,,0,0,0,59,34,20,6,-,6,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
37,RG Sharma,MA Wood,V Kohli,,1,0,1,60,35,21,7,-,6,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
38,RG Sharma,CJ Jordan,V Kohli,,2,0,2,62,37,22,1,-,7,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
39,RG Sharma,CJ Jordan,V Kohli,,0,0,0,62,37,23,2,-,7,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
40,RG Sharma,CJ Jordan,V Kohli,,0,0,0,62,37,24,3,-,7,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
41,RG Sharma,CJ Jordan,V Kohli,,1,0,1,63,38,25,4,-,7,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
42,V Kohli,CJ Jordan,RG Sharma,,1,0,1,64,18,18,5,-,7,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
43,RG Sharma,CJ Jordan,V Kohli,,6,0,6,70,44,26,6,-,7,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
44,V Kohli,SM Curran,RG Sharma,,1,0,1,71,19,19,1,-,8,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
45,RG Sharma,SM Curran,V Kohli,,0,0,0,71,44,27,2,-,8,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
46,RG Sharma,SM Curran,V Kohli,,1,0,1,72,45,28,3,-,8,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
47,V Kohli,SM Curran,RG Sharma,,1,0,1,73,20,20,4,-,8,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
48,RG Sharma,SM Curran,V Kohli,,2,0,2,75,47,29,5,-,8,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
49,RG Sharma,SM Curran,V Kohli,,6,0,6,81,53,30,6,-,8,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
50,V Kohli,BA Stokes,RG Sharma,,1,0,1,82,21,21,1,-,9,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
51,RG Sharma,BA Stokes,V Kohli,,6,0,6,88,59,31,2,-,9,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
52,RG Sharma,BA Stokes,V Kohli,,4,0,4,92,63,32,3,-,9,,0,,,field,England,1,Narendra Modi Stadium,2021-03-20,India,England
