,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,JM Bairstow,PVD Chameera,DJ Malan,0,0,0,0,,0,1,0,1,0,-,0,,,field,Sri Lanka,1,"The Rose Bowl, Southampton",2021,06,England_Sri Lanka_2021-06-26,England,England,Sri Lanka,True,180
1,JM Bairstow,PVD Chameera,DJ Malan,1,0,1,1,,1,2,0,2,0,-,0,,,field,Sri Lanka,1,"The Rose Bowl, Southampton",2021,06,England_Sri Lanka_2021-06-26,England,England,Sri Lanka,True,180
2,DJ Malan,PVD Chameera,JM Bairstow,1,0,1,2,,1,1,0,3,0,-,0,,,field,Sri Lanka,1,"The Rose Bowl, Southampton",2021,06,England_Sri Lanka_2021-06-26,England,England,Sri Lanka,True,180
3,JM Bairstow,PVD Chameera,DJ Malan,0,0,0,2,,1,3,0,4,0,-,0,,,field,Sri Lanka,1,"The Rose Bowl, Southampton",2021,06,England_Sri Lanka_2021-06-26,England,England,Sri Lanka,True,180
4,JM Bairstow,PVD Chameera,DJ Malan,0,0,0,2,,1,4,0,5,0,-,0,,,field,Sri Lanka,1,"The Rose Bowl, Southampton",2021,06,England_Sri Lanka_2021-06-26,England,England,Sri Lanka,True,180
5,JM Bairstow,PVD Chameera,DJ Malan,1,0,1,3,,2,5,0,6,0,-,0,,,field,Sri Lanka,1,"The Rose Bowl, Southampton",2021,06,England_Sri Lanka_2021-06-26,England,England,Sri Lanka,True,180
6,JM Bairstow,B Fernando,DJ Malan,0,0,0,3,,2,6,0,1,1,-,0,,,field,Sri Lanka,1,"The Rose Bowl, Southampton",2021,06,England_Sri Lanka_2021-06-26,England,England,Sri Lanka,True,180
7,JM Bairstow,B Fernando,DJ Malan,0,0,0,3,,2,7,0,2,1,-,0,,,field,Sri Lanka,1,"The Rose Bowl, Southampton",2021,06,England_Sri Lanka_2021-06-26,England,England,Sri Lanka,True,180
8,JM Bairstow,B Fernando,DJ Malan,2,0,2,5,,4,8,0,3,1,-,0,,,field,Sri Lanka,1,"The Rose Bowl, Southampton",2021,06,England_Sri Lanka_2021-06-26,England,England,Sri Lanka,True,180
9,JM Bairstow,B Fernando,DJ Malan,1,0,1,6,,5,9,0,4,1,-,0,,,field,Sri Lanka,1,"The Rose Bowl, Southampton",2021,06,England_Sri Lanka_2021-06-26,England,England,Sri Lanka,True,180
10,DJ Malan,B Fernando,JM Bairstow,0,0,0,6,,1,2,0,5,1,-,0,,,field,Sri Lanka,1,"The Rose Bowl, Southampton",2021,06,England_Sri Lanka_2021-06-26,England,England,Sri Lanka,True,180
11,DJ Malan,B Fernando,JM Bairstow,0,0,0,6,,1,3,0,6,1,-,0,,,field,Sri Lanka,1,"The Rose Bowl, Southampton",2021,06,England_Sri Lanka_2021-06-26,England,England,Sri Lanka,True,180
12,JM Bairstow,PVD Chameera,DJ Malan,4,0,4,10,,9,10,0,1,2,-,0,,,field,Sri Lanka,1,"The Rose Bowl, Southampton",2021,06,England_Sri Lanka_2021-06-26,England,England,Sri Lanka,True,180
13,JM Bairstow,PVD Chameera,DJ Malan,1,0,1,11,,10,11,0,2,2,-,0,,,field,Sri Lanka,1,"The Rose Bowl, Southampton",2021,06,England_Sri Lanka_2021-06-26,England,England,Sri Lanka,True,180
14,DJ Malan,PVD Chameera,JM Bairstow,1,0,1,12,,2,4,0,3,2,-,0,,,field,Sri Lanka,1,"The Rose Bowl, Southampton",2021,06,England_Sri Lanka_2021-06-26,England,England,Sri Lanka,True,180
15,JM Bairstow,PVD Chameera,DJ Malan,0,0,0,12,,10,12,0,4,2,-,0,,,field,Sri Lanka,1,"The Rose Bowl, Southampton",2021,06,England_Sri Lanka_2021-06-26,England,England,Sri Lanka,True,180
16,JM Bairstow,PVD Chameera,DJ Malan,1,0,1,13,,11,13,0,5,2,-,0,,,field,Sri Lanka,1,"The Rose Bowl, Southampton",2021,06,England_Sri Lanka_2021-06-26,England,England,Sri Lanka,True,180
17,DJ Malan,PVD Chameera,JM Bairstow,1,0,1,14,,3,5,0,6,2,-,0,,,field,Sri Lanka,1,"The Rose Bowl, Southampton",2021,06,England_Sri Lanka_2021-06-26,England,England,Sri Lanka,True,180
18,DJ Malan,B Fernando,JM Bairstow,6,0,6,20,,9,6,0,1,3,-,0,,,field,Sri Lanka,1,"The Rose Bowl, Southampton",2021,06,England_Sri Lanka_2021-06-26,England,England,Sri Lanka,True,180
19,DJ Malan,B Fernando,JM Bairstow,1,0,1,21,,10,7,0,2,3,-,0,,,field,Sri Lanka,1,"The Rose Bowl, Southampton",2021,06,England_Sri Lanka_2021-06-26,England,England,Sri Lanka,True,180
20,JM Bairstow,B Fernando,DJ Malan,1,0,1,22,,12,14,0,3,3,-,0,,,field,Sri Lanka,1,"The Rose Bowl, Southampton",2021,06,England_Sri Lanka_2021-06-26,England,England,Sri Lanka,True,180
