,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,T Bavuma,PR Stirling,Q de Kock,0,0,0,0,144,0,1,0,1,1,0,,,-,field,Ireland,1,"The Village, Malahide, Dublin",2021,07,South Africa_Ireland_2021-07-19,South Africa,South Africa,Ireland
1,T Bavuma,PR Stirling,Q de Kock,4,0,4,4,140,4,2,0,2,1,0,,,-,field,Ireland,1,"The Village, Malahide, Dublin",2021,07,South Africa_Ireland_2021-07-19,South Africa,South Africa,Ireland
2,T Bavuma,PR Stirling,Q de Kock,1,0,1,5,139,5,3,0,3,1,0,,,-,field,Ireland,1,"The Village, Malahide, Dublin",2021,07,South Africa_Ireland_2021-07-19,South Africa,South Africa,Ireland
3,Q de Kock,PR Stirling,T Bavuma,1,0,1,6,138,1,1,0,4,1,0,,,-,field,Ireland,1,"The Village, Malahide, Dublin",2021,07,South Africa_Ireland_2021-07-19,South Africa,South Africa,Ireland
4,T Bavuma,PR Stirling,Q de Kock,4,0,4,10,134,9,4,0,5,1,0,,,-,field,Ireland,1,"The Village, Malahide, Dublin",2021,07,South Africa_Ireland_2021-07-19,South Africa,South Africa,Ireland
5,T Bavuma,PR Stirling,Q de Kock,1,0,1,11,133,10,5,0,6,1,0,,,-,field,Ireland,1,"The Village, Malahide, Dublin",2021,07,South Africa_Ireland_2021-07-19,South Africa,South Africa,Ireland
6,T Bavuma,BJ McCarthy,Q de Kock,0,0,0,11,133,10,6,0,1,2,0,,,-,field,Ireland,1,"The Village, Malahide, Dublin",2021,07,South Africa_Ireland_2021-07-19,South Africa,South Africa,Ireland
7,T Bavuma,BJ McCarthy,Q de Kock,1,0,1,12,132,11,7,0,2,2,0,,,-,field,Ireland,1,"The Village, Malahide, Dublin",2021,07,South Africa_Ireland_2021-07-19,South Africa,South Africa,Ireland
8,Q de Kock,BJ McCarthy,T Bavuma,4,0,4,16,128,5,2,0,3,2,0,,,-,field,Ireland,1,"The Village, Malahide, Dublin",2021,07,South Africa_Ireland_2021-07-19,South Africa,South Africa,Ireland
9,Q de Kock,BJ McCarthy,T Bavuma,0,0,0,16,128,5,3,0,4,2,0,,,-,field,Ireland,1,"The Village, Malahide, Dublin",2021,07,South Africa_Ireland_2021-07-19,South Africa,South Africa,Ireland
10,Q de Kock,BJ McCarthy,T Bavuma,6,0,6,22,122,11,4,0,5,2,0,,,-,field,Ireland,1,"The Village, Malahide, Dublin",2021,07,South Africa_Ireland_2021-07-19,South Africa,South Africa,Ireland
11,Q de Kock,BJ McCarthy,T Bavuma,1,0,1,23,121,12,5,0,6,2,0,,,-,field,Ireland,1,"The Village, Malahide, Dublin",2021,07,South Africa_Ireland_2021-07-19,South Africa,South Africa,Ireland
12,Q de Kock,MR Adair,T Bavuma,4,0,4,27,117,16,6,0,1,3,0,,,-,field,Ireland,1,"The Village, Malahide, Dublin",2021,07,South Africa_Ireland_2021-07-19,South Africa,South Africa,Ireland
13,Q de Kock,MR Adair,T Bavuma,4,0,4,31,113,20,7,0,2,3,0,,,-,field,Ireland,1,"The Village, Malahide, Dublin",2021,07,South Africa_Ireland_2021-07-19,South Africa,South Africa,Ireland
14,Q de Kock,MR Adair,T Bavuma,0,0,0,31,113,20,8,0,3,3,0,,,-,field,Ireland,1,"The Village, Malahide, Dublin",2021,07,South Africa_Ireland_2021-07-19,South Africa,South Africa,Ireland
15,Q de Kock,MR Adair,T Bavuma,0,0,0,31,113,20,9,1,4,3,caught,Q de Kock,PR Stirling,-,field,Ireland,1,"The Village, Malahide, Dublin",2021,07,South Africa_Ireland_2021-07-19,South Africa,South Africa,Ireland
16,JN Malan,MR Adair,T Bavuma,1,0,1,32,112,1,1,1,5,3,0,,,-,field,Ireland,1,"The Village, Malahide, Dublin",2021,07,South Africa_Ireland_2021-07-19,South Africa,South Africa,Ireland
