,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,T Bavuma,PR Stirling,Q de Kock,0,0,0,0,165,0,1,0,1,0,,,1,-,bat,South Africa,1,"Civil Service Cricket Club, Stormont, Belfast",2021,07,South Africa_Ireland_2021-07-22,South Africa,South Africa,Ireland
1,T Bavuma,PR Stirling,Q de Kock,0,0,0,0,165,0,2,1,2,caught,T Bavuma,J Little,1,-,bat,South Africa,1,"Civil Service Cricket Club, Stormont, Belfast",2021,07,South Africa_Ireland_2021-07-22,South Africa,South Africa,Ireland
2,JN Malan,PR Stirling,Q de Kock,0,0,0,0,165,0,1,1,3,0,,,1,-,bat,South Africa,1,"Civil Service Cricket Club, Stormont, Belfast",2021,07,South Africa_Ireland_2021-07-22,South Africa,South Africa,Ireland
3,JN Malan,PR Stirling,Q de Kock,0,0,0,0,165,0,2,2,4,caught,JN Malan,J Little,1,-,bat,South Africa,1,"Civil Service Cricket Club, Stormont, Belfast",2021,07,South Africa_Ireland_2021-07-22,South Africa,South Africa,Ireland
4,AK Markram,PR Stirling,Q de Kock,1,0,1,1,164,1,1,2,5,0,,,1,-,bat,South Africa,1,"Civil Service Cricket Club, Stormont, Belfast",2021,07,South Africa_Ireland_2021-07-22,South Africa,South Africa,Ireland
5,Q de Kock,PR Stirling,AK Markram,1,0,1,2,163,1,1,2,6,0,,,1,-,bat,South Africa,1,"Civil Service Cricket Club, Stormont, Belfast",2021,07,South Africa_Ireland_2021-07-22,South Africa,South Africa,Ireland
6,Q de Kock,CA Young,AK Markram,0,1,1,3,162,1,2,2,1,0,,,2,wides,bat,South Africa,1,"Civil Service Cricket Club, Stormont, Belfast",2021,07,South Africa_Ireland_2021-07-22,South Africa,South Africa,Ireland
7,Q de Kock,CA Young,AK Markram,1,0,1,4,161,2,3,2,2,0,,,2,-,bat,South Africa,1,"Civil Service Cricket Club, Stormont, Belfast",2021,07,South Africa_Ireland_2021-07-22,South Africa,South Africa,Ireland
8,AK Markram,CA Young,Q de Kock,0,1,1,5,160,1,2,2,3,0,,,2,legbyes,bat,South Africa,1,"Civil Service Cricket Club, Stormont, Belfast",2021,07,South Africa_Ireland_2021-07-22,South Africa,South Africa,Ireland
9,Q de Kock,CA Young,AK Markram,0,0,0,5,160,2,4,2,4,0,,,2,-,bat,South Africa,1,"Civil Service Cricket Club, Stormont, Belfast",2021,07,South Africa_Ireland_2021-07-22,South Africa,South Africa,Ireland
10,Q de Kock,CA Young,AK Markram,4,0,4,9,156,6,5,2,5,0,,,2,-,bat,South Africa,1,"Civil Service Cricket Club, Stormont, Belfast",2021,07,South Africa_Ireland_2021-07-22,South Africa,South Africa,Ireland
11,Q de Kock,CA Young,AK Markram,4,0,4,13,152,10,6,2,6,0,,,2,-,bat,South Africa,1,"Civil Service Cricket Club, Stormont, Belfast",2021,07,South Africa_Ireland_2021-07-22,South Africa,South Africa,Ireland
12,Q de Kock,CA Young,AK Markram,1,0,1,14,151,11,7,2,7,0,,,2,-,bat,South Africa,1,"Civil Service Cricket Club, Stormont, Belfast",2021,07,South Africa_Ireland_2021-07-22,South Africa,South Africa,Ireland
13,Q de Kock,PR Stirling,AK Markram,2,0,2,16,149,13,8,2,1,0,,,3,-,bat,South Africa,1,"Civil Service Cricket Club, Stormont, Belfast",2021,07,South Africa_Ireland_2021-07-22,South Africa,South Africa,Ireland
14,Q de Kock,PR Stirling,AK Markram,1,0,1,17,148,14,9,2,2,0,,,3,-,bat,South Africa,1,"Civil Service Cricket Club, Stormont, Belfast",2021,07,South Africa_Ireland_2021-07-22,South Africa,South Africa,Ireland
15,AK Markram,PR Stirling,Q de Kock,1,0,1,18,147,2,3,2,3,0,,,3,-,bat,South Africa,1,"Civil Service Cricket Club, Stormont, Belfast",2021,07,South Africa_Ireland_2021-07-22,South Africa,South Africa,Ireland
16,Q de Kock,PR Stirling,AK Markram,0,0,0,18,147,14,10,2,4,0,,,3,-,bat,South Africa,1,"Civil Service Cricket Club, Stormont, Belfast",2021,07,South Africa_Ireland_2021-07-22,South Africa,South Africa,Ireland
17,Q de Kock,PR Stirling,AK Markram,0,0,0,18,147,14,11,2,5,0,,,3,-,bat,South Africa,1,"Civil Service Cricket Club, Stormont, Belfast",2021,07,South Africa_Ireland_2021-07-22,South Africa,South Africa,Ireland
18,Q de Kock,PR Stirling,AK Markram,0,0,0,18,147,14,12,2,6,0,,,3,-,bat,South Africa,1,"Civil Service Cricket Club, Stormont, Belfast",2021,07,South Africa_Ireland_2021-07-22,South Africa,South Africa,Ireland
19,AK Markram,MR Adair,Q de Kock,2,0,2,20,145,4,4,2,1,0,,,4,-,bat,South Africa,1,"Civil Service Cricket Club, Stormont, Belfast",2021,07,South Africa_Ireland_2021-07-22,South Africa,South Africa,Ireland
20,AK Markram,MR Adair,Q de Kock,4,0,4,24,141,8,5,2,2,0,,,4,-,bat,South Africa,1,"Civil Service Cricket Club, Stormont, Belfast",2021,07,South Africa_Ireland_2021-07-22,South Africa,South Africa,Ireland
