,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,TS Kamunhukamwe,Naveen-ul-Haq,TK Musakanda,0,0,0,0,193,0,1,1,-,1.0,lbw,TS Kamunhukamwe,,0,bat,Afghanistan,2,Sheikh Zayed Stadium,2021,03,Afghanistan_Zimbabwe_2021-03-19,Afghanistan,Zimbabwe,Afghanistan,False,148,Right hand Bat,Right hand Bat,Right arm Medium
1,SC Williams,Naveen-ul-Haq,TK Musakanda,4,0,4,4,189,4,1,1,-,2.0,0,,,0,bat,Afghanistan,2,Sheikh Zayed Stadium,2021,03,Afghanistan_Zimbabwe_2021-03-19,Afghanistan,Zimbabwe,Afghanistan,False,148,Left hand Bat,Right hand Bat,Right arm Medium
2,SC Williams,Naveen-ul-Haq,TK Musakanda,4,0,4,8,185,8,2,1,-,3.0,0,,,0,bat,Afghanistan,2,Sheikh Zayed Stadium,2021,03,Afghanistan_Zimbabwe_2021-03-19,Afghanistan,Zimbabwe,Afghanistan,False,148,Left hand Bat,Right hand Bat,Right arm Medium
3,SC Williams,Naveen-ul-Haq,TK Musakanda,1,0,1,9,184,9,3,1,-,4.0,0,,,0,bat,Afghanistan,2,Sheikh Zayed Stadium,2021,03,Afghanistan_Zimbabwe_2021-03-19,Afghanistan,Zimbabwe,Afghanistan,False,148,Left hand Bat,Right hand Bat,Right arm Medium
4,TK Musakanda,Naveen-ul-Haq,SC Williams,0,0,0,9,184,0,1,1,-,5.0,0,,,0,bat,Afghanistan,2,Sheikh Zayed Stadium,2021,03,Afghanistan_Zimbabwe_2021-03-19,Afghanistan,Zimbabwe,Afghanistan,False,148,Right hand Bat,Left hand Bat,Right arm Medium
5,TK Musakanda,Naveen-ul-Haq,SC Williams,1,0,1,10,183,1,2,1,-,6.0,0,,,0,bat,Afghanistan,2,Sheikh Zayed Stadium,2021,03,Afghanistan_Zimbabwe_2021-03-19,Afghanistan,Zimbabwe,Afghanistan,False,148,Right hand Bat,Left hand Bat,Right arm Medium
6,TK Musakanda,Mohammad Nabi,SC Williams,1,0,1,11,182,2,3,1,-,1.0,0,,,1,bat,Afghanistan,2,Sheikh Zayed Stadium,2021,03,Afghanistan_Zimbabwe_2021-03-19,Afghanistan,Zimbabwe,Afghanistan,False,148,Right hand Bat,Left hand Bat,Right arm Offbreak
7,SC Williams,Mohammad Nabi,TK Musakanda,0,0,0,11,182,9,4,2,-,2.0,bowled,SC Williams,,1,bat,Afghanistan,2,Sheikh Zayed Stadium,2021,03,Afghanistan_Zimbabwe_2021-03-19,Afghanistan,Zimbabwe,Afghanistan,False,148,Left hand Bat,Right hand Bat,Right arm Offbreak
8,W Madhevere,Mohammad Nabi,TK Musakanda,2,0,2,13,180,2,1,2,-,3.0,0,,,1,bat,Afghanistan,2,Sheikh Zayed Stadium,2021,03,Afghanistan_Zimbabwe_2021-03-19,Afghanistan,Zimbabwe,Afghanistan,False,148,Right hand Bat,Right hand Bat,Right arm Offbreak
9,W Madhevere,Mohammad Nabi,TK Musakanda,1,0,1,14,179,3,2,2,-,4.0,0,,,1,bat,Afghanistan,2,Sheikh Zayed Stadium,2021,03,Afghanistan_Zimbabwe_2021-03-19,Afghanistan,Zimbabwe,Afghanistan,False,148,Right hand Bat,Right hand Bat,Right arm Offbreak
10,TK Musakanda,Mohammad Nabi,W Madhevere,2,0,2,16,177,4,4,2,-,5.0,0,,,1,bat,Afghanistan,2,Sheikh Zayed Stadium,2021,03,Afghanistan_Zimbabwe_2021-03-19,Afghanistan,Zimbabwe,Afghanistan,False,148,Right hand Bat,Right hand Bat,Right arm Offbreak
11,TK Musakanda,Mohammad Nabi,W Madhevere,1,0,1,17,176,5,5,2,-,6.0,0,,,1,bat,Afghanistan,2,Sheikh Zayed Stadium,2021,03,Afghanistan_Zimbabwe_2021-03-19,Afghanistan,Zimbabwe,Afghanistan,False,148,Right hand Bat,Right hand Bat,Right arm Offbreak
